__id__,__filename__,text,__id__,__filename__
0,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,NEW BOOKS FROM NCTM PUBLICATIONS!,0,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
1,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,NCTM Members Save 25%! Use code MTMS1013 when placing order. Offer expires 11/30/13.*,1,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
2,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,M AT H I S A L L A R O U N D U S,2,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
3,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,MATH IS ALL AROUND US,3,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
4,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,M AT H I S A L L A R O U N D U S,4,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
5,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,M AT H I S A L L A R O U N D U S,5,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
6,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,M AT H I S A,6,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
7,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,NEW TITLES ON SECONDARY,7,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
8,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,MATHEMATICS EDUCATION,8,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
9,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,NEW BOOKS ON THE COMMON CORE,9,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
10,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,NEW Success from the Start:,10,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
11,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,Your First Years,11,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
12,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,Teaching,12,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
13,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,Secondary,13,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
14,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,Mathematics,14,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
15,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,BY ROB WIEMAN,15,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
16,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,"AND FRAN ARBAUGH ©2013, Stock #13952",16,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
17,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,NEW The Impact of Identity in K–8,17,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
18,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,Mathematics:,18,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
19,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,Rethinking EquityBased Practices,19,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
20,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,"BY DANNY MARTIN, JULIA",20,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
21,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,"AGUIRRE, AND KAREN",21,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
22,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,"MAYFIELD-INGRAM ©2013, Stock #14119",22,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
23,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,NEW Second volume of bestselling title!,23,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
24,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,Cartoon Corner 2,24,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
25,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,"EDITED BY PEGGY HOUSE ©2013, Stock #14373",25,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
26,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,NEW One,26,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
27,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,Equals Zero and Other,27,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
28,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,Mathematical,28,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
29,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills,Surprises,29,Informing Practice: Mathematical Practices That Promote Twenty-First Century Skills
