__id__,__filename__,text,__id__,__filename__
0,Informing Practice: Predicting Amounts of Change in Quantities,"February 14–15, 2014 | Orlando, Fl",0,Informing Practice: Predicting Amounts of Change in Quantities
1,Informing Practice: Predicting Amounts of Change in Quantities,Cutting to the “Common Core” for Grades 6–8 ,1,Informing Practice: Predicting Amounts of Change in Quantities
2,Informing Practice: Predicting Amounts of Change in Quantities,The NCTM iNTeRaCTive iNSTiTuTe SeRieS,2,Informing Practice: Predicting Amounts of Change in Quantities
3,Informing Practice: Predicting Amounts of Change in Quantities,Space  is limited— ReGiSTeR  Today!,3,Informing Practice: Predicting Amounts of Change in Quantities
4,Informing Practice: Predicting Amounts of Change in Quantities,"The Interactive Institute for Grades 6–8  for Grades 6–8 Teachers of Mathematics Increase your knowledge of mathematics content related to the Common Core domains for the middle grades, and learn strategies that will help you align your instruction with the Common Core State Standards for Mathematics. ",4,Informing Practice: Predicting Amounts of Change in Quantities
5,Informing Practice: Predicting Amounts of Change in Quantities,NCTM’s Interactive Institute offers the latest stratNCTM’s Interactive Institute offers the latest stratNCTM’s Interactive Institute offers the latest strat egies to ensure that your students receive the best preparation for higher education and beyond.,5,Informing Practice: Predicting Amounts of Change in Quantities
6,Informing Practice: Predicting Amounts of Change in Quantities,Topics addressed in the NCTM Interactive Institute Series include the following: • Ratios and Proportional Relationships • The Number System • Expressions and Equations • Functions • Geometry • Statistics and Probability,6,Informing Practice: Predicting Amounts of Change in Quantities
7,Informing Practice: Predicting Amounts of Change in Quantities,Group DIsCounts Are AvAIlAble,7,Informing Practice: Predicting Amounts of Change in Quantities
8,Informing Practice: Predicting Amounts of Change in Quantities,This institute is part of our comprehensive series available for PK–12 teachers and school leaders.  Schools/districts are encouraged to send  groups to learn as a team. Visit the website for more information.,8,Informing Practice: Predicting Amounts of Change in Quantities
9,Informing Practice: Predicting Amounts of Change in Quantities,SPaCE IS lIMITEd. Register early at    www.nctm.org/CCSSMms to secure your spot.,9,Informing Practice: Predicting Amounts of Change in Quantities
10,Informing Practice: Predicting Amounts of Change in Quantities,informing practice research matters for teachers,10,Informing Practice: Predicting Amounts of Change in Quantities
11,Informing Practice: Predicting Amounts of Change in Quantities,Predicting Amounts of  Change in Quantities ,11,Informing Practice: Predicting Amounts of Change in Quantities
12,Informing Practice: Predicting Amounts of Change in Quantities,"Heather Lynn Johnson might be measured (e.g., as a cover of a flat surface) (Smith and Thompson 2008; Thompson 1994). It is important to note that envisioning can occur with or without actually measuring the attribute (Smith and Thompson 2008; Thompson 1994). For example, students could predict how the area of a rectangle with a constant base (e.g., rectangle EFGH in fig. 1) would change as the height of the rectangle increased without determining particular amounts of area.",12,Informing Practice: Predicting Amounts of Change in Quantities
13,Informing Practice: Predicting Amounts of Change in Quantities," Analyzing relationships between quantities can support middle-grades students’ reasoning about algebra and function (Ellis 2011; Smith and Thompson 2008). When students focus on relationships between quantities in a function, they are reasoning covariationally (Carlson et al. 2002). A student taking a covariation perspective might think about a function as a special relationship between quantities in which change in one quantity depends on change in another quantity (Chazan 2000). For example, with the growing rectangle, change in the area of rectangle EFGH depends on change in the length of EH. ",13,Informing Practice: Predicting Amounts of Change in Quantities
14,Informing Practice: Predicting Amounts of Change in Quantities,A covariation perspective is a powerful way for middle-grades students to make sense of linear  possible? ,14,Informing Practice: Predicting Amounts of Change in Quantities
15,Informing Practice: Predicting Amounts of Change in Quantities,"Suppose that you present the rectangle area problem in figure 1 to middle school students. As you consider the student’s response in figure 2, think about these questions:  •	 How	many	different	answers	are	 •	 How	might	students	determine	 different answers?  •	 How	might	this	problem	help	 students use change in one quantity to predict change in a related quantity? ",15,Informing Practice: Predicting Amounts of Change in Quantities
