__id__,__filename__,text,__id__,__filename__
0,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms ,0,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
1,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,"M. Alejandra Sorto, Carlos A. Mejía Colindres, and Aaron T. Wilson",1,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
2,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,"Edited by Amy Ellis, aellis1@education .wisc.edu, and Despina Stylianou,  dstylianou@ccny.cuny.edu. Readers are encouraged to submit manuscripts through http://mtms.msubmit.net.",2,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
3,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,One of the many challenges that teachers face in mathematics classrooms is determining how much of the verbal and written explanations help students accomplish instructional goals. The challenge is greater in  linguistically diverse classrooms because the explanations and multiple representations are not perceived uniformly by all students. ,3,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
4,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,"Recent research on the impact of gestures (Fernandes and McLeman 2012) supplies evidence that students whose primary language is different from the language of instruction  benefit from supporting oral and written explanations with the use of gestures that model mathematical objects and/or processes. Further, these students also benefit from engaging in mathematical discourse using more than one language (Moschkovich 2002). But how do the techniques of gesturing and using more than one language help uncover and elicit students’ mathematical perceptions in a diverse language classroom?",4,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
5,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,Let us visit two classrooms that reveal some effective teaching practices for linguistically diverse populations of students. The first classroom illustrates how using gestures and making well-founded pedagogical choices can help in correcting students’ misconceptions concerning the attributes of an object. The second classroom illustrates how the use of students’ own bilingual skills supports discourse and understanding. ,5,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
6,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,A “foldable” multisection  graphic organizer keeps  the information in one place  for review.,6,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
7,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,Table 1 This information appears on one side of the graphic organizer and aids in the study of the properties of geometric solids.,7,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
8,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,3-D Object:,8,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
9,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,Name It and,9,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
10,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,Draw It,10,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
11,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,Shape of Base and ,11,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
12,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,No. of Pairs of Parallel Bases,12,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
13,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,No.  of Edges,13,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
14,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,No. of Vertices,14,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
15,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms,No. of Faces and Shape  of Each,15,Informing Practice: Uncovering and Eliciting Perceptions in Linguistically Diverse Classrooms
