__id__,__filename__,text,__id__,__filename__
0,Introducing Volume 19: Developing Mathematical Thinkers,Welcome Back to School with New Books from NCTM,0,Introducing Volume 19: Developing Mathematical Thinkers
1,Introducing Volume 19: Developing Mathematical Thinkers,NCTM Members Save 25%! Use code MTMS813 when placing order. Offer expires 9/30/13.*,1,Introducing Volume 19: Developing Mathematical Thinkers
2,Introducing Volume 19: Developing Mathematical Thinkers,M AT H I S A L L A R O U N D U S,2,Introducing Volume 19: Developing Mathematical Thinkers
3,Introducing Volume 19: Developing Mathematical Thinkers,MATH IS ALL AROUND US,3,Introducing Volume 19: Developing Mathematical Thinkers
4,Introducing Volume 19: Developing Mathematical Thinkers,M AT H I S A L L A R O U N D U S,4,Introducing Volume 19: Developing Mathematical Thinkers
5,Introducing Volume 19: Developing Mathematical Thinkers,M AT H I S A L L A R O U N D U S,5,Introducing Volume 19: Developing Mathematical Thinkers
6,Introducing Volume 19: Developing Mathematical Thinkers,M AT H I S A,6,Introducing Volume 19: Developing Mathematical Thinkers
7,Introducing Volume 19: Developing Mathematical Thinkers,NEW TITLES ON SECONDARY,7,Introducing Volume 19: Developing Mathematical Thinkers
8,Introducing Volume 19: Developing Mathematical Thinkers,MATHEMATICS EDUCATION,8,Introducing Volume 19: Developing Mathematical Thinkers
9,Introducing Volume 19: Developing Mathematical Thinkers,NEW BOOKS ON THE COMMON CORE,9,Introducing Volume 19: Developing Mathematical Thinkers
10,Introducing Volume 19: Developing Mathematical Thinkers,NEW Success from the Start:,10,Introducing Volume 19: Developing Mathematical Thinkers
11,Introducing Volume 19: Developing Mathematical Thinkers,Your First Years,11,Introducing Volume 19: Developing Mathematical Thinkers
12,Introducing Volume 19: Developing Mathematical Thinkers,Teaching,12,Introducing Volume 19: Developing Mathematical Thinkers
13,Introducing Volume 19: Developing Mathematical Thinkers,Secondary,13,Introducing Volume 19: Developing Mathematical Thinkers
14,Introducing Volume 19: Developing Mathematical Thinkers,Mathematics,14,Introducing Volume 19: Developing Mathematical Thinkers
15,Introducing Volume 19: Developing Mathematical Thinkers,BY ROB WIEMAN,15,Introducing Volume 19: Developing Mathematical Thinkers
16,Introducing Volume 19: Developing Mathematical Thinkers,"AND FRAN ARBAUGH ©2013, Stock #13952",16,Introducing Volume 19: Developing Mathematical Thinkers
17,Introducing Volume 19: Developing Mathematical Thinkers,NEW The Impact of Identity in K–8,17,Introducing Volume 19: Developing Mathematical Thinkers
18,Introducing Volume 19: Developing Mathematical Thinkers,Mathematics:,18,Introducing Volume 19: Developing Mathematical Thinkers
19,Introducing Volume 19: Developing Mathematical Thinkers,Rethinking,19,Introducing Volume 19: Developing Mathematical Thinkers
20,Introducing Volume 19: Developing Mathematical Thinkers,Equity-Based,20,Introducing Volume 19: Developing Mathematical Thinkers
21,Introducing Volume 19: Developing Mathematical Thinkers,Practices,21,Introducing Volume 19: Developing Mathematical Thinkers
22,Introducing Volume 19: Developing Mathematical Thinkers,"BY DANNY MARTIN,",22,Introducing Volume 19: Developing Mathematical Thinkers
23,Introducing Volume 19: Developing Mathematical Thinkers,"JULIA AGUIRRE, AND",23,Introducing Volume 19: Developing Mathematical Thinkers
24,Introducing Volume 19: Developing Mathematical Thinkers,"KAREN MAYFIELDINGRAM ©2013, Stock #14119",24,Introducing Volume 19: Developing Mathematical Thinkers
25,Introducing Volume 19: Developing Mathematical Thinkers,NEW Second volume of bestselling title!,25,Introducing Volume 19: Developing Mathematical Thinkers
26,Introducing Volume 19: Developing Mathematical Thinkers,Cartoon Corner 2,26,Introducing Volume 19: Developing Mathematical Thinkers
27,Introducing Volume 19: Developing Mathematical Thinkers,"EDITED BY PEGGY HOUSE ©2013, Stock #14373",27,Introducing Volume 19: Developing Mathematical Thinkers
28,Introducing Volume 19: Developing Mathematical Thinkers,NEW One,28,Introducing Volume 19: Developing Mathematical Thinkers
29,Introducing Volume 19: Developing Mathematical Thinkers,Equals Zero and Other,29,Introducing Volume 19: Developing Mathematical Thinkers
30,Introducing Volume 19: Developing Mathematical Thinkers,Mathematical,30,Introducing Volume 19: Developing Mathematical Thinkers
31,Introducing Volume 19: Developing Mathematical Thinkers,Surprises,31,Introducing Volume 19: Developing Mathematical Thinkers
32,Introducing Volume 19: Developing Mathematical Thinkers,BY NITSA,32,Introducing Volume 19: Developing Mathematical Thinkers
33,Introducing Volume 19: Developing Mathematical Thinkers,MOVSHOVITZ-HADAR,33,Introducing Volume 19: Developing Mathematical Thinkers
34,Introducing Volume 19: Developing Mathematical Thinkers,AND JOHN WEBB,34,Introducing Volume 19: Developing Mathematical Thinkers
35,Introducing Volume 19: Developing Mathematical Thinkers,Previously published by,35,Introducing Volume 19: Developing Mathematical Thinkers
36,Introducing Volume 19: Developing Mathematical Thinkers,"Key Curriculum Press ©2013, Stock #14553",36,Introducing Volume 19: Developing Mathematical Thinkers
37,Introducing Volume 19: Developing Mathematical Thinkers,NEW SERIES!,37,Introducing Volume 19: Developing Mathematical Thinkers
38,Introducing Volume 19: Developing Mathematical Thinkers,Common Core,38,Introducing Volume 19: Developing Mathematical Thinkers
39,Introducing Volume 19: Developing Mathematical Thinkers,Mathematics in a PLC at,39,Introducing Volume 19: Developing Mathematical Thinkers
40,Introducing Volume 19: Developing Mathematical Thinkers,"Work, Grades 6–8",40,Introducing Volume 19: Developing Mathematical Thinkers
41,Introducing Volume 19: Developing Mathematical Thinkers,"BY DIANE BRIARS,",41,Introducing Volume 19: Developing Mathematical Thinkers
42,Introducing Volume 19: Developing Mathematical Thinkers,"HAROLD ASTURIAS,",42,Introducing Volume 19: Developing Mathematical Thinkers
43,Introducing Volume 19: Developing Mathematical Thinkers,"DAVID FOSTER, AND",43,Introducing Volume 19: Developing Mathematical Thinkers
44,Introducing Volume 19: Developing Mathematical Thinkers,MARDI GALE,44,Introducing Volume 19: Developing Mathematical Thinkers
45,Introducing Volume 19: Developing Mathematical Thinkers,"Copublished with Solution Tree Press ©2013, Stock #14385   ",45,Introducing Volume 19: Developing Mathematical Thinkers
46,Introducing Volume 19: Developing Mathematical Thinkers,Find the whole series on www.nctm.org/catalog,46,Introducing Volume 19: Developing Mathematical Thinkers
47,Introducing Volume 19: Developing Mathematical Thinkers,NEW,47,Introducing Volume 19: Developing Mathematical Thinkers
48,Introducing Volume 19: Developing Mathematical Thinkers,Connecting the,48,Introducing Volume 19: Developing Mathematical Thinkers
49,Introducing Volume 19: Developing Mathematical Thinkers,NCTM Process,49,Introducing Volume 19: Developing Mathematical Thinkers
50,Introducing Volume 19: Developing Mathematical Thinkers,Standards and the CCSSM,50,Introducing Volume 19: Developing Mathematical Thinkers
51,Introducing Volume 19: Developing Mathematical Thinkers,Practices,51,Introducing Volume 19: Developing Mathematical Thinkers
52,Introducing Volume 19: Developing Mathematical Thinkers,BY COURTNEY,52,Introducing Volume 19: Developing Mathematical Thinkers
53,Introducing Volume 19: Developing Mathematical Thinkers,"KOESTLER,",53,Introducing Volume 19: Developing Mathematical Thinkers
54,Introducing Volume 19: Developing Mathematical Thinkers,"MATHEW D. FELTON, KRISTEN N. BIEDA, AND SAMUEL OTTEN ©2013, Stock #14327   ",54,Introducing Volume 19: Developing Mathematical Thinkers
55,Introducing Volume 19: Developing Mathematical Thinkers,NEW,55,Introducing Volume 19: Developing Mathematical Thinkers
56,Introducing Volume 19: Developing Mathematical Thinkers,Curriculum,56,Introducing Volume 19: Developing Mathematical Thinkers
57,Introducing Volume 19: Developing Mathematical Thinkers,Issues in an Era of Common,57,Introducing Volume 19: Developing Mathematical Thinkers
58,Introducing Volume 19: Developing Mathematical Thinkers,Cores State,58,Introducing Volume 19: Developing Mathematical Thinkers
59,Introducing Volume 19: Developing Mathematical Thinkers,Standards for,59,Introducing Volume 19: Developing Mathematical Thinkers
60,Introducing Volume 19: Developing Mathematical Thinkers,Mathematics,60,Introducing Volume 19: Developing Mathematical Thinkers
61,Introducing Volume 19: Developing Mathematical Thinkers,BY CHRISTIAN,61,Introducing Volume 19: Developing Mathematical Thinkers
62,Introducing Volume 19: Developing Mathematical Thinkers,"HIRSCH, GLENDA",62,Introducing Volume 19: Developing Mathematical Thinkers
63,Introducing Volume 19: Developing Mathematical Thinkers,"LAPPAN, AND",63,Introducing Volume 19: Developing Mathematical Thinkers
