__id__,__filename__,text,,
0,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics","To improve mathematics achievement of U.S. students and to assure that ""what and how students are taught should reflect not only the topics within a certain academic discipline, but also the key ideas that determine how knowledge is organized and generated within that discipline"" are dual goals of the Common Core State Standards for Mathematics (CCSSI 2010, p. 3). My recent work with eighth-grade teachers, however, made me wonder how much support teachers actually receive to implement the Common Core (CCSSM) standards so as to be consistent with the goals and vision.",,
1,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics","CCSSM defines what students should understand and be able to do in their study of mathematics, but they ""do not dictate the curriculum or teaching methods"" (CCSSI 2010, p. 5). Therefore, individual State Boards of Education have created curriculum scope and sequence documents aligned with the standards to serve as resources for teachers. The documents also include explanations and examples to clarify what each standard means a student will know, understand, and be able to do. The teachers I work with consulted a few of these documents, hoping that they could help them figure out how to teach a particular concept, the logical sequence of topics, and so on. However, the teachers encountered difficulty with the first unit they worked on, Real Numbers and Exponents. Specifically, their questions initiated an interesting discussion regarding two standards (2010, p. 54):",,
2,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics",8.NS.1: Know that numbers that are not rational are called irrational.,,
3,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics","8.EE.2: Use square root and cube root symbols to represent solutions to equations of the form 
  x2

  = 
  p

  and 
  x3

  = 
  p

  , where 
  p

  is a positive rational number.",,
4,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics",The first question related to the introduction of irrational numbers:,,
5,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics",1. How do we introduce irrational numbers without simply telling students that,,
6,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics",,,
7,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics",and so on are examples of irrational numbers?,,
8,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics",The second pair of questions was associated with the square root and solving simple quadratic equations:,,
9,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics",2. a.,,
10,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics","b. And if the first one is correct, why does the equation 
  x2

  = 25 have two solutions, 
  x

  = 5?",,
11,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics",The following sections will attempt to answer these questions.,,
12,"Irrational Numbers, Square Roots, and Quadratic Equations - National Council of Teachers of Mathematics",INTRODUCING IRRATIONAL NUMBERS,,
