__id__,__filename__,text,,
0,Keeping It Balanced - National Council of Teachers of Mathematics,,,
1,Keeping It Balanced - National Council of Teachers of Mathematics,,,
2,Keeping It Balanced - National Council of Teachers of Mathematics,1. Companies must frequently “balance their books.” What does that mean?,,
3,Keeping It Balanced - National Council of Teachers of Mathematics,"2. Individuals “balance their books” when they compare their bank statement with the checkbook register they maintain. Suppose that your bank statement shows you have $913.00 in your account, but your checkbook register (see below) shows that you have $1,013.00.",,
4,Keeping It Balanced - National Council of Teachers of Mathematics,a. What is the amount of the error?,,
5,Keeping It Balanced - National Council of Teachers of Mathematics,"b. Copy the register below, and correct the errors in the Balance column.",,
6,Keeping It Balanced - National Council of Teachers of Mathematics,"3. In 8 + 3 = 11, what does the equals sign mean?",,
7,Keeping It Balanced - National Council of Teachers of Mathematics,4. Solve for .,,
8,Keeping It Balanced - National Council of Teachers of Mathematics,,,
9,Keeping It Balanced - National Council of Teachers of Mathematics,5. What do problems 4a–4d have to do with “balance”?,,
10,Keeping It Balanced - National Council of Teachers of Mathematics,6. See the diagrams below. Each scale is balanced. The circle weighs 3 units. The same shape weighs the same amount in each drawing. The size of the shape does not correspond to its weight.,,
11,Keeping It Balanced - National Council of Teachers of Mathematics,a. What is the weight of the triangle?,,
12,Keeping It Balanced - National Council of Teachers of Mathematics,,,
13,Keeping It Balanced - National Council of Teachers of Mathematics,b. What is the weight of the square? Use the weight of the triangle from part (a) to find the weight of the square.,,
14,Keeping It Balanced - National Council of Teachers of Mathematics,,,
15,Keeping It Balanced - National Council of Teachers of Mathematics,c. What is the weight of the pentagon? Use the weight of the triangle and the square from part (b) to find the weight of the pentagon.,,
16,Keeping It Balanced - National Council of Teachers of Mathematics,,,
17,Keeping It Balanced - National Council of Teachers of Mathematics,"7. In the figures below, two or three boxes sit on scales, which indicate the total mass (weight) of the boxes. Find the mass of each box.",,
18,Keeping It Balanced - National Council of Teachers of Mathematics,Box A:________________,,
19,Keeping It Balanced - National Council of Teachers of Mathematics,,,
