__id__,__filename__,text,,
0,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,"For a great many students, mathematics is a vast, loosely connected collection of facts, procedures, and routine problems (Fey 1990, NCTM 2000). Native American students, in particular, may find that their educational experience lacks relevance (Williamson 1987). Historically there has been a cultural mismatch between the traditional school math perspective and the cultural orientations of Native American Indians. This mismatch has created a very real dilemma for many students who have been raised in a different cultural tradition (Cajete 1999, p. 5). The problem, then, becomes how to develop a culturally rich curriculum.",,
1,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,We drew on the cultural traditions associated with the Shoshoni-Paiute tribes to design a lesson to engage students in problem solving and making arguments for their strategies.,,
2,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,THE SETTING,,
3,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,"The Western Shoshoni and Northern Paiutes are an indigenous people who traditionally inhabited parts of what are now southern Idaho, northern Nevada, and Oregon from time immemorial (Shoshoni-Paiute Tribes 2014). The reservation school is in an isolated rural community 100 miles from any other larger town. The lead author taught the schools only sixth-grade class, composed of twenty students, eight boys and twelve girls.",,
4,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,"Before the lesson was designed, we needed to learn more about traditional mathematical practices of the Shoshone-Paiute tribes. After receiving approval from the tribal council, the lead author interviewed elders of the tribe to learn about the different ways that mathematics was used in traditional day-to-day living. It became clear that the Shoshone-Paiutes have a rich mathematical heritage. For example, measurements are often determined by making comparisons with known quantities, and the food gathered is measured according to different-size handmade bags. During an interview, one tribal elder explained that making clothing is an essential part of the traditional ways. A pattern is made for each garment using the recipient as the model. From that pattern, the garment is constructed specifically to fit that individual. She explained that moccasins are a very traditional item created from the traced foot of the person for whom they are intended. This information sparked the main idea for the lesson.",,
5,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,,,
6,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,LESSON: USING MOCCASIN PATTERNS TO FIND AREA,,
7,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,"Our goal was to create a culminating lesson using a cultural context that could be used at the end of a unit on area. The objective of the lesson was for students to find the approximate area of a moccasin pattern (that they created) by decomposing the figure created by that pattern into rectangles and right triangles. The lesson was designed to span three days. The first day, students created a Shoshoni-Paiute moccasin pattern (see fig. 1). On the second day, students calculated the area of their patterns. On the third day, students used their patterns to make their own pair of moccasins out of fleece fabric. Students worked in groups of four to promote peer interaction and mathematical discussion.",,
8,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,Day 1: Making the Moccasin Pattern,,
9,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,"A tribal expert taught students how to create a Shoshone-Paiute moccasin pattern (see fig. 1). After she explained and demonstrated the directions for each step, students completed that step. The authors and the tribal expert circulated around the room, helping groups, clarifying steps, and ensuring that each student was ready for the next step.",,
10,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,"Day 1 involved substantial work with measurements, as figure 1s directions show. Students measured 1/4 inch from their original pattern to create the sole pattern. They retraced the sole pattern and marked centers, drew lines from the widest points, marked measures of center, and drew 1/2 inch around the existing sole pattern to create the top pattern. At the end of the first day, a brief whole-class discussion was held about the mathematical skills involved in making the patterns.",,
11,Lacing Together Mathematics and Culture - National Council of Teachers of Mathematics,Day 2: Finding Area,,
