__id__,__filename__,text,,
0,Linking LEGO and Algebra - National Council of Teachers of Mathematics,"In mathematics, students should represent, model, and work with such real-world situations as those found in the physical world, the public policy realm, and society (CCSSI 2010). Additionally, students need to make decisions and be flexible enough to improve their decisions after analyzing realistic situations. The LEGOÂ® Pets activity does just that.",,
1,Linking LEGO and Algebra - National Council of Teachers of Mathematics,Modeling with the Common Coreâ,,
2,Linking LEGO and Algebra - National Council of Teachers of Mathematics,"To bring this modeling process to life in classrooms, teachers need sources of authentic problems. But how can teachers determine the authenticity of a problem that will allow students to model and analyze a situation mathematically?",,
3,Linking LEGO and Algebra - National Council of Teachers of Mathematics,"Herrington and Oliver (2000) and Lombardi (2007) have developed frameworks for authentic learning situations. They indicate that authentic problems share a number of characteristics. In particular, theyâ",,
4,Linking LEGO and Algebra - National Council of Teachers of Mathematics,"We developed the LEGO Pets activity (see the activity sheet at the end of this article) in which students model a real-world problem situation, first concretely and then abstractly. We taught the activity in three sixth-grade classes in an affluent suburban district as well as in one sixth-grade and one seventh-grade class in a much less affluent suburban district. Approximately thirty students were in each class.",,
5,Linking LEGO and Algebra - National Council of Teachers of Mathematics,"The students in all five classes were motivated, interested, and able to work through all the questions posed. Sometimes they needed no scaffolding to answer the questions; at other times, minimal scaffolding; and a few times, extensive scaffolding.",,
6,Linking LEGO and Algebra - National Council of Teachers of Mathematics,WORKING WITH LEGO BRICKS: THE CONCRETE APPROACH,,
7,Linking LEGO and Algebra - National Council of Teachers of Mathematics,"When students were asked to use LEGO bricks in math class to assemble a dog and a duck, they had no problem seeing how many pieces were needed or how to build them. We started the activity by asking students what they thought the aim of assembling dogs and ducks would be. Common answers included how many animals one can build with the available pieces, how to make more animals, how to get more pieces, what to build with the available pieces, and how much profit the LEGO Pets Company can generate. At this stage, we were using these questions to help students identify the variable quantities in the problem: the number of ducks and the number of dogs to build. Later, these variable quantities were linked to algebraic variables with tabular, spreadsheet, and symbolic representations of the problem.",,
8,Linking LEGO and Algebra - National Council of Teachers of Mathematics,"In the LEGO portion of the activity, we asked students to build ducks and dogs using only 6 large (2 Ã",,
9,Linking LEGO and Algebra - National Council of Teachers of Mathematics,"While students were doing LEGO constructions, we asked them to track the combinations in a table that we provided. Our goal was to help students think about the relationships between the variables by using a table representation. The only combinations that one group found were  2 ducks and 1 dog, 3 ducks and 0 dogs, and 0 ducks and 2 dogs (see  the first three rows in fig. 2).",,
10,Linking LEGO and Algebra - National Council of Teachers of Mathematics,"When we asked about building  2 ducks and 0 dogs, one student stated that the group â",,
