__id__,__filename__,text,__id__,__filename__
0,Making Homework Matter to Students,Making Homework ,0,Making Homework Matter to Students
1,Making Homework Matter to Students,Matter to  Students ,1,Making Homework Matter to Students
2,Making Homework Matter to Students,More meaningful homework is an easily achievable goal.,2,Making Homework Matter to Students
3,Making Homework Matter to Students,Matter to  Students ,3,Making Homework Matter to Students
4,Making Homework Matter to Students,Lee Walk and Marshall Lassak,4,Making Homework Matter to Students
5,Making Homework Matter to Students,"During my teaching career (author Walk), I have been frustrated with student assignments being handed in incomplete, rushed through, or not at all. It made me wonder what students saw as the purpose of homework. I tried to impart the idea that the purpose of  homework was to help students improve their understanding of mathematical concepts, practice skills, and act as a formative assessment that could help me see what they currently comprehended. Unfortunately, many students seemed to think that homework was just another unpleasant task to finish as quickly as possible without thinking deeply about what they were doing. ",5,Making Homework Matter to Students
6,Making Homework Matter to Students,"Two studies (Trautwein 2007 and Dettmers et al. 2010) show a positive correlation between high-quality homework and mathematics achievement. Students who completed their homework assignments scored better on assessments. However, these studies also showed no relationship between time spent on homework and resulting student achievement. This helped verify that although homework can be a valuable tool for learning, more time spent on daily homework is not necessarily a good idea. ",6,Making Homework Matter to Students
7,Making Homework Matter to Students,"In continuing to research effective homework styles and implementation, I found in many studies that student collaboration was important in developing mathematical  reasoning. Wieman and Arbaugh (2014) discuss how students could use homework as an opportunity to work together. However, they also emphasize that teachers must be clear about their goals and expectations for student homework: ",7,Making Homework Matter to Students
8,Making Homework Matter to Students,"Students may think that they are supposed to be able to complete all the homework problems quickly and easily, and that referring to their notes or asking a friend for help is somehow “cheating.” (p. 162) ",8,Making Homework Matter to Students
9,Making Homework Matter to Students,Students must understand the difference between asking another student for help in thinking through a problem and simply asking for the answer. Homework does not need to be completed independently if the primary goal is to learn about mathematics.,9,Making Homework Matter to Students
10,Making Homework Matter to Students,LEVELS OF DEMAND,10,Making Homework Matter to Students
11,Making Homework Matter to Students,Smith and Stein (1998) argue that the highest learning gains for students result from engagement in high levels  of cognitive thinking and reasoning. They break down tasks in terms of four categories of cognitive demand:  1.  Memorization 2.  Procedures without connections to  concepts or meaning 3.  Procedures with connections to  concepts 4.  Doing mathematics,11,Making Homework Matter to Students
