__id__,__filename__,text,__id__,__filename__
0,Making Homework More Meaningful,Making,0,Making Homework More Meaningful
1,Making Homework More Meaningful,HOMEWORK,1,Making Homework More Meaningful
2,Making Homework More Meaningful,HOMEWORK,2,Making Homework More Meaningful
3,Making Homework More Meaningful,HOMEWORK,3,Making Homework More Meaningful
4,Making Homework More Meaningful,HOMEWORK,4,Making Homework More Meaningful
5,Making Homework More Meaningful,More Meaningful pCreate homework  sense-making activities into their classrooms (many of which can be found in Mathematics Teaching for the Middle School ). We contend that students can also engage in sense-making activities outside the classroom and that homework can consist of more than just “tasks of memorization and practice” that Vatterott describes. We believe that completing homework can help middle school students strengthen mathematical understandings and skills.,5,Making Homework More Meaningful
6,Making Homework More Meaningful,Rob Wieman and Fran Arbaugh assignments that both engage middle-grades students and strengthen their mathematical understandings and skills. ,6,Making Homework More Meaningful
7,Making Homework More Meaningful,"Parents in the United States expect their students to have homework; and students, especially in middle school and high school, expect daily homework assignments from their teachers. In fact, the authors of The Metlife Survey of the American Teacher (Metlife Foundation 2007) reported that 90 percent of surveyed teachers agree with the following statement: Doing homework helps students learn more in school. Furthermore, in the same study, 50 percent of students in grades 7–12 reported typically having one or more hours of homework on a weeknight; 8 percent reported being assigned three or more hours of homework. ",7,Making Homework More Meaningful
8,Making Homework More Meaningful,In Rethinking Homework: Best ,8,Making Homework More Meaningful
9,Making Homework More Meaningful,"Practices That Support Diverse Needs, Cathy Vatterott notes that the practice of assigning homework began when schools were dominated by rote learning (Vatterott 2009). Middle-grades teachers are now incorporating more ",9,Making Homework More Meaningful
10,Making Homework More Meaningful,"However, it is diffi cult to create effective homework assignments. In thinking back to our own time as math teachers, we realized that many of our assignments were often “too easy” for some students, “too hard” for others, and “just right” for only a few. Additionally, as you have probably experienced, we had students who did not complete homework assignments or did so with little mathematical thinking. It is no wonder that math teachers ",10,Making Homework More Meaningful
11,Making Homework More Meaningful,HOMEWORK,11,Making Homework More Meaningful
12,Making Homework More Meaningful,HOMEWORK,12,Making Homework More Meaningful
13,Making Homework More Meaningful,More Meaningful often say that “homework” is at the top of their list of concerns.,13,Making Homework More Meaningful
14,Making Homework More Meaningful,"Despite the challenges involved, we believe that homework can be an important component of mathematics learning. If you have found yourself agreeing with both the importance of homework and the challenges that homework entails, then perhaps it is time for you to integrate new, potentially more effective homework practices into your math instruction. ",14,Making Homework More Meaningful
15,Making Homework More Meaningful,"In this article, we fi rst describe two  important ideas about homework. We hope that these ideas will help you begin to rethink the purposes of homework and support you in making effective choices about assigning homework. We then describe specifi c strategies for choosing, revising, or creating assignments that help students learn from homework. Over time, keeping these big ideas in mind and following some of these suggestions can help make homework more productive for you and your students. ",15,Making Homework More Meaningful
16,Making Homework More Meaningful,TWO BIG IDEAS ABOUT HOMEWORK,16,Making Homework More Meaningful
17,Making Homework More Meaningful,"We have found that discussions and decisions about homework are greatly simplifi ed by keeping two big ideas in mind (see fi g. 1).  1. Effective homework supports mathematical learning by including tasks that require students to think about important mathematics. The idea that students should think about important math while doing homework seems fairly obvious. However, if we stop to examine how our students often experience homework, we might discover that many of them do not engage in much mathematical thinking. All too often, students work to complete their homework as quickly and with as little thought as possible. Perhaps the assignment is too easy, in which case students are completing problems that do not require much thought. Perhaps the assignment is too diffi cult, and students simply have no way to get started. In both cases, engaging with homework is not helping students learn. ",17,Making Homework More Meaningful
18,Making Homework More Meaningful,"For students to learn while working on mathematical problems, they must actively engage in mathematical thinking. This means that if we want students to learn mathematics (e.g., better understand mathematical relationships, become more profi cient at mathematical procedures, and become better problem solvers) while doing homework, we must design tasks that require them to solve problems, reason, represent, communicate, and make connections (NCTM 2000).  2. Teachers must be clear about goals and expectations. Again, it may appear that we are simply stating the obvious. ",18,Making Homework More Meaningful
19,Making Homework More Meaningful,Fig. 1 These two big ideas help drive the importance of homework.,19,Making Homework More Meaningful
20,Making Homework More Meaningful,•  Effective homework supports mathematical learning by including tasks that require  students to think about  important mathematics.  •  Teachers need to be clear   about their goals and  expectations for homework.,20,Making Homework More Meaningful
21,Making Homework More Meaningful,"However, in our experience, we have found that often our students do not share with us the same assumptions about the purposes of homework or how they are expected to engage with it. For instance, we expect that students may struggle with solving some of the problems, and we expect that they may need to refer to their notes or ask a friend for help. However, our students may think that they are supposed to be able to complete all the homework problems quickly and easily, and that referring to their notes or asking a friend for help is somehow “cheating.” ",21,Making Homework More Meaningful
22,Making Homework More Meaningful,"We think that this disconnect  comes from our lack of clarity. The clearer we are with our students about our goals for homework and how we expect them to work on it, the more likely that everyone is on the same page with regard to how to learn mathematics while doing homework. ",22,Making Homework More Meaningful
23,Making Homework More Meaningful,PRACTICAL SUGGESTIONS,23,Making Homework More Meaningful
24,Making Homework More Meaningful,"Having these big ideas in mind helps focus thinking about homework, but these big ideas are not enough. In the following subsections, we offer suggestions for modifying existing homework assignments to increase students’ active thinking. ",24,Making Homework More Meaningful
