__id__,__filename__,text,,
0,Making Moves_ Formative Assessment in Mathematics - National Council of Teachers of Mathematics,"Research on teacher professional learning has shown that formative assessment can improve student learning more than most instructional practices (Hattie 2012). Empirical evidence indicates that thoughtfully implemented formative assessment practices improve students’ learning, increase students’ scores, and narrow achievement gaps between low-achieving students and others (Black and Wiliam 1998). Practiced well, formative assessment holds promise for fostering equity. Given the role that students’ achievement in middle school mathematics classes can play in college-going trajectories (Balfanz 2009), articulating how formative assessment can support equity in mathematics classrooms is critically important.",,
1,Making Moves_ Formative Assessment in Mathematics - National Council of Teachers of Mathematics,"But what is formative assessment, or FA? Does “doing FA” mean giving more quizzes, managing interim test data, or processing exit slips? Doing formative assessment in mathematics classes depends greatly on teachers’ and students’ use of language: producing language, taking language in, and sharpening language skills (Hakuta 2013).",,
2,Making Moves_ Formative Assessment in Mathematics - National Council of Teachers of Mathematics,"Some conceptualizations of formative assessment are more explicit than others in their focus on language use. In this article, we present our conceptualization of formative assessment; introduce FAmoves of priming, posing, pausing, probing, bouncing, tagging, and binning; and illustrate the moves at play in one middle school mathematics class. Each of these moves lends itself to sustaining a focus on the development of academic language for all students, which is critical to fostering equity in mathematics learning and teaching.",,
3,Making Moves_ Formative Assessment in Mathematics - National Council of Teachers of Mathematics,REFRAMING FORMATIVE ASSESSMENT: ONE MOVE AT A TIME,,
4,Making Moves_ Formative Assessment in Mathematics - National Council of Teachers of Mathematics,"FA is more than checking for understanding. Formative assessment, as we conceptualize it, helps teachers learn more about students’ understandings and productively respond to those understandings (not merely “misconceptions” or “wrong” answers) during class. We think of FA as a dynamic pedagogical process between students and teachers. Doing FA means that teachers initiate, then orchestrate openings for mathematical reasoning and investigations (CCSSI 2010). A primary goal during mathematics lessons thus becomes keeping the discussion flowing and interjecting just-in-time moves that promote a conscious and strategic use of student thinking.",,
5,Making Moves_ Formative Assessment in Mathematics - National Council of Teachers of Mathematics,"Our conceptualization of FA places a premium on feedback loops in classroom talk, the building up of repertoires of auditory and verbal skills, and providing instructional space for students to use mathematical language as they reason in real time. This definition contrasts with those who orient FA toward high-tech products and “micro” testing events. Assessing formatively should emphasize real-time instructional processes and the uses of feedback “on the fly” (Linquanti 2014).",,
6,Making Moves_ Formative Assessment in Mathematics - National Council of Teachers of Mathematics,"This moves-based conceptualization of classroom formative assessment relates to Wiliam’s framework, in particular, how teachers can engineer effective classroom discussions and present tasks that elicit evidence of learning (2007, p. 1064). Like other experts in FA, we recognize the significance of classroom discourse in laying the groundwork for effective feedback, particularly in how teachers can consciously pose questions that serve various purposes and provide a “window into thinking” (p. 1069).",,
7,Making Moves_ Formative Assessment in Mathematics - National Council of Teachers of Mathematics,"We extend Wiliam’s FA framework by delving into the focus on “Where now? Where to? How?” from a beginner’s perspective. Teachers are not born formative assessors; they are also not likely to become experts in FA moves without coaching and support over time. We have introduced a language of formative assessment as an instructional practice that focuses attention on malleable “moves” (Duckor and Holmberg, in press). Although the FA moves framework can help uncover student thinking about multiplicative structures or proportional reasoning, for example, it also serves as an accessible lexicon for those learning to become classroom formative assessors.",,
8,Making Moves_ Formative Assessment in Mathematics - National Council of Teachers of Mathematics,"These seven FA moves create opportunities for all students to interact productively and persistently with higher-order thinking (see fig. 1). In combination with deep mathematical content knowledge, FA moves can help teachers make sense of what students know, make connections between ideas, and facilitate the process of learning in more transparent, visible ways (Heritage 2007).",,
9,Making Moves_ Formative Assessment in Mathematics - National Council of Teachers of Mathematics,,,
