__id__,__filename__,text,,
0,Making Sense of Integers through Storytelling - National Council of Teachers of Mathematics,"Consider this open number sentence: 5 +  = 21. What kind of story would you pose for that sentence? What kind of context would you use, and why would you use it? How do you think your students would respond? We asked fifth-grade and eighth-grade students to pose stories for number sentences involving the addition and subtraction of integers, like the number sentence 5 +  = 21 just considered. Take a look at these eight stories from our students (see fig. 1). Which of these stories do you think works for the given number sentence? What do they reveal about student thinking?",,
1,Making Sense of Integers through Storytelling - National Council of Teachers of Mathematics,,,
2,Making Sense of Integers through Storytelling - National Council of Teachers of Mathematics,"When we examined these stories, we noticed that the students work reflected different ways of thinking about integers. We call these mathematical uses of integers conceptual models. We describe five models that emerged from our research: bookkeeping, counterbalance, relativity, translation, and rule.",,
3,Making Sense of Integers through Storytelling - National Council of Teachers of Mathematics,Conceptual Models of Integers,,
4,Making Sense of Integers through Storytelling - National Council of Teachers of Mathematics,Bookkeeping,,
5,Making Sense of Integers through Storytelling - National Council of Teachers of Mathematics,"The bookkeeping model involves using integers to describe gains and losses. The use of zero in this model represents a status of neither loss nor gain.  The bookkeeping model can represent a gain and loss of any item and is not necessarily limited to the context of money. For example, gains and losses can be conceptualized through such scenarios as owing and acquiring candy bars or wanting and receiving baseball cards. Isaac, Patrice, and Wesley used the bookkeeping conceptual model in their stories (see fig. 1). Instead of pursuing a context involving money, Isaac and Wesley owed homework assignments and wanted baseball cards to represent losses, or negative integers, and completing homework assignments and getting baseball cards as gains, or positive integers. This bookkeeping model of thinking was most prevalent among our students. It seems that conceptualizing negative integers as losses and viewing positive integers as gains were intuitive for them.",,
6,Making Sense of Integers through Storytelling - National Council of Teachers of Mathematics,Counterbalance,,
7,Making Sense of Integers through Storytelling - National Council of Teachers of Mathematics,"A conceptual model of counterbalance involves using positive and negative integers to balance, or cancel, each other out. This model is similar to the Balanced Metric, cancellation, and chip modeling concepts found in the literature (e.g., Battista 1983). The zero in this counterbalance model indicates neutralization. The distinguishing element of this model is that the quantities always remain, even when neutralized. For example, consider three electrons (3) and three protons (+3) that provide an electrical charge of 0, with 3 + 3 = 0. The electrons, with a charge of 3, and the protons, with a charge of +3, still exist despite the neutralization. The existence of quantities that remain, although neutralized, differentiates this way of thinking from the bookkeeping model. Kim used this counterbalance model to describe good deeds and bad deeds in her story. The good and the bad neutralize each other, but the quantities still remain. This model was one of the least used ways of thinking by our students, even after instruction on integers. It appears that ideas of neutralization were not as intuitive  for students as with the concept of bookkeeping.",,
8,Making Sense of Integers through Storytelling - National Council of Teachers of Mathematics,Relativity,,
9,Making Sense of Integers through Storytelling - National Council of Teachers of Mathematics,"A conceptual model of relativity involves using integers in relative positions and as a comparison to a referent. With relativity, the zero is not actually zero but treated as a referent, or point of reference, for comparison. In Mollys story, the actual score of the game is unknown, and the negative integers are used in a way relative to a tied game. For instance, Molly used 5 to represent being down  5 runs from the winning score. The actual score could have been 25 to 20, 7 to 2, or any score in which a particular team is down by 5 runs. Of all the conceptual models, this way of thinking was used the least by our students. The relativity conceptual model may be more abstract and therefore more difficult to conceptualize than other ways of thinking because the referent is unknown.",,
