__id__,__filename__,text,__id__,__filename__
0,Making Squares,solve it student thinking big solutions to little problems,0,Making Squares
1,Making Squares,Annie Perkins and Pamela J. Wells,1,Making Squares
2,Making Squares,N A T I O N A L   C O U N C I L   O F   T E A C H E R S   O F   M A T H E M A T I C S   •   W W W. N C T M . O R G mathematics,2,Making Squares
3,Making Squares,MIDDLE SCHOOL teaching in the,3,Making Squares
4,Making Squares,NOVEMBER 2016,4,Making Squares
5,Making Squares,Analyzing,5,Making Squares
6,Making Squares,Secret,6,Making Squares
7,Making Squares,Messages p.208,7,Making Squares
8,Making Squares,This Solve It task appeared in the November 2016 issue:,8,Making Squares
9,Making Squares,Making Squares,9,Making Squares
10,Making Squares,"Ms. Harper needs a large number of congruent squares for a craft project for her students. She fi nds a large piece of cardboard that measures 588 cm × 630 cm. She would like to use all the cardboard, with no waste, and wants the squares to be as large as possible.",10,Making Squares
11,Making Squares,1.  What are the dimensions of the largest squares that Ms. Harper can  create without having any leftover cardboard? Remember that all squares must be congruent. How do you know that no other larger size is possible? 2. How many squares of that size will Ms. Harper be able to create?   Ms. Harper decides that a nonsquare rectangle might work better for her  students’ craft project. She cuts the 588 cm × 630 cm piece of cardboard into 108 congruent rectangles with no waste.  3. What are the dimensions of the rectangles that Ms. Harper could create? Are there any other dimensions she could have used? How do you know?,11,Making Squares
12,Making Squares,CCSSM: 6.NS.B.4,12,Making Squares
13,Making Squares,"SMP 1, 2, 3, and 4 ",13,Making Squares
14,Making Squares,"This department shares creative solutions to the problems in Solve It. Edited by  Annie Perkins, annie.k.perkins@gmail.",14,Making Squares
15,Making Squares,"com, and Pamela J. Wells, wellsp@gvsu.",15,Making Squares
16,Making Squares,"edu, Grand Valley State University, Allendale, Michigan.",16,Making Squares
17,Making Squares,"Fig. 1 This work shows Angel, Adrian, Aya, and Brandon’s approach to finding the largest possible square.",17,Making Squares
18,Making Squares,"centimeters big. I found this by using prime factorization to find the greatest common factor (GCF) of the lengths of the two sides. I know this is the largest because 42 is the greatest common factor, so no greater number fits evenly into both sides. This means that squares with larger dimensions cannot be made from the cardboard without leftover pieces.” Charlene’s explanation is a good example of a student using ",18,Making Squares
