__id__,__filename__,text,__id__,__filename__
0,Math for Real: Octane Algebra,math for real “when will I ever use this?”,0,Math for Real: Octane Algebra
1,Math for Real: Octane Algebra,MATH TOPICS ADDRESSED: • Using formulas • Analyzing domain and range • Solving equations and inequalities •  Calculating arithmetic mean,1,Math for Real: Octane Algebra
2,Math for Real: Octane Algebra,"CCSSM: 7.EE.3, 7.EE.4",2,Math for Real: Octane Algebra
3,Math for Real: Octane Algebra,Octane Algebra,3,Math for Real: Octane Algebra
4,Math for Real: Octane Algebra,Don S. Balka and Dave Rash,4,Math for Real: Octane Algebra
5,Math for Real: Octane Algebra,The numbers printed on gasoline pumps are called Pump Octane Numbers (PON). They are generated by a simple arithmetical average:,5,Math for Real: Octane Algebra
6,Math for Real: Octane Algebra,PON,6,Math for Real: Octane Algebra
7,Math for Real: Octane Algebra,RON MON,7,Math for Real: Octane Algebra
8,Math for Real: Octane Algebra,"RON refers to the Research Octane Number, and MON is the Motor Octane Number. The numbers are generated from signiﬁ cant research with test engines and gasoline. The gasoline labeled regular at the pump usually has a PON of 87. Premium gasoline is generally 91 or 93. Racing fuels have a PON greater than 100.",8,Math for Real: Octane Algebra
9,Math for Real: Octane Algebra,PROBLEMS 1.  If gasoline has a RON of 96 and a ,9,Math for Real: Octane Algebra
10,Math for Real: Octane Algebra,"MON of 92, what is the PON? 2.  If the PON is 87 and the RON is  91, what is the MON? 3.  Some experimental vehicles now  use propane as a fuel. It has a ",10,Math for Real: Octane Algebra
11,Math for Real: Octane Algebra,"Edited by Erik Tillema, etillema@iupui .edu, who teaches at Indiana University in Indianapolis, and Fred Dillon, dillon314 @sbcglobal.net, a math educator from Strongsville, Ohio. Manuscripts should show how math is used to solve a real-life problem, preferably in the context of one’s profession, and should be no more than 300 words. Submit manuscripts through http://mtms.msubmit.net.",11,Math for Real: Octane Algebra
12,Math for Real: Octane Algebra,"PON of about 110 and a MON of 97. What is the RON? 4.  E85 gasoline is a blend of gasoline and ethanol fuel. The PON is generally in the 94−96 range, and the MON is in the 85−87 range. What is the range for the RON? 5.  Although automobile gasoline typically has a maximum of 91, Great Britain and France both have PONs of 98 and MONs in the high 80s. What are their possible RONs? 6.  a.  What possible values can  produce a PON of 87? Construct a graph that shows a constant PON of 87.    b.  Similarly, consider different  ways to make a PON of 91 and construct a graph that shows a constant PON of 91.  c.  What is the slope of each graph? ",12,Math for Real: Octane Algebra
13,Math for Real: Octane Algebra,"What is the y-intercept of each graph? Are the graphs different, depending on whether the RON or the MON is the independent variable?",13,Math for Real: Octane Algebra
14,Math for Real: Octane Algebra,"Don S. Balka is Professor Emeritus at Saint Mary’s College, Notre Dame, Indiana, and president of TODOS: Mathematics for All. Dave Rash is a retired electrician and former co-owner of Banner Electric in Plymouth, Indiana.",14,Math for Real: Octane Algebra
15,Math for Real: Octane Algebra,Download one of the free apps for your smartphone. Then scan this tag to access the solutions to Math for Real that are online at http://www.nctm.org/mtms057.,15,Math for Real: Octane Algebra
16,Math for Real: Octane Algebra,"February 14–15, 2014 | Orlando, Fl",16,Math for Real: Octane Algebra
17,Math for Real: Octane Algebra,Cutting to the “Common Core” for Grades 6–8 ,17,Math for Real: Octane Algebra
18,Math for Real: Octane Algebra,The NCTM iNTeRaCTive iNSTiTuTe SeRieS,18,Math for Real: Octane Algebra
19,Math for Real: Octane Algebra,Space  is limited— ReGiSTeR  Today!,19,Math for Real: Octane Algebra
20,Math for Real: Octane Algebra,"The Interactive Institute for Grades 6–8  for Grades 6–8 Teachers of Mathematics Increase your knowledge of mathematics content related to the Common Core domains for the middle grades, and learn strategies that will help you align your instruction with the Common Core State Standards for Mathematics. ",20,Math for Real: Octane Algebra
21,Math for Real: Octane Algebra,NCTM’s Interactive Institute offers the latest stratNCTM’s Interactive Institute offers the latest stratNCTM’s Interactive Institute offers the latest strat egies to ensure that your students receive the best preparation for higher education and beyond.,21,Math for Real: Octane Algebra
22,Math for Real: Octane Algebra,Topics addressed in the NCTM Interactive Institute Series include the following: • Ratios and Proportional Relationships • The Number System • Expressions and Equations • Functions • Geometry • Statistics and Probability,22,Math for Real: Octane Algebra
23,Math for Real: Octane Algebra,Group DIsCounts Are AvAIlAble,23,Math for Real: Octane Algebra
24,Math for Real: Octane Algebra,This institute is part of our comprehensive series available for PK–12 teachers and school leaders.  Schools/districts are encouraged to send  groups to learn as a team. Visit the website for more information.,24,Math for Real: Octane Algebra
25,Math for Real: Octane Algebra,SPaCE IS lIMITEd. Register early at    www.nctm.org/CCSSMMS to secure your spot.,25,Math for Real: Octane Algebra
26,Math for Real: Octane Algebra,THE NATION’S PREMIER MATH EDUCATION EVENT ,26,Math for Real: Octane Algebra
27,Math for Real: Octane Algebra,ANNUAL MEETING & EXPOSITION,27,Math for Real: Octane Algebra
28,Math for Real: Octane Algebra,"April 9–12 • New Orleans, LA",28,Math for Real: Octane Algebra
29,Math for Real: Octane Algebra,Big Ideas  in the Big Easy!,29,Math for Real: Octane Algebra
30,Math for Real: Octane Algebra,"Join us in New Orleans for the nation’s largest math education event. More than 700 presentations will offer ideas, tools, and strategies you can immediately apply to help your students grow and succeed. Whether you’re a classroom teacher, coach, administrator, teacher-in-training, or math specialist, NCTM’s Annual Meeting has something for you.",30,Math for Real: Octane Algebra
31,Math for Real: Octane Algebra,•  Learn practices central to teaching the Common Core •  Gain practical solutions to transform your classroom •  Discover new and effective methods to incorporate •  Get answers to pivotal questions and concerns  into an environment rich in problem solving.,31,Math for Real: Octane Algebra
32,Math for Real: Octane Algebra,technology in the classroom.,32,Math for Real: Octane Algebra
