__id__,__filename__,text,__id__,__filename__
0,Math for Real: Preparing for the 2014 Winter Olympics,math for real “when will I ever use this?”,0,Math for Real: Preparing for the 2014 Winter Olympics
1,Math for Real: Preparing for the 2014 Winter Olympics,Math topics addressed: • Data analysis • Algebra,1,Math for Real: Preparing for the 2014 Winter Olympics
2,Math for Real: Preparing for the 2014 Winter Olympics,Preparing for the  2014 Winter Olympics,2,Math for Real: Preparing for the 2014 Winter Olympics
3,Math for Real: Preparing for the 2014 Winter Olympics,Amy Hillen and Joe DeMaio,3,Math for Real: Preparing for the 2014 Winter Olympics
4,Math for Real: Preparing for the 2014 Winter Olympics,"The 22nd Winter Olympic Games will be held February 7-23, 2014, in Sochi, Russia. During the Games, fans and the media keep track of the medal standings for participating countries and often try to argue that a particular country “won.”  proBleMs 1.  Consider the medal standings in the  table at right. Notice that the total number of gold, silver, and bronze medals awarded at the 2006 games was the same, but this was not the case at the 2010 games. What  factors might account for this? 2.  a.  One way to measure a country’s ",4,Math for Real: Preparing for the 2014 Winter Olympics
5,Math for Real: Preparing for the 2014 Winter Olympics,"Olympic performance is to create an expression that takes into consideration the number and type of medals won, such as (3 × number of gold medals) + (2 × number of silver medals) + (1 × number of bronze medals). Using this expression, how do the 2010 performances of the countries compare? ",5,Math for Real: Preparing for the 2014 Winter Olympics
6,Math for Real: Preparing for the 2014 Winter Olympics,"Edited by Fred dillon, dillon314@ sbcglobal.net, of Strongsville, Ohio, and Kevin dykema, k.dykema@mattawanschool .org, of Mattawan, Michigan. Manuscripts should show how math is used to solve a real-life problem, preferably in the context of one’s profession, and should be no more than 300 words. Submit manuscripts through http://mtms.msubmit.net.  2006 Winter olympics Medal standings",6,Math for Real: Preparing for the 2014 Winter Olympics
7,Math for Real: Preparing for the 2014 Winter Olympics,Bronze,7,Math for Real: Preparing for the 2014 Winter Olympics
8,Math for Real: Preparing for the 2014 Winter Olympics,Silver,8,Math for Real: Preparing for the 2014 Winter Olympics
9,Math for Real: Preparing for the 2014 Winter Olympics,Gold 84 10 84 84 2010 Winter olympics Medal standings 14 86 15 87 13 85,9,Math for Real: Preparing for the 2014 Winter Olympics
10,Math for Real: Preparing for the 2014 Winter Olympics,Total 25 24 252 37 26 258,10,Math for Real: Preparing for the 2014 Winter Olympics
11,Math for Real: Preparing for the 2014 Winter Olympics,Country,11,Math for Real: Preparing for the 2014 Winter Olympics
12,Math for Real: Preparing for the 2014 Winter Olympics,United States,12,Math for Real: Preparing for the 2014 Winter Olympics
13,Math for Real: Preparing for the 2014 Winter Olympics,Canada,13,Math for Real: Preparing for the 2014 Winter Olympics
14,Math for Real: Preparing for the 2014 Winter Olympics,No. of medals awarded,14,Math for Real: Preparing for the 2014 Winter Olympics
15,Math for Real: Preparing for the 2014 Winter Olympics,United States,15,Math for Real: Preparing for the 2014 Winter Olympics
16,Math for Real: Preparing for the 2014 Winter Olympics,Canada,16,Math for Real: Preparing for the 2014 Winter Olympics
17,Math for Real: Preparing for the 2014 Winter Olympics,"No. of medals awarded b.  Create some other ways to   compare the performances of the countries.  3.  Suggest some ways to predict the total number of medals that the United States and Canada will  win at the 2014 games. What  assumptions are you making in your predictions? 4.    The International Olympic Com  mittee recently added 12 new Olympic events, increasing the program to 15 sports with 98 medal events. Do your predictions from question 3 change based on this information? If yes, make new  predictions. If no, explain why.  eXtension",17,Math for Real: Preparing for the 2014 Winter Olympics
18,Math for Real: Preparing for the 2014 Winter Olympics,"After the 2014 games conclude, find the medal totals and compare these results with the predictions you made  in question 3. How accurate were your predictions? amy hillen, ahillen@kennesaw.edu,  and Joe deMaio, jdemaio@kennesaw .edu, are colleagues in the department of mathematics and statistics at Kennesaw State University in Kennesaw, Georgia. Hillen is a mathematics teacher educator who works with prospective elementary teachers. DeMaio is a mathematician who specializes in graph theory.",18,Math for Real: Preparing for the 2014 Winter Olympics
19,Math for Real: Preparing for the 2014 Winter Olympics,"Download one of the free apps for your smartphone, then scan this tag to access the solutions to Math for Real that are online at  http://www.nctm.org/mtms063.",19,Math for Real: Preparing for the 2014 Winter Olympics
20,Math for Real: Preparing for the 2014 Winter Olympics,Welcome the New Year with New Books from NCTM!,20,Math for Real: Preparing for the 2014 Winter Olympics
21,Math for Real: Preparing for the 2014 Winter Olympics,NCTM Members Save 25%! Use code MTMS1213 when placing order. Offer expires 2/28/14.*,21,Math for Real: Preparing for the 2014 Winter Olympics
22,Math for Real: Preparing for the 2014 Winter Olympics,M AT H I S A L L A R O U N D U S,22,Math for Real: Preparing for the 2014 Winter Olympics
23,Math for Real: Preparing for the 2014 Winter Olympics,MATH IS ALL AROUND US,23,Math for Real: Preparing for the 2014 Winter Olympics
24,Math for Real: Preparing for the 2014 Winter Olympics,M AT H I S A L L A R O U N D U S,24,Math for Real: Preparing for the 2014 Winter Olympics
25,Math for Real: Preparing for the 2014 Winter Olympics,M AT H I S A L L A R O U N D U S,25,Math for Real: Preparing for the 2014 Winter Olympics
26,Math for Real: Preparing for the 2014 Winter Olympics,M AT H I S A,26,Math for Real: Preparing for the 2014 Winter Olympics
27,Math for Real: Preparing for the 2014 Winter Olympics,NEW TITLES ON SECONDARY,27,Math for Real: Preparing for the 2014 Winter Olympics
28,Math for Real: Preparing for the 2014 Winter Olympics,MATHEMATICS EDUCATION,28,Math for Real: Preparing for the 2014 Winter Olympics
29,Math for Real: Preparing for the 2014 Winter Olympics,NEW Success from the Start:,29,Math for Real: Preparing for the 2014 Winter Olympics
30,Math for Real: Preparing for the 2014 Winter Olympics,Your First Years,30,Math for Real: Preparing for the 2014 Winter Olympics
31,Math for Real: Preparing for the 2014 Winter Olympics,Teaching,31,Math for Real: Preparing for the 2014 Winter Olympics
32,Math for Real: Preparing for the 2014 Winter Olympics,Secondary,32,Math for Real: Preparing for the 2014 Winter Olympics
33,Math for Real: Preparing for the 2014 Winter Olympics,Mathematics,33,Math for Real: Preparing for the 2014 Winter Olympics
34,Math for Real: Preparing for the 2014 Winter Olympics,BY ROB WIEMAN AND,34,Math for Real: Preparing for the 2014 Winter Olympics
