__id__,__filename__,text,__id__,__filename__
0,Math for Real: The Battle of Antietam,math for real “when will I ever use this?”,0,Math for Real: The Battle of Antietam
1,Math for Real: The Battle of Antietam,The Battle of Antietam,1,Math for Real: The Battle of Antietam
2,Math for Real: The Battle of Antietam,Alessandra King,2,Math for Real: The Battle of Antietam
3,Math for Real: The Battle of Antietam,Math topics addressed: • Connections • Ratio and proportion • Making conclusions from data,3,Math for Real: The Battle of Antietam
4,Math for Real: The Battle of Antietam,"The Battle of Antietam (also called the Battle of Sharpsburg), fought on September 17, 1862, is frequently described as the bloodiest single day of fighting during the American Civil War. To explore the significance of the battle’s large number of casualties, which include both Union and Confederate dead, wounded, and missing or captured, we can convert the data in terms of the current American population. In so doing, we wish to answer this question: What was the social impact of this battle, and how can we quantify it?",4,Math for Real: The Battle of Antietam
5,Math for Real: The Battle of Antietam,"Edited by Fred dillon, dillon314@ sbcglobal.net, a math educator from Strongsville, Ohio, and Kevin dykema, k.dykema@mattawanschool.org, in  Mattawan, Michigan. Manuscripts should show how math is used to solve a real-life problem, preferably in the context of one’s profession, and should be no more than 300 words. Submit manuscripts through http://mtms.msubmit.net.  proBleMs 1.  Research population data and fill  in the chart below.",5,Math for Real: The Battle of Antietam
6,Math for Real: The Battle of Antietam,1862 2013,6,Math for Real: The Battle of Antietam
7,Math for Real: The Battle of Antietam,U.S.  Population 2.  Research the approximate number of casualties that resulted from the Battle of Antietam and write your answer in the space below.,7,Math for Real: The Battle of Antietam
8,Math for Real: The Battle of Antietam,"  Casualties: __________________ 3.  Using the data above, calculate the equivalent approximate number of casualties if the Battle of Antietam had been fought using the 2013 U.S. population number.    Casualties: ___________________ 4.  Antietam was a one-day battle. Does this number of casualties surprise you? Do they help you understand this Civil War battle? Why or why not? 5.  Extension: Research some of the Civil War-era technological tools that were new at the time as well as the strategic miscalculations that triggered such a great loss of lives. ",8,Math for Real: The Battle of Antietam
9,Math for Real: The Battle of Antietam,"Ed. note: Alessandra King has  additional material on this lesson.  To find out more, contact her at  alessandra.king@holton-arms.edu.  alessandra King, alessandra.king@ holton-arms.edu, studies mathematics with her students at the Holton-Arms School in Bethesda, Maryland. She has taught mathematics and physics at the middle school and upper school levels and is interested in creative problem solving, critical thinking, and quantitative reasoning. ",9,Math for Real: The Battle of Antietam
10,Math for Real: The Battle of Antietam,Download one of the free apps for your smartphone. Then scan this tag to access the solutions to Math for Real that are online at http://www.nctm.org/mtms070.,10,Math for Real: The Battle of Antietam
11,Math for Real: The Battle of Antietam,COMMON CORE PATHWAYS,11,Math for Real: The Battle of Antietam
12,Math for Real: The Battle of Antietam,COMMON CORE PATHWAYS,12,Math for Real: The Battle of Antietam
13,Math for Real: The Battle of Antietam,COMMON CORE PATHWAYS,13,Math for Real: The Battle of Antietam
14,Math for Real: The Battle of Antietam,COMMON CORE PATHWAYS,14,Math for Real: The Battle of Antietam
15,Math for Real: The Battle of Antietam,FOR MIDDLE SCHOOL MATHEMATICS,15,Math for Real: The Battle of Antietam
16,Math for Real: The Battle of Antietam,Big Ideas Math offers  your students   •  Rigor  •  Relevance •  Coherence,16,Math for Real: The Battle of Antietam
17,Math for Real: The Battle of Antietam,Request your sample  copies today!,17,Math for Real: The Battle of Antietam
18,Math for Real: The Battle of Antietam,Ron Larson,18,Math for Real: The Battle of Antietam
19,Math for Real: The Battle of Antietam,Laurie Boswell,19,Math for Real: The Battle of Antietam
20,Math for Real: The Battle of Antietam,Contact your Houghton Mifflin Harcourt account executive   for a preview of this exciting and unique program! (800) 225-5425 • BigIdeasMath.com,20,Math for Real: The Battle of Antietam
21,Math for Real: The Battle of Antietam,Distributed exclusively by,21,Math for Real: The Battle of Antietam
22,Math for Real: The Battle of Antietam,Houghton Mifflin Harcourt,22,Math for Real: The Battle of Antietam
