__id__,__filename__,text,__id__,__filename__
0,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context",mathematical explorations classroom-ready activities,0,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
1,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context","Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context",1,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
2,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context","S. Asli Özgün-Koca, Thomas G. Edwards, and Kenneth R. Chelst",2,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
3,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context","Proportional reasoning is defined as a cornerstone concept that lays the groundwork for students’ understanding of higher-level mathematical concepts such as those in algebra and measurement. On March 11, 2013, NCTM published a Research Brief on ratio and proportion, highlighting the need for extended time to be allocated to ratio and proportion study at the middle school level. Understanding percentages and the concepts of ratio and rate is essential for the development of a student’s proportional reasoning ability. ",3,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
4,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context",According to the Common Core ,4,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
5,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context","State Standards for Mathematics (CCSSI 2010), sixth-grade students should spend considerable time on the concepts of ratio, rate, and unit rate. Percentage studies, as a special case of ratio, were also included in the list. An intense focus on proportional reasoning follows at the seventh-grade level. These seventh graders should also start representing proportional relationships ",5,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
6,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context","Edited by Barbara Zorin, drbzorin@ gmail.com, MATHBonesPro, and  carrie Fink, cfink@methow.org, Liberty Bell Junior-Senior High School, Winthrop, Washington. Submit manuscripts through  http://mtms.msubmit.net.  with equations and making connections to y = mx, which continues at the eighth-grade level with multiple representations. ",6,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
7,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context","The activity described below helps  students think proportionally by presenting a realistic context. In the Research Brief, NCTM raises the question, “How should teachers balance teaching skills versus concepts?” One central concept in proportional reasoning is “learning to attend to two quantities simultaneously” in a multiplicative manner (NCTM 2013, p. 1), which involves tracking multiplicative change in both quantities. We believe that the food context can be beneficial in helping students think about two quantities simultaneously. ",7,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
8,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context","We share an activity centered on an authentic context: calculating the nutritional content of a Big Mac™  and exercising away the calories by researching ratios, percentages, rates, and proportion. The skill component was highlighted through sharing different strategies that students used during the problem-solving process.  instRUctions FoR  the teacheR",8,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
9,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context","For this activity, allow two class sessions. The materials that will be  needed are a laptop computer and the activity sheets. Give students these instructions:  You will work in pairs today and share a laptop computer. Please take turns when completing the computer activities. Work with your partner to answer questions 1-3 on activity sheet 1. After all groups have finished, the class will reconvene to answer questions 1-3. We will repeat this process for questions 4-5 on activity sheet 1 and throughout activity sheet 2.",9,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
10,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context","We completed this activity in  two sixth-grade classes in one school and in three mixed sixth-grade and seventh-grade classes in another. Students were paired, and each pair had access to a laptop computer. We also suggest providing a calculator or pointing students to basic calculator software on their computer to complete computations during the activity. We did not want students to have to calculate Big Mac percentages by hand. ",10,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
11,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context","Working in pairs, students helped  each other follow the activity, both conceptually and technologically. We instructed students to work through  the activity sheets and share ideas in sections, rather than working on the entire task at once. In this way, we were able to follow the pair work with whole-class discussions. Thus, all students received feedback on their work. We completed this activity in one class session. However, based on our experience, we suggest that teachers allow two sessions for this activity.",11,"Mathematical Explorations: Exercise Away the Big Mac: Ratios, Rates, and Proportions in Context"
