__id__,__filename__,text,__id__,__filename__
0,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method,mathematical explorations classroom-ready activities,0,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method
1,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method,Finding Pi with Archimedes’s Exhaustion Method,1,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method
2,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method,Alessandra King,2,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method
3,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method,"Studying historical puzzles can give students a perspective on the usefulness of math as a tool and on the creative aspects of problem solving. Pi Day offers a wonderful opportunity for such inquiry. My students and I have enjoyed retracing and applying some parts of Archimedes’s method of exhaustion to measure the ratio of the circumference of a circle to its diameter. Archimedes lived from 287 BCE until 212 BCE and was one of the greatest mathematicians of all times, as well as an extraordinarily creative problem solver. He formulated how to approximate the circumference of a circle using a sequence of inscribed and circumscribed regular polygons whose perimeters converged to the circumference (see fi gs. 1a−b). His system was a precursor to calculus, specifi cally the concept of limit, which we briefl y discussed at the end of our lesson. ",3,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method
4,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method,The main objective of this exploration is to show students how formulas came into existence and how they describe clear mathematical relationships. Middle school students are gen-,4,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method
5,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method,"Edited by Barbara Zorin, drbzorin@ gmail.com, MATHBonesPro, and carrie Fink, cfi nk@methow.org, Liberty Bell Junior-Senior High School, Winthrop, Washington. Submit manuscripts through http://mtms.msubmit.net.  erally familiar with the formula C = pd that connects the circumference of any circle to its diameter through the constant p. However, they may not always understand its real meaning or may not know how this formula was discovered. As students explore the process that led to the discovery of C = pd, they will develop a better appreciation of the nature of mathematics and of the profound connections between the various areas of this discipline.",5,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method
6,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method,"Studying math in context gives students the opportunity to participate in real-life problem solving as well as recognize the usefulness of mathematics. This activity can also offer a glimpse into the intellectual development of some fascinating ideas, a closer look at Archimedes’s work, and the occasion to think and communicate mathematically about higher-order mathematical concepts.",6,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method
7,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method,"Ask students to research some aspect of Archimedes’s life and the mathematical issues he confronted. Students can then share what they learned with the class. This is generally a wellreceived activity and a good introduction to the history of mathematics. To calculate the value of pi, my students used a method similar to Archimedes’s, although it did not involve applying the great mathematician’s precise geometric ratios, concepts well beyond the geom-",7,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method
8,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method,Fig. 1 These diagrams illustrate Archimedes’s ideas.,8,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method
9,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method,"(a) (b) etry knowledge possessed by middle school students. Instead, my students used a more experimental approach by directly measuring the lengths of the sides of the polygons using rulers and yardsticks.",9,Mathematical Explorations: Finding Pi with Archimedess Exhaustion Method
