__id__,__filename__,text,__id__,__filename__
0,Mathematics Discussions: Expectations Matter,Various strategies can  help you build a classroom  environment rich with mathematical discussion.,0,Mathematics Discussions: Expectations Matter
1,Mathematics Discussions: Expectations Matter,MATHEMATICS DISCUSSIONS: ,1,Mathematics Discussions: Expectations Matter
2,Mathematics Discussions: Expectations Matter,Expectations Matter rReflect on a time when your students were  •  Who was doing the majority of the talking? •  What was your role as the teacher during  engaged in a mathematics classroom discussion. Ask yourself:,2,Mathematics Discussions: Expectations Matter
3,Mathematics Discussions: Expectations Matter,"George J. Roy, Sarah B. Bush, ",3,Mathematics Discussions: Expectations Matter
4,Mathematics Discussions: Expectations Matter,"Thomas E. Hodges, and  •  How did you facilitate student-to-student ",4,Mathematics Discussions: Expectations Matter
5,Mathematics Discussions: Expectations Matter,Farshid Safi the dialogue? dialogue? •  How did you use this opportunity to   formatively assess student understanding? ,5,Mathematics Discussions: Expectations Matter
6,Mathematics Discussions: Expectations Matter,"Strategic and carefully facilitated classroom discussions can foster a deep understanding of mathematics because—  discourse in the mathematics classroom gives students opportunities to share ideas and clarify understandings, construct convincing arguments regarding why and how things work, develop a language for expressing mathematical ideas, and learn to see things from other perspectives. (NCTM 2014, p. 29)",6,Mathematics Discussions: Expectations Matter
7,Mathematics Discussions: Expectations Matter,"Expectations Matter to right. Another root of this problem can be traced back to a general lack of understanding of properties of arithmetic. Students’ understandings of the properties of arithmetic are greatly enhanced in the middle grades if algebraic connections are explicitly connected to arithmetic properties previously explored in elementary school. As Carpenter, Franke, and Levi (2003, p. 2) surmise, “The fundamental properties that children use in carrying out arithmetic calculations provide the basis for most of the symbolic manipulation in algebra.” ",7,Mathematics Discussions: Expectations Matter
8,Mathematics Discussions: Expectations Matter,"In the following classroom episode,  the ﬁ rst author explored equivalent expressions using the distributive property with a class of 24 sixth-grade students. The mathematical learning goal of this lesson was twofold: ",8,Mathematics Discussions: Expectations Matter
9,Mathematics Discussions: Expectations Matter,"When students  only work  independently, rich classroom  exchanges will be lost, and students cannot build their understanding on  the thinking of  others.",9,Mathematics Discussions: Expectations Matter
10,Mathematics Discussions: Expectations Matter,"It is vital that students engage in such experiences in purposeful ways. However, in a more traditional setting, some students have experienced success in mathematics in other ways, such as by reviewing their homework, “checking” for right answers, and volunteering in class. ",10,Mathematics Discussions: Expectations Matter
11,Mathematics Discussions: Expectations Matter,"As we consider what it means for  our students to “do mathematics” successfully, we must explore our role as teachers in a way that strategically supports students as powerful agents for their own learning. As we foster a classroom environment based on agreed-on expectations, we must help students learn how to engage in whole-class discussions that create opportunities for learning among all students (Stephan and Whitenack 2003). ",11,Mathematics Discussions: Expectations Matter
12,Mathematics Discussions: Expectations Matter,"Smith and Stein (2011) identiﬁ ed ﬁ ve instructional practices rooted in students’ thinking that guide teachers in making important mathematical ideas public. In concert with engaging in the ﬁ ve practices, it is essential for a teacher to foster a classroom environment in which sense making remains central to daily learning experiences. One strategic way to build a classroom environment rich with mathematical discussions is to engage students in mathematical tasks that require them to build their understanding on the reasoning of others (Knudsen et al. 2014). ",12,Mathematics Discussions: Expectations Matter
13,Mathematics Discussions: Expectations Matter,"As students discuss a task, the  teacher’s role is to continually work with them to negotiate what highquality discourse sounds like. For example, it is important to establish student expectations, such as that all students will— 1.  participate, even those who do not  raise their hands;  2.  explain and justify their thinking; 3.  restate a classmate’s reasoning; 4.  make sense of another classmate’s  reasoning; and  5.  ask a question if they are not sure  that they understand. ",13,Mathematics Discussions: Expectations Matter
14,Mathematics Discussions: Expectations Matter,"These expectations encourage active listening among students while maximizing the opportunity for all students to participate in the discussion (Brooks and Dixon 2013; Chapin, O’Connor, and Anderson 2009; Stephan and Whitenack 2003). Although the negotiation of classroom expectations develops over time before being sustained by students (Dixon, Andreasen, and Stephan 2009), these expectations provide the requisite foundation for students’ interactions during a meaningful whole-class discussion. ",14,Mathematics Discussions: Expectations Matter
