__id__,__filename__,text,,
0,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,"The Maya calendar received a lot of attention in the years leading up to December 21, 2012, because of the mythological end of creation. Co-author Megan Rehm, a seventh-grade math teacher, had recently completed a graduate class in which she was introduced to the Maya civilization and calendar. Her prealgebra students were particularly interested in the cataclysmic Maya prophecy, so she created a lesson reinforcing the least common multiple (LCM). Since 15 percent of Rehms students were members of immigrant families, she decided to design a culture-laden lesson. In so doing, it would give her students an opportunity to develop a compassionate understanding of their classmates from different backgrounds and would help foster an atmosphere of respect, solidarity, and collaboration.",,
1,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,"Rehm also thought that there would be numerous occasions within the task to give students the opportunity to engage in several of the Common Cores Standards for Mathematical Practice (SMP) (CCSSI 2010), aligning to a departmental goal. The SMP are key processes and proficiencies that describe the type of mathematical thinking and reasoning that Kgrade-12 students should engage in. Rehm intended that her lesson allow students to construct their own arguments and critique others, use tools strategically, and identify and build on patterns. We describe the background of the Maya calendars and narrate the lesson that Rehm designed, specifically noting the mathematical content that students discovered and the mathematical practices they had the opportunity to develop.",,
2,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,HISTORY OF MAYA CALENDARS,,
3,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,"The Maya civilizations long history is divided into three eras. The first era, the Preclassic period, began ca. 1200 BC. The second era, the Classic period, began AD 200. The last era, the Postclassic period, ended in AD 1519. This Mesoamerican civilization extended across what is now Belize, parts of Mexico, Guatemala, El Salvador, and Honduras. The Maya developed writing and number systems and excelled in several areas of science, especially astronomy. On the basis of their astronomical interpretations, they were able to develop an intricate system of calendars. The well-known date of December 21, 2012, marked the end of a grand cycle in the Long Count calendar, not the end of the world as the media advertised worldwide. It is worth noting that not a single Maya hieroglyphic text mentions disaster or the end of time (Maya Exploration Center 2015).",,
4,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,THE LESSON,,
5,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,"After presenting a short history of the Maya civilization to her students, Rehm began the lesson by introducing the design of the Maya calendar, as a sort of story . . . to capture students imagination (Neel 2005, p. 55). She shared that the days in the Maya Tzolkin (pronounced sole-keen) calendar are defined by one of 20 names (derived from names of gods) and one of 13 numbers. To convey the culture to her students, she asked them to consider the names used in their own weekly (Gregorian) calendar, both in English and Spanish, and whether the names of gods were incorporated into the days of the week. Several of her students did make some connections, as illustrated in the conversation that occurred:",,
6,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,"With some encouragement, students realized that Thursday in Englishis derived from the Nordic god Thor; Saturday from the Roman god Saturn; and that the Spanish day names martes, mircoles, and viernes reflect the Roman god names Mars, Mercury, and Venus. Students discovered through this conversation that the Tzolkin calendar is defined similarly to their own, which captured their interest. This connection was enhanced when Rehm elaborated on one name, in particular, in the Tzolkin calendar: Ahau (uh-how), sometimes spelled Ahaw. This name refers to a lord in the Maya nobility. The English language similarly uses lord to refer to both a nobleman and deity.",,
7,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,"The format of the Tzolkin calendar (see fig. 1) may appear foreign to students. Catepilln and Szymanski (2010, p. 2) explain how this calendar indicates a day:",,
8,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,,,
9,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,"The consecutive dates are formed as follows: 1 Imix, 2 Ik, 3 Akbal,4 Kan, . . . , 12 Eb, 13 Ben, 1 Ix, 2 Men, . . . , etc.",,
10,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,"That is, each day rotates to a new name (i.e., the right dial rotates counterclockwise) as well as to a new number (i.e., the left dial rotates clockwise). When considering the familiar Gregorian calendar (see fig. 2) of approximately 30-day months, this daily rotation of names appears strange unless viewed as paralleling the Gregorian day names, Sunday through Saturday, combined with the numerical position in a month. Thus, today might be Saturday the 30th and tomorrow will be Sunday the 1st. One would then move forward through both a cycle of names and a cycle of numbers.",,
11,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,,,
12,Maya Calendars in the Classroom - National Council of Teachers of Mathematics,"Students see the familiar Gregorian calendar (see fig. 2) as a pair of day-name and day-number cycles, followed by the Tzolkin calendar in a similar format (see fig. 1). The Tzolkin calendar visual aid led to some discussion among the students as they sought to understand the different calendar system. The following discussion occurred among one group of students:",,
