__id__,__filename__,text,,
0,Measuring Tangrams on a Geoboard - National Council of Teachers of Mathematics,"Many of us are familiar with the tangram and the geoboard. A tangram is a dissection puzzle consisting of seven flat shapes. One objective of the puzzle is to form a specified shape using all seven pieces, with no pieces overlapping. Geoboards are generally used to explore basic concepts found in plane geometry, such as perimeter and area, or basic shapes, such as polygons. Using tangrams in combination with a geoboard provides a rich activity for students that will help them further develop their skills and understanding of operations and algebraic thinking, number and operations, measurement, and geometry, also mentioned in the Common Core State Standards for Mathematics (CCSSM) (CCSSI 2010).",,
1,Measuring Tangrams on a Geoboard - National Council of Teachers of Mathematics,"I originally developed this activity for my preservice elementary school teachers. The purpose was to give them practice working with irrational numbers, specifically square roots, and to practice using a ruler to measure in both English and metric units. In previous lessons, students had been introduced to rational and irrational numbers, so they understood that the square root of whole numbers between perfect squares were irrational numbers. Students were also familiar with basic fractional relationships found among the tangram pieces. Thus, the purpose of this activity was not to introduce students to these elements but to further their understanding of rational and irrational numbers and to foster their reasoning about mathematics using a geoboard in combination with a tangram. Although I presented this activity to preservice teachers, the activity could also be used with eighth graders who are familiar with the concepts noted above. In this activity, students use all seven tangram pieces (called tans) to create a square and then reconstruct the square on the geoboard (see fig. 1).",,
2,Measuring Tangrams on a Geoboard - National Council of Teachers of Mathematics,,,
3,Measuring Tangrams on a Geoboard - National Council of Teachers of Mathematics,The distance between two consecutive horizontal or vertical pegs is calculated using a ruler and measuring in both English and metric units. These measurements are then used to calculate the perimeters and areas of the seven tans. Students enter the perimeters and areas into a table and look for patterns and relationships based on their calculations (see the activity sheet).,,
4,Measuring Tangrams on a Geoboard - National Council of Teachers of Mathematics,,,
5,Measuring Tangrams on a Geoboard - National Council of Teachers of Mathematics,BEGINNING THE ACTIVITY,,
6,Measuring Tangrams on a Geoboard - National Council of Teachers of Mathematics,"Give pairs of students a 5 peg  5 peg geoboard (the standard geoboard used at the elementary school level) and a copy of the activity sheet, and ask them to complete question 1. They are to work with a partner to measure the horizontal or vertical distance between consecutive pegs and list measurements in both inches and centimeters. After the measurements are recorded, hold a class discussion so that there is agreement on the measurements to use for the remaining part of the activity. Note that it is helpful to have class discussion about the differences in measurements because some students will measure from the middle of one peg to the middle of another peg, whereas other students will measure from the outside of the pegs. Two of the Standards for Mathematical Practice have been employed at this point in the activity: using appropriate tools strategically and attending to precision.",,
7,Measuring Tangrams on a Geoboard - National Council of Teachers of Mathematics,"Once the distance between two horizontal or vertical pegs has been calculated (for our geoboards, generally 1 3/8 inches and 3 1/2 cm are used), ask students to use the Pythagorean theorem to determine the exact diagonal distance between two consecutive pegs.",,
8,Measuring Tangrams on a Geoboard - National Council of Teachers of Mathematics,"Students might also recall the relationship between the sides of an isosceles right triangle to calculate the length of the diagonal. I require students to use fractions rather than decimals in their calculations so that they can practice simplifying radicals containing fractions. Similarly, ask them to work with exact values rather than approximate values because many students will round the values. Using exact values will also make it easier for students to identify patterns in the table.",,
9,Measuring Tangrams on a Geoboard - National Council of Teachers of Mathematics,"Ask students to answer questions 2 and 3 on the activity sheet, forming a square using all seven tans. Although students have had previous practice with the seven tans, it is always a challenge for them to put the pieces together to form a square. Once they have completed the square, ask them to recreate it on the geoboard (see fig. 1) and also draw it on their geoboard dot paper for reference. Ask students to complete questions 2a and 2b, finding perimeters and areas of the entire figure as well as the individual pieces displayed on the geoboard. In calculating the total perimeters, students are given practice combining like terms and adding radicals. Also, having students calculate both the total perimeter and area along with the sum of the perimeters and areas of the individual pieces allows them to recognize conservation of area (area of the whole is the sum of the areas of the parts), but perimeter is not conserved because of the addition of the inside lengths.",,
