__id__,__filename__,text,__id__,__filename__
0,Mixing Strategies to Compare Fractions,Mixing to Compare Fractions,0,Mixing Strategies to Compare Fractions
1,Mixing Strategies to Compare Fractions,Strategies,1,Mixing Strategies to Compare Fractions
2,Mixing Strategies to Compare Fractions,"When students have many tools, including context and common numerators, they are more apt to develop mathematical proﬁ ciency.",2,Mixing Strategies to Compare Fractions
3,Mixing Strategies to Compare Fractions,"Strictly teaching algorithms or procedural computations can “encourage children to give up their own thinking” (Kamii and Dominick 1998). Although such procedures are valid for fi nding solutions, students often know only how to use them, and they lack the understanding of why a procedure works. For example, consider the following prospective teacher’s method for comparing 1/6 and 1/8 (Tobias 2009): to students’ ability to use a procedure to solve problems; in other words, it alone will not in other words, it alone will not be enough to allow students to be enough to allow students to be successful with mathematics be successful with mathematics (NRC 2001). ",3,Mixing Strategies to Compare Fractions
4,Mixing Strategies to Compare Fractions,Jennifer M. Tobias,4,Mixing Strategies to Compare Fractions
5,Mixing Strategies to Compare Fractions,"With common denominators, the bottom numbers have to be the same. So I knew that 6 and 8 both go into 24. So whatever it [6] takes to get to 24, which is 4, I multiply by the top. And whatever it [8] takes to get to 24, which is 3, I multiply by the top. And since this one is obviously larger, 4 instead of 3 things, 1/6 is bigger.",5,Mixing Strategies to Compare Fractions
6,Mixing Strategies to Compare Fractions,"Although the procedure was valid  for comparing 1/6 and 1/8, its use altered the problem so that it was a comparison between 3 and 4. As a result, 1/6 and 1/8 were no longer part of the problem, and reasoning about these two fractions was nonexistent. ",6,Mixing Strategies to Compare Fractions
7,Mixing Strategies to Compare Fractions,"In 2001, the National Research ",7,Mixing Strategies to Compare Fractions
8,Mixing Strategies to Compare Fractions,"Council (NRC) published a report suggesting that mathematically profi cient students have fi ve strands of knowledge. These include strategic competence, or the ability to problem solve; adaptive reasoning, or the ability to explain and justify; conceptual understanding, which is understanding why an idea is important and how it connects to other ideas; procedural fl uency, or knowing how to solve problems effi ciently; and productive disposition, which is seeing mathematics as a worthwhile activity (NRC 2001). Only one strand pertains ",8,Mixing Strategies to Compare Fractions
9,Mixing Strategies to Compare Fractions,"This article describes teaching This article describes teaching  strategies to support students in strategies to support students in becoming mathematically profi cient. becoming mathematically profi cient. The examples originate from a class The examples originate from a class of prospective teachers. The instrucof prospective teachers. The instruction focused on having the prospective tion focused on having the prospective teachers understand more than just teachers understand more than just a procedure for comparing fractions a procedure for comparing fractions through experiences similar to what through experiences similar to what they will then have to implement in they will then have to implement in their own classroom, as outlined by the their own classroom, as outlined by the Common Core State Standards for Common Core State Standards for Mathematics. Because the prospecMathematics. Because the prospective teachers were the students in an tive teachers were the students in an education course, they are referred to education course, they are referred to throughout this article as students. throughout this article as students. ",9,Mixing Strategies to Compare Fractions
10,Mixing Strategies to Compare Fractions,Strategies,10,Mixing Strategies to Compare Fractions
11,Mixing Strategies to Compare Fractions,Provide a context,11,Mixing Strategies to Compare Fractions
12,Mixing Strategies to Compare Fractions,"Problems that are placed in a context can help students’ problem-solving abilities or strategic competence (NRC 2001). Word problems allow students to make sense of numbers before they are formally asked to work with them. In addition, providing contextual word problems gives students the opportunity to develop reasoning strategies on their own without being directly told what the strategies are and how to use them. For example, solve the following problem:  After a party, 1/6 of a large mushroom pizza remained, and 1/8 of a large sausage pizza was leftover. Which pizza had more leftover? ",12,Mixing Strategies to Compare Fractions
13,Mixing Strategies to Compare Fractions,How did you solve the problem? ,13,Mixing Strategies to Compare Fractions
14,Mixing Strategies to Compare Fractions,"Chances are the context provided you with a way to visualize what the two fractions represent, and your thinking may have sounded similar to the student’s work shown in figure 1. The student found that 1/6 is greater because an object cut into 6 will create larger pieces than the same object cut into 8. Rather than just finding a common denominator, a context can give students ways to think about what the numbers in the problem represent. The intent of this problem was to have the class develop reasoning strategies related to comparing fractions with common numerators. With common numerators, each fraction will have the sa me number of pieces, and the comparison is in terms of the size of each piece. As seen in the  student’s work, when given a context, he or she was able to reason through the problem and discover that the larger the denominator, the smaller the piece. Without a context, a student may not develop these understandings and instead may revert to computing numbers, as evidenced by the explanation at the beginning of this article.  ask students to exPlain and Justify",14,Mixing Strategies to Compare Fractions
15,Mixing Strategies to Compare Fractions,"Asking students to explain how they solve a problem and justify why their methods work can aid in their development of adaptive reasoning (NRC 2001). This is important to determine if they are using valid methods to construct their answer and in what ways they are finding a solution. For example, consider the following problem:  A birthday party took up two tables. One table had 9 large pizzas for 18 people. The other table had 2 large pizzas for 4 people. Each table shared the pizzas equally. At which table would you want to sit to get the most pizza? ",15,Mixing Strategies to Compare Fractions
16,Mixing Strategies to Compare Fractions,Note that this problem was written  with ratios instead of fractions. This decision was purposefully made to see if students would relate the quantities of 9/18 and 2/4 to determine that each table would have 1 pizza for every 2 people. ,16,Mixing Strategies to Compare Fractions
17,Mixing Strategies to Compare Fractions,"Some students reasoned about  the numbers as ratios to compare the two tables, as seen in the following student’s explanation: fig. 1 Reasoning with a context will allow a student to figure out the larger piece that remained.",17,Mixing Strategies to Compare Fractions
18,Mixing Strategies to Compare Fractions,"It doesn’t matter which table you sit at because they are equal. Both tables have half as many pizzas as people, which is 1 pizza for every  2 people.",18,Mixing Strategies to Compare Fractions
19,Mixing Strategies to Compare Fractions,"By understanding the relationship  between the number of pizzas and people at each table, this student was able to determine that there would be 1 pizza for 2 people at each table. Thus, everyone would receive the same amount. Other students reasoned about how much pizza each person would receive:",19,Mixing Strategies to Compare Fractions
20,Mixing Strategies to Compare Fractions,"Either, because each person, regardless of which table they are at, is getting the same amount of pizza: 1/2 of one pizza. At the table of 18, we can divide each of the pizzas in half because 9 goes into 18 twice. At the table of 4 people, both of the 2 pizzas can also be split in half, giving each person half of a pizza.",20,Mixing Strategies to Compare Fractions
21,Mixing Strategies to Compare Fractions,"This student correctly determined that everyone at both tables receives the same amount of pizza. This thinking was related to how much pizza each person would receive. By understanding that 18 is twice as much as 9, he or she reasoned through what the numbers meant and determined that each table received the same amount because each person would get 1/2 of a pizza. ",21,Mixing Strategies to Compare Fractions
22,Mixing Strategies to Compare Fractions,"As seen with both students’ re- sponses, they determined that people at each table received the same amount. However, some students found this by working with fractions and finding that each person would receive 1/2 of a pizza. Others worked with ratios and determined that 1 pizza would feed  2 people. Although students drew the same conclusion, without an explanation and justification it may not be evident that this answer was derived from using different meanings of rational numbers.  connect strategies",22,Mixing Strategies to Compare Fractions
23,Mixing Strategies to Compare Fractions,"Presenting students with situations in which they can connect strategies with one another can support their conceptual understanding and ability to develop other reasoning strategies (NRC 2001). For example, the class was presented with the problem of comparing the leftover 1/6 pizza to the leftover 1/8 pizza immediately before solving the following problem in which both fractions had the same number of pieces missing.   At the party, the trapezoidal table was decorated with 5/6 spool of ribbon. The rectangular table was decorated with 9/10 spool of ribbon. If both spools had the same amount of ribbon, on which table was more ribbon used?",23,Mixing Strategies to Compare Fractions
24,Mixing Strategies to Compare Fractions,"Evidenced from one student’s explanation, members of the class were able to connect the two problems. The student explained: ",24,Mixing Strategies to Compare Fractions
25,Mixing Strategies to Compare Fractions,"But what we first thought of was kind of in comparison to the last question [leftover 1/6 versus leftover 1/8 pizza], now we are looking for the largest piece. In this case, we are looking for the smallest piece leftover.",25,Mixing Strategies to Compare Fractions
26,Mixing Strategies to Compare Fractions,"From this explanation, the class was  able to start relating this problem to the previous example comparing 1/6 with 1/8. In that situation, students needed to understand that they had the same number of pieces. With this problem, they have the same number of pieces missing. By comparing 1/6 and 1/10, students had to use common numerator reasoning to determine that 1/6 is greater, meaning that 5/6 has more missing than 9/10, and subsequently 5/6 is smaller than 9/10.",26,Mixing Strategies to Compare Fractions
27,Mixing Strategies to Compare Fractions,The missing pieces strategy is the most difficult for students to understand. This strategy requires thinking backward from the common numerator  fig. 2 Students needed to coordinate multiple fractions at the same time when ordering five fractions by size.,27,Mixing Strategies to Compare Fractions
28,Mixing Strategies to Compare Fractions,Pete held a pizza-eating contest. The  following table shows how much of a large pizza each contestant ate. Rank the five contestants in order from first place to fifth place.,28,Mixing Strategies to Compare Fractions
29,Mixing Strategies to Compare Fractions,contestant,29,Mixing Strategies to Compare Fractions
30,Mixing Strategies to Compare Fractions,Pizza eaten,30,Mixing Strategies to Compare Fractions
31,Mixing Strategies to Compare Fractions,Michael,31,Mixing Strategies to Compare Fractions
32,Mixing Strategies to Compare Fractions,Marie,32,Mixing Strategies to Compare Fractions
33,Mixing Strategies to Compare Fractions,Joseph,33,Mixing Strategies to Compare Fractions
34,Mixing Strategies to Compare Fractions,Walker,34,Mixing Strategies to Compare Fractions
35,Mixing Strategies to Compare Fractions,"Nicole 7/8 7/13 9/20 23/24 3/20  strategy. Rather than having the same number of pieces, the pizzas now have the same number of pieces missing. By presenting a missing pieces problem directly after a common numerator situation, students can start to make connections between the two.  have students use MultiPle strategies",35,Mixing Strategies to Compare Fractions
36,Mixing Strategies to Compare Fractions,"Providing students with situations that require them to use multiple strategies at once can be a way to develop their procedural fluency (NRC 2001). According to the NRC, students who are procedurally fluent have a “knowledge of procedures, knowledge of when and how to use them appropriately, and skill in performing them flexibly, accurately, and efficiently” (NRC 2001, p. 121). In other words, when students are given multiple comparisons at once, they need the skills to be able to distinguish between which strategy best fits the given situation. For example, consider the problem in figure 2.",36,Mixing Strategies to Compare Fractions
37,Mixing Strategies to Compare Fractions,"In this problem, students had to coordinate five fractions at the same time. Many started by finding the smallest fraction first. Because 3/20  and 9/20 were the only fractions less than half, students saw that the 3/20 was smaller because both fractions had the same denominators. One student stated, “They’re both out of the same portion.” ",37,Mixing Strategies to Compare Fractions
38,Mixing Strategies to Compare Fractions,"When comparing 7/8 and 23/24, students used missing pieces to determine that 23/24 is greater.",38,Mixing Strategies to Compare Fractions
39,Mixing Strategies to Compare Fractions,"There are more pieces in the first one [23/24]. So, therefore, if the pizzas are the same size, those pieces are going to be smaller. And then since they’re each missing 1 piece, the piece is the smallest one leftover, so it has the most.",39,Mixing Strategies to Compare Fractions
40,Mixing Strategies to Compare Fractions,"Then when comparing 7/8 and  7/13, students saw that the fractions had the same numerator, thus the pieces were larger in 7/8 of a pizza, making 7/8 greater.",40,Mixing Strategies to Compare Fractions
41,Mixing Strategies to Compare Fractions,"Seven is closer to 8 than 7 to 13. And 13 would have more slices, and they’d be smaller.",41,Mixing Strategies to Compare Fractions
