__id__,__filename__,text,,
0,Moving Students to the Why_ - National Council of Teachers of Mathematics,"Teacher:

  You got 102 centimeters for the 25th figure. So why is it 102?",,
1,Moving Students to the Why_ - National Council of Teachers of Mathematics,"Student:

  Because I did 23 times 4, plus 10.",,
2,Moving Students to the Why_ - National Council of Teachers of Mathematics,"Teacher:

  Yes. Good, those are the steps you did. But 
  why

  did you take those steps? How do you know those calculations give you the  right answer?",,
3,Moving Students to the Why_ - National Council of Teachers of Mathematics,"Student:

  Because you always take the figure number minus two and multiply that by 4 and add 10.",,
4,Moving Students to the Why_ - National Council of Teachers of Mathematics,"Does this scenario sound familiar? It was a fairly common occurrence in our classrooms as we started to push students to justify their results. We would press for ""the why,"" wanting to hear more about their reasoning, and students would only give us ""the how.""",,
5,Moving Students to the Why_ - National Council of Teachers of Mathematics,"Having students share their reasoning and explain how they know something is true or correct is the process of justification. This mathematical practice goes by different names. NCTM (2000) describes it as part of the Process Standard of Reasoning and Proof; the Common Core State Standards for Mathematics (CCSSM) describes it in Mathematical Practice 3 as creating viable arguments and critiquing the reasoning of others (CCSSI 2010). We called this process 
  justification

  . Justification (regardless of the exact term used) is central to doing and learning mathematics and should be incorporated across all grade levels (CCSSI 2010; NCTM 2000).",,
6,Moving Students to the Why_ - National Council of Teachers of Mathematics,"Teaching in a manner that supports students' justification, however, is extremely challenging. When justifying, students use their prior knowledge and reasoning to connect ideas or to make sense of something new. This process is cognitively demanding for students. Teachers, in turn, must make sense of students' ideas and find ways to help students' refine and build their knowledge.",,
7,Moving Students to the Why_ - National Council of Teachers of Mathematics,"We share some of our collective learning about teaching with justification, specifically, what we learned about moving students to ""the why."" We (a team of teachers and researchers) worked together for two years with an NSF-funded project called Justification and Argumentation: Growing Understanding of Algebraic Reasoning (JAGUAR). The goal was to better understand what it takes to support students' engagement in justification in middle school mathematics classrooms. We implemented three justification tasks, reflected on the enactment of the tasks, and collaborated around problems of practice. We completed this entire process in two consecutive years.",,
8,Moving Students to the Why_ - National Council of Teachers of Mathematics,"We discuss three pedagogical foci that helped us better support students in understanding what it meant to offer a justification, as well as getting them started on this process. The three elements are helping students-",,
9,Moving Students to the Why_ - National Council of Teachers of Mathematics,• understand what it means to justify;,,
10,Moving Students to the Why_ - National Council of Teachers of Mathematics,• learn what makes a good justification;,,
11,Moving Students to the Why_ - National Council of Teachers of Mathematics,"• generate initial ideas, and then develop those into a justification.",,
12,Moving Students to the Why_ - National Council of Teachers of Mathematics,"We then discuss some ideas for getting started on growing the practice of justification in the classroom. Although challenging, we have found that incorporating justification in the classroom is well worth the effort.",,
13,Moving Students to the Why_ - National Council of Teachers of Mathematics,HELPING STUDENTS UNDERSTAND WHAT IT MEANS TO JUSTIFY,,
14,Moving Students to the Why_ - National Council of Teachers of Mathematics,"When we began our work on justification, as the opening dialogue suggests, we found that students did not seem to understand justification or lacked the tools to respond to prompts such as ""justify your answer,"" ""why are you doing what you are doing?"" or ""how do you know your answer correct?"" Instead of explaining why a calculation was warranted or why a relationship existed, students explained their steps or provided evidence to show that the relationship held (e.g., plugging in numbers to show ""it worked"").",,
