__id__,__filename__,text,__id__,__filename__
0,Multidimensional Teaching,Multidimensional,0,Multidimensional Teaching
1,Multidimensional Teaching,Multidimensional,1,Multidimensional Teaching
2,Multidimensional Teaching,Multidimensional,2,Multidimensional Teaching
3,Multidimensional Teaching,Multidimensional,3,Multidimensional Teaching
4,Multidimensional Teaching,Multidimensional,4,Multidimensional Teaching
5,Multidimensional Teaching,Teaching,5,Multidimensional Teaching
6,Multidimensional Teaching,Teaching,6,Multidimensional Teaching
7,Multidimensional Teaching,Teaching,7,Multidimensional Teaching
8,Multidimensional Teaching,Teaching,8,Multidimensional Teaching
9,Multidimensional Teaching,"Teaching mmMathematics, like many other forms  social resources students bring to the classroom. Such efforts can impact students’ performance and can help students make sense of decisions about their choice of problem-solving procedures (Boaler 1998). Multidimensional teaching also represents a way to address equity concerns in school mathematics by supporting—",9,Multidimensional Teaching
10,Multidimensional Teaching,"Process Standards, CCSSM’s Standards for Mathematical Practice, and varied contexts. ",10,Multidimensional Teaching
11,Multidimensional Teaching,"See how one seventh-grade teacher engages students by melding NCTM’s  of knowledge, is situated in a cultural context (Lave and Wenger 1991). Too often, learners experience school mathematics as something detached from any meaningful context and unfamiliar, leaving many with the sense that such knowledge is inaccessible (Ellis 2003). However, students bring with them informal knowledge of mathematics through everyday interaction with their cultural and social backgrounds. ",11,Multidimensional Teaching
12,Multidimensional Teaching,Robert Q. Berry III and Mark W. Ellis,12,Multidimensional Teaching
13,Multidimensional Teaching,"Multidimensional mathematics teaching, as we will discuss in this article, encourages the use of context in mathematics teaching and learning to help teachers better recognize and build upon the cultural and  •  an understanding of the cultural and social resources that students bring to the mathematics classroom; the development of knowledge within those cultural frameworks; and  •  an understanding of mathematics  within varying cultural frameworks (Secada 2000). ",13,Multidimensional Teaching
14,Multidimensional Teaching,"For example, consider the way in which a seventh-grade teacher, Ms. Canady, used the local newspaper as a resource when presenting the following contextual problem involving integer arithmetic: ",14,Multidimensional Teaching
15,Multidimensional Teaching,"In Friday night’s football game, the Spartans lost 11 yards on ﬁ rst down then gained 5 yards on second down. What was the total yardage for these two plays?",15,Multidimensional Teaching
16,Multidimensional Teaching,"Donovan, Shonda, and Cheri worked together on this problem. Donovan drew a picture that resembled a football ﬁ eld, showing that the team started on the 20 yard line and ended on the 14 yard line. He stated that the answer was 14. Shonda looked at Donovan’s pictures, and the conversation continued:",16,Multidimensional Teaching
17,Multidimensional Teaching,"Shonda: Yeah, they lost 6 yards.",17,Multidimensional Teaching
18,Multidimensional Teaching,Canady: Suppose the Spartans started  on the 50?,18,Multidimensional Teaching
