__id__,__filename__,text,__id__,__filename__
0,Music Cards,Students display a wide variety of creative mathematical thinking and misconceptions when they complete a classroom task that focuses on proportional reasoning. ,0,Music Cards
1,Music Cards,"Anne Roche and Doug M. Clarke stone” of middle-grades mathematics (Lesh, Post, and Behr 1988). Students’ success in solving problems involving proportional reasoning is an indication that they have moved beyond additive thinking to multiplicative thinking. However, our classroom work indicates that many students do not reason proportionally in many practical contexts. We discuss a particular task that reveals students’ understanding of and access to proportional reasoning. The task also lends itself to a variety of solutions, leading to a rich and useful discussion in the classroom and to potential applica- pProportional reasoning has been described as the “captions to many similar problems. Music cards",1,Music Cards
2,Music Cards,WhY is PRoPoRtional Reasoning iMPoRtant?,2,Music Cards
3,Music Cards,"Many situations occur in science, mathematics, and everyday life in which an understanding and use of proportional reasoning are essential. Scale, probability, algebra, trigonometry, equivalence, and measurement, as well as percentages, rates, and the geometry of plane shapes are just a few examples. ",3,Music Cards
4,Music Cards,"Clarke, Roche, and Mitchell (2007) claimed that a major reason for teaching fractions is its role in underpinning the development of proportional reasoning. As a result, teachers need to target proportional reasoning concepts regularly and over time to ensure that maximum opportunities are offered to students (Hilton et al. 2012/2013).  the Role oF tasKs in MatheMatics leaRning",4,Music Cards
5,Music Cards,"Various comparative studies have endorsed the focus on rich and challenging tasks. Hiebert and Wearne (1997), for  example, analyzed teaching approaches and tasks in six classrooms in which four teachers used a conventional textbook approach and two teachers used an alternative approach characterized by assigning fewer tasks but spending more time exploring and discussing them. These two teachers presented fewer pencil-and-paper-based tasks, posed more problem situations, and asked students more higher-order questions. At the end of the year, students in the alternate-approach classrooms gave longer responses and demonstrated higher levels of performance on mathematical assessments.",5,Music Cards
6,Music Cards,"Likewise, Stein and Lane (1996)  reported that the greatest gains on performance assessments, including questions that required high levels of mathematical thinking and reasoning, were related to the use of instructional tasks that engaged students in “doing mathematics or using procedures with connection to meaning” (p. 50). They further noted that student performance gains were greater when “tasks were both set up and implemented to encourage use of multiple solution strategies, multiple representation and explanations” (p. 50).",6,Music Cards
7,Music Cards,We also argue that what students  learn is determined largely by the tasks they are given. Tasks designed to prompt higher-order thinking are more likely to produce such thinking than tasks designed to offer skills practice.,7,Music Cards
8,Music Cards,the BacKgRoUnd to oUR WoRK,8,Music Cards
9,Music Cards,"Two major aspects of our work in recent years have been in the development and use of task-based, one-onone student assessment interviews in the elementary and middle school years (see Clarke, Clarke, and Roche 2011), and our involvement in teaching demonstration lessons as part of a prebrief-demonstration lesson-debrief process (Clarke et al. 2013).",9,Music Cards
