__id__,__filename__,text,,
0,Mystical Magic Squares - National Council of Teachers of Mathematics,"""Math is so boring!"" How many times have we heard this statement from our students? As teachers, we are constantly looking for different activities to interest our students in mathematics and to convey the true richness and diversity of the subject.",,
1,Mystical Magic Squares - National Council of Teachers of Mathematics,"Mathematical puzzles, like magic squares, have generated tremendous interest among children and adults alike for thousands of years. They also represent one way that cultures throughout history have ascribed mystical properties to numbers. A 
  magic square

  is an 
  n
n

  matrix, or grid, in which every row, column, and diagonal sums to the same number; this number is known as the 
  magic sum

  . An example of a 3  3 magic square with a magic sum of 15 is shown in 
  figure 1

  .",,
2,Mystical Magic Squares - National Council of Teachers of Mathematics,,,
3,Mystical Magic Squares - National Council of Teachers of Mathematics,"Magic squares first appeared in China (approximately 2200 B.C.). According to legend, Emperor Yu of China was standing on the bank of the Luo River when a turtle appeared with a curious and mystical symbol on its shell (see 
  fig. 2

  ). In this image, the groups of dots represent the numbers that comprise the magic square. Thus, the square is equivalent to that shown in 
  figure 1.",,
4,Mystical Magic Squares - National Council of Teachers of Mathematics,"Magic squares were also known to Arab mathematicians in the ninth century and used by Arab astrologers to tell fortunes (PBS 2014). They appeared in the work of sixteenth century German artist Albrecht Drer (see 
  fig. 3

  ). The 4  4 magic square in Drer's engraving 
  Melancholia I,

  in addition to having rows and columns that sum to 34, contains five 2  2 squares that also sum to 34 (located in the four corners of the larger square and in the center). (See 
  fig. 4

  .) This particular type of magic square is called the 
  Gnomon magic square.

  Note also that 1514, the date of the engraving, is featured in the bottom row of the magic square.",,
5,Mystical Magic Squares - National Council of Teachers of Mathematics,,,
6,Mystical Magic Squares - National Council of Teachers of Mathematics,,,
7,Mystical Magic Squares - National Council of Teachers of Mathematics,,,
8,Mystical Magic Squares - National Council of Teachers of Mathematics,"In the classroom, magic squares present a great opportunity to make historical connections and explore problem solving in a fun way. Magic squares can also support many of NCTM's Principles and Standards (NCTM 2000), including the Connections and Number and Operations Standards. 
  Principles to Actions: Ensuring Mathematical Success for All

  (NCTM 2014) includes a call to implement tasks that promote reasoning and problem solving by engaging students in solving and discussing tasks that promote mathematical reasoning and problem solving with varied strategies. The Common Core's Standards for Mathematical Practice (CCSSI 2010) also call for students to be given opportunities to apply appropriate strategies and reflect on their strategies and those of their classmates. In this activity, students develop number sense, explore operations, practice their problem-solving skills, investigate the distributive and commutative properties, and learn about mathematical history in a fun and engaging manner.",,
9,Mystical Magic Squares - National Council of Teachers of Mathematics,TEACHER NOTES,,
