__id__,__filename__,text,,
0,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,"The traditional technique for converting repeating decimals to common fractions can be found in nearly every algebra textbook that has been published, as well as in many precalculus texts. However, students generally encounter repeating decimal numerals earlier than high school when they study rational numbers in prealgebra classes. Therefore, how do prealgebra students in the middle grades convert repeating decimals to fractions without using the age-old algebraic process (multiplying and finding the difference of two stacked equations) or without applying the precalculus approach of treating repeating decimal digits as an infinite geometric series?",,
1,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,"Perhaps this is not a critical skill now that we have access to technology and can derive many of these conversions with a few keystrokes on the graphing calculator or computer. Nevertheless, I have created a repeating decimal-to-fraction conversion activity to integrate inductive and deductive methods in a nonalgebraic context that actually leads to a formal, but less conventional, algebraic justification of the conversion process. I call the activity Nifty Nines. The Nifty Nines activity engages students in processes that are central to the development of concept and operation understandings involving rational numbers. This activity aligns nicely with NCTMs Number and Operations Standard as found in Principles and Standards for School Mathematics (NCTM 2000, p. 215).",,
2,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,"In grades 35, students should have learned to generate and recognize equivalent forms of fractions, decimals, and percentages, at least in some simple cases. In the middle grades, students should build on and extend these experiences, so that using fractions, decimals, and percentages becomes a meaningful activity",,
3,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,"The inductive structure included in the activity supports the Reasoning and Proof Standard for Grades 68 (NCTM 2000, p. 262), which states the following:",,
4,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,"In the middle grades, students should have frequent and diverse experiences with mathematics reasoning as they",,
5,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,examine patterns and structures to detect regularities;,,
6,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,formulate generalizations and conjectures about observed regularities;,,
7,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,evaluate conjectures;,,
8,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,construct and evaluate mathematical arguments.,,
9,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,"In addition, Nifty Nines ties to the seventh-grade Number and Operations Connection found in NCTMs Curriculum Focal Points for Prekindergarten through Grade 8 Mathematics (NCTM 2006, p. 19). The activity also supports the Common Core State Standards for Mathematics (CCSSM), which states that students in grade 7 should know that the decimal form of a rational number terminates in 0s or eventually repeats (CCSSI 2010, p. 49). The activity also ties into CCSSMs goals for grade 8, in that students should convert a decimal expansion which repeats eventually into a rational number (CCSSI 2010, p. 54).",,
10,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,THE ACTIVITIES,,
11,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,"Exploring repeating decimals is fascinating. Predictable patterns abound as students divide numerators by denominators to convert fractions to decimals. How do we look at the process of converting repeating decimals back to fractions? Essentially, two cases need to be considered: (1) Decimals with simple periodic representations and (2) decimals with delayed periodic representations (Usiskin et. al. 2003). Usiskin and his colleagues provide an excellent formal discussion, formulae, and related proofs for arithmetic (nonalgebraic) conversions of both types of decimal numerals. Although not as current, Sherzer (1989) provides a simple and effective technique, as well. In fact, Sherzers technique served as part of my motivation to create Nifty Nines.",,
12,Nifty Nines and Repeating Decimals - National Council of Teachers of Mathematics,DISCOVERING NIFTY NINES,,
