__id__,__filename__,text,__id__,__filename__
0,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,"July 7–9, 2014 | San Diego",0,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
1,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,Algebra Readiness  for Every Student,1,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
2,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,AN NCTM INTERACTIVE INSTITUTE FOR GRADES 6–8,2,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
3,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,"Immerse yourself in two and a Immerse yourself in two and a half days of professional develhalf days of professional development dedicated to algebra opment dedicated to algebra readiness, and walk away with readiness, and walk away with practical methods to prepare your practical methods to prepare your students for success. ",3,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
4,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,Register by  MAY 30  and save  $40! ,4,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
5,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,NCTM’s Interactive Institute offers a variety of activities and instructional techniques to give your students  opportunities to develop strong algebraic reasoning skills. You’ll also learn strategies that will help you align your instruction with the Common Core State Standards while giving your students the tools they need to succeed.,5,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
6,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,• Gain strategies to build the foundation of   knowledge and skills that leads to students’  future success in algebra.,6,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
7,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,"• Explore tasks and instructional techniques, including posing purposeful questions, that support students’ development of conjectures and generalizations.  • Learn instructional strategies , such as implementing tasks that promote reasoning and problem solving, that provide all students opportunities to develop strong algebraic reasoning skills.",7,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
8,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,Visit www.nctm.org/algebra to learn more and register.  (800) 235-7566  |  WWW.NCTM.ORG,8,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
9,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,Space is limited— REGISTER TODAY!  www.nctm.org/algebra on my mind readers speak out,9,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
10,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,Principles to Actions: Mathematics Programs as the Core for Student Learning ,10,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
11,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,"Steve Leinwand, DeAnn Huinker, and Daniel Brahier tThe National Council of Teachers of ",11,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
12,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,"Mathematics (NCTM) launched the “standards-based” education movement in North America in 1989 with the release of Curriculum and Evaluation Standards for School Mathematics, an unprecedented action to promote systemic improvement in mathematics education. Now, twenty-five years later, the widespread adoption of the Common Core State Standards for Mathematics (CCSSM) by fortyfive states provides an opportunity to reenergize and focus our commitment to significant improvement in mathematics education (CCSSI 2010). ",12,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
13,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,The views expressed in On My Mind do not necessarily reflect the views of the Editorial Panel of MTMS or NCTM. Send submissions to this department by accessing mtms.msubmit.net. Readers are encouraged to respond to this editorial by sending letters to MTMS at mtms@nctm.org for possible publication in Readers Write. ,13,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
14,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,"The need for coherent standards  has been endorsed across all states and provinces, even by those who have not adopted CCSSM. As NCTM has stated, “The CCSSM offers a foundation for the development of more rigorous, focused, and coherent  mathematics curricula, instruction, and assessments that promote conceptual understanding and reasoning as well as skill fluency. This foundation will help to ensure that all students are ready for college and the workplace when they graduate from high school and that they are prepared to take their place as productive, full participants in society” (NCTM 2013).",14,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
15,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,"However, we must remember that standards set the bar for what students should learn, but it is the teachers who do the teaching. CCSSM focuses and clarifies common outcomes for student learning and promotes coherence across grades through mathematics learning progressions. Those standards encourage the development of new instructional resources and assessments, but they do not tell teachers and others what to do at the classroom, school, and district levels  or how to begin making essential changes to implement these Standards. Thus, NCTM’s new Principles to Actions: Ensuring Mathematical Success for All (NCTM 2014) provides direction in fi lling the gap between the adoption of CCSSM and the enactment of policies and programs required for its widespread and successful implementation. The overarching message conveyed in Principles to Actions is that— • effective teaching is the non- negotiable core that ensures all students learn mathematics; and • such teaching requires a range of  actions at the state/provincial, district, school, and classroom levels.",15,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
16,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,UPdated PRinciPles,16,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
17,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,"In Principles to Actions, NCTM sets forth recommended actions for teachers, coaches, and specialists of mathematics; educational leaders and policymakers; and school and district administrators that are based on the Council’s core principles. The Council defi ned a set of principles in 2000 that described “features of high-quality mathematics education” (NCTM 2000, p. 11). The updated principles refl ect more than a decade of experience and ",17,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
18,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning,Fig. 1 These updated principles refl ect more than a decade of experience and new research evidence about excellent mathematics programs.,18,On My Mind: Principles to Actions: Mathematics Programs as the Core for Student Learning
