__id__,__filename__,text,,
0,Operation_ Save Aunt Sally - National Council of Teachers of Mathematics,"Edited by Rebecca Damas, rdamas@trevor.org, who teaches at the Trevor Day School, New York, New York. Readers are encouraged to submit manuscripts through http://mtms.msubmit.net.",,
1,Operation_ Save Aunt Sally - National Council of Teachers of Mathematics,"Both NCTM (2000) and the Common Core (2010) place importance on algebra and algebraic thinking in grades 5 through 8. Proficiency with order of operations is expressed for grade 5 as being able to ""use parentheses, brackets, or braces in numerical expressions and evaluate expressions with these symbols"" (CCSSM 2010, p. 35).",,
2,Operation_ Save Aunt Sally - National Council of Teachers of Mathematics,"In grade 6, students should be able to ""perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order"" (p. 44). In grades 7 and 8, the rules of order of operations are used to simplify progressively complicated expressions and in solving equations (CCSSM 2010). Students are frequently offered the age-old mnemonic Please Excuse My Dear Aunt Sally (PEMDAS) to help them remember the order of operations.",,
3,Operation_ Save Aunt Sally - National Council of Teachers of Mathematics,"Alternative approaches to instruction and remediation can mitigate the fatigue that students may feel regarding topics that have been discussed in previous classes. Although most adolescents entering middle school can quote the PEMDAS mnemonic (or a variation) verbatim, remembering its form is not equivalent to conceptual understanding or proficiency with its function. As a means of re-introducing and reinforcing proficiency with the order of operations, we present a game called Operation: Save Aunt Sally.",,
4,Operation_ Save Aunt Sally - National Council of Teachers of Mathematics,THE GAME PREMISE,,
5,Operation_ Save Aunt Sally - National Council of Teachers of Mathematics,Your Aunt Sally is a bit of a rogue and is often getting into trouble. What you did not know until now is that Aunt Sally is really a secret agent on a special mission to retrieve a stolen microchip. She has been captured by enemy agents and is being held in an undisclosed location. It is a race against time to find the secret hiding place of the enemy agents. Can you be the first to solve the clues left by Aunt Sally and find the enemy's secret hideout?,,
6,Operation_ Save Aunt Sally - National Council of Teachers of Mathematics,The objective of the game is to rescue Aunt Sally.,,
7,Operation_ Save Aunt Sally - National Council of Teachers of Mathematics,PREGAME PREPARATION,,
8,Operation_ Save Aunt Sally - National Council of Teachers of Mathematics,Prepare materials for each group of four players in advance.,,
9,Operation_ Save Aunt Sally - National Council of Teachers of Mathematics,HOW TO PLAY,,
