__id__,__filename__,text,__id__,__filename__
0,Orange You Glad I DID Say Fraction Division?,orange You glad i Did  say “Fraction  division”?,0,Orange You Glad I DID Say Fraction Division?
1,Orange You Glad I DID Say Fraction Division?,"Students explore multiplicative comparisons and the meaning of remainders  using their own concrete representations, including orange wedges.  alfi nio Flores and Melina D. Priewe wWhen teaching division of fractions,  teachers need to address issues and tensions created by trying to accomplish two important goals. The fi rst goal is to let students make sense of division of fractions on their own by working individually and in small groups, using concrete or pictorial representations, inventing their own processes, and presenting and justifying their answers and processes to one another. The second goal is to help students develop their understandings of division of fractions on a deeper level, as a multiplicative comparison, so that they develop proportional thinking.",1,Orange You Glad I DID Say Fraction Division?
2,Orange You Glad I DID Say Fraction Division?,"When comparing two quantities or numbers multiplicatively, a ratio  is involved. To help students develop their ability to compare fractions multiplicatively, we need to encourage them to think beyond iterative strategies such as repeated addition or repeated subtraction. The teacher may have to intervene at crucial points to redirect the thinking of students to focus on multiplicative relationships among fractions. ",2,Orange You Glad I DID Say Fraction Division?
3,Orange You Glad I DID Say Fraction Division?,MaKing sense oF diVision oF FRactions on theiR oWn,3,Orange You Glad I DID Say Fraction Division?
4,Orange You Glad I DID Say Fraction Division?,"In this section, we illustrate ways in which four middle school students, solving division of  fraction problems in the context of servings, made sense of this operation on their own. The examples come from a larger study  by the second author (Day 2010). Because the purpose of her study was to understand how students justifi ed their strategy and solution to their peers, the teacher/researcher listened carefully but did not intervene. The teacher and students agreed that showing one’s mathematical thinking included more than producing a simple list of steps or writing an algorithm. Students communicated their thoughts through graphic representations, symbols, and words. To justify their reasoning, students applied three guiding principles:  1.  Convince themselves by devising personally meaningful solutions to problems  2.  Convince others by communicating their understanding through graphic representations, words, and symbols 3.  Make sense of other students’  justifi cations to raise challenges if disagreements occurred",4,Orange You Glad I DID Say Fraction Division?
5,Orange You Glad I DID Say Fraction Division?,Story problems that are set in the  context of fi nding out how many servings can be formed with a given quantity when the size of the serving is known lend themselves to the use of measurement interpretation of division and the use of repeated subtraction to fi nd the answer. This setting has the advantage of allowing students to use concrete or pictorial representations and fi nd their own strategies (Kribs-Zaleta 2008).,5,Orange You Glad I DID Say Fraction Division?
6,Orange You Glad I DID Say Fraction Division?,"The simplest case of a measurement interpretation of division occurs when the size of the serving fi ts exactly into the amount being distributed. For example, if a serving is 3/4 of an orange and there are 4 1/2 oranges, exactly 6 servings are found. A more diffi cult situation occurs when the size of the serving does not fi t a whole number of times into the amount and a fractional remainder is leftover. Students working on problems with a fractional remainder usually struggle to make sense of the remainder in terms of the unit used to measure (serving), rather than in terms of the objects ",6,Orange You Glad I DID Say Fraction Division?
7,Orange You Glad I DID Say Fraction Division?,"Fig. 1 Taylor’s graphic representation for her solution was helpful, but her explanation remained incomplete because the remainder was not labeled.",7,Orange You Glad I DID Say Fraction Division?
8,Orange You Glad I DID Say Fraction Division?,"By showing 1/3 of a serving, Taylor moved the conversation forward by addressing what constituted a “whole” and how that related to the remainder.",8,Orange You Glad I DID Say Fraction Division?
9,Orange You Glad I DID Say Fraction Division?,"used (oranges or cupcakes). We focus fi rst on the interactions of four middle school girls—Taylor, April, Rosalee, and Rebecca (pseudonyms)—as they worked on the following problem.",9,Orange You Glad I DID Say Fraction Division?
10,Orange You Glad I DID Say Fraction Division?, A serving is 3/4 of an orange. There are 2 1/2 oranges. How many servings (including parts of a serving) can be made? ,10,Orange You Glad I DID Say Fraction Division?
11,Orange You Glad I DID Say Fraction Division?,"When the students communicated  their thinking to one another, confusion occurred because they did not explicitly defi ne their “whole”  (an orange or a serving). This confusion caused disagreement as they worked toward the fi nal solution to the problem.",11,Orange You Glad I DID Say Fraction Division?
12,Orange You Glad I DID Say Fraction Division?,Taylor: Suppose you have 2 1/2 oranges. One . . . 2 . . . 3. I just did 3 because I thought it would be easier for me. So this is 1 serving [she shaded in 3/4 of an orange] and this is another  [she shaded in another 3/4 of an orange] . . . this is another serving [she shaded in 3/4 of an orange] . . . and yea. So this is technically not there. [Taylor pointed to the last 1/2 of the third orange.] You’re not supposed to . . . so there’s 3 servings right there. There’s 1 leftover. And there’s out of 3 possible. . . . So you know how you need 3 like 3/4. . . . ,12,Orange You Glad I DID Say Fraction Division?
13,Orange You Glad I DID Say Fraction Division?,Rosalee: Yea.,13,Orange You Glad I DID Say Fraction Division?
14,Orange You Glad I DID Say Fraction Division?,"Taylor: . . . to get 1 serving. So that’s like seventy-fi ve cents, but instead of like doing that you have 1 out of 3 possible. So I put 3 1/3. ’Cause it’s 1/3 leftover.",14,Orange You Glad I DID Say Fraction Division?
15,Orange You Glad I DID Say Fraction Division?,"The unit specifi ed in the question is a serving. Students correctly fi gured out the number of complete servings by using repeated subtraction of servings, but they struggled with interpreting the remainder. The remainder is 1/4 of an orange but is 1/3 of a serving.",15,Orange You Glad I DID Say Fraction Division?
16,Orange You Glad I DID Say Fraction Division?,"Taylor used her graphic representation to show the remaining amount, but she was not always clear in her use of symbols and words when relating  the remaining part to a whole unit, such as servings (see fig. 1). Therefore, at times she struggled to communicate effectively with others when trying to explain her strategy.",16,Orange You Glad I DID Say Fraction Division?
17,Orange You Glad I DID Say Fraction Division?,"Taylor’s solution of 3 1/3 was cor- rect, but she did not specify that it was 3 1/3 servings. She said that there was 1 leftover. From a preliminary written survey and her oral interview with the teacher, it was evident that Taylor understood that the remaining amount represented 1/4 of an orange. However, she did not specify that the remaining amount represented 1/4 of an orange when she explained it to her group. ",17,Orange You Glad I DID Say Fraction Division?
18,Orange You Glad I DID Say Fraction Division?,"Later in the discussion, Taylor continued to try to convince her group by being explicit that the remainder was not 1/4 by saying, “But it’s not a fourth of a serving.” The girls had mentioned servings before, but this was the first time they discussed a fraction of a serving. It may have helped her group understand if Taylor would have explained that a serving was 3/4 of an orange and that it took three of these 1/4 oranges to make a full serving. ",18,Orange You Glad I DID Say Fraction Division?
19,Orange You Glad I DID Say Fraction Division?,"The students were using graphic  representations to show the remaining amount as well as symbols and words. However, they needed to be more explicit when using their symbols and words to explain what the remaining amount represented in units as a whole, so they could communicate when they were referring to different wholes.",19,Orange You Glad I DID Say Fraction Division?
20,Orange You Glad I DID Say Fraction Division?,"Later in an interview with the  teacher, Taylor stated that she needed to explain her answer more clearly.",20,Orange You Glad I DID Say Fraction Division?
21,Orange You Glad I DID Say Fraction Division?,"Like the problem said, you were supposed to look at the serving and not the oranges. Well, I never said that in my answer. And I think if I would have explained that better they would have come to know how I got the answer.",21,Orange You Glad I DID Say Fraction Division?
22,Orange You Glad I DID Say Fraction Division?,"taylor, april, Rosalee, and Rebecca  used concrete objects and pictures  to represent full servings and a  fractional remainder.",22,Orange You Glad I DID Say Fraction Division?
23,Orange You Glad I DID Say Fraction Division?,"Although Taylor and her group realized that they needed to clearly state the unit, this error of not making the unit explicit was persistent throughout the study. In the following sections of this article, we suggest ways in which teachers can help students step back so that they can develop their mathematical understandings of division of fractions at a deeper level.  connecting diVision oF Whole nUMBeRs and FRactions",23,Orange You Glad I DID Say Fraction Division?
