__id__,__filename__,text,__id__,__filename__
0,Overcoming the Run Response,Overcoming the “Run” a This article examines both teach-,0,Overcoming the Run Response
1,Overcoming the Run Response,Response,1,Overcoming the Run Response
2,Overcoming the Run Response,"Strategies that foster self-awareness, help regulate emotions, and encourage problem-solving perseverance can turn mathematical fight or flight into re-engagement.",2,Overcoming the Run Response
3,Overcoming the Run Response,"This work stems from a multiyear  initiative designed to embed pertinent dimensions of social-emotional learning (SEL) into preservice teacher education. In selected classes, we are piloting specific strategies designed to develop both— ers’ and students’ emotional reactions to challenging mathematics problems and, more important, the strategies they use to cope with anxiety and to re-engage and grapple with these problems. These coping skills are embedded components of the first essential Standard for Mathematical Practice identified in the Common Core State Standards for Mathematics: “Make sense of problems and persevere in solving them” (CCSSI 2010, p. 6). Self-awareness and regulation are essential, and often ignored, components of mathematical problem solving. This article examines how these skills can be modeled, taught, and learned.",3,Overcoming the Run Response
4,Overcoming the Run Response,"Amy’s reaction to a challenging story problem reflects the anxiety that many of us face when struggling with difficult mathematics problems. Recent research suggests that it is not simply experiencing anxiety that affects mathematics performance but also how we respond to and regulate that anxiety (Lyons and Beilock 2011). Most of us have faced mathematics problems that have triggered our “run response.” The issue is not whether we want to run, but rather how we ultimately turn around and reengage with the problem.",4,Overcoming the Run Response
5,Overcoming the Run Response,“ This problem triggered the run response in my brain.”,5,Overcoming the Run Response
6,Overcoming the Run Response,"Amy, seventh grade 1.  candidates’ social-emotional   skills for teaching; and 2.  candidates’ ability to foster   students’ social-emotional skills  for learning. ",6,Overcoming the Run Response
7,Overcoming the Run Response,"Although many would view mathematics methods as an unlikely setting for this work, I suggest that teaching and learning mathematics is  “Run”RunRun””",7,Overcoming the Run Response
8,Overcoming the Run Response,"ResponsePatricia E. Swanson intertwined with the development of social and emotional learning skills essential to motivation, self-effi cacy, and productive disposition toward mathematics (Kilpatrick, Swafford, and Findell 2001). These skills are particularly relevant for young adolescent learners whose social and emotional needs are closely tied to academic achievement (Bobis et al. 2011; Zollman, Smith, and Reisdorf 2011). This article will explore strategies for teaching emotional awareness and self-regulation, essential socialemotional learning skills for helping young adolescent learners engage in mathematics problems that they fi nd diffi cult or even frightening.  teacheR candidates",8,Overcoming the Run Response
9,Overcoming the Run Response,I began exploring self-awareness and problem solving with the preservice teacher candidates in my mathematics methods course. Their emotional reaction and self-regulation when faced with difficult mathematics problems provided the initial insights into how to pursue this work with their students. I asked teacher candidates to describe their immediate emotional reaction after reading the following problem from a middle school textbook.,9,Overcoming the Run Response
10,Overcoming the Run Response,  Multi-Step Problem ,10,Overcoming the Run Response
11,Overcoming the Run Response,"The density of a substance is the ratio of its mass to its volume, written as a unit rate.",11,Overcoming the Run Response
12,Overcoming the Run Response,a. Calculate A 500 cubic  centimeter sample of sea  water has a mass of 514 grams.  Find its density.,12,Overcoming the Run Response
13,Overcoming the Run Response,b. Calculate A 300 cubic  centimeter sample of an iceberg has a mass of 267 grams.  Find its density.,13,Overcoming the Run Response
14,Overcoming the Run Response,"c. Compare Which is denser, sea water or an iceberg? Explain why your answer is reasonable. (Larson et al. 2008, p. 263)",14,Overcoming the Run Response
15,Overcoming the Run Response,Some candidates expressed confidence: •	 “Excited!	Love	math!” •	 “Love	them	[word	problems];	way	 better than just digits and symbols.”,15,Overcoming the Run Response
16,Overcoming the Run Response,"Students were  amazed and highly entertained that  teachers’ emotional reactions to difficult  problems could mirror their own.  teacher candidates. It was intriguing to hear the wealth of creative ways they used to talk themselves into re-engaging with the problem. They employed a variety of self-talk (Meichenbaum 1977) strategies, internal conversations with themselves, to shape their feelings and behaviors. These strategies helped them cope with their anxiety and regulate how they would re-engage in mathematical problem solving.",16,Overcoming the Run Response
17,Overcoming the Run Response,"•	 “I	take	a	deep	breath	and	say,	 ‘Break	it	down,	it’s	OK,	you	can	 do this.’ I start to draw a picture to help myself visualize. . . .” •	 “	‘OK,	take	it	one	step	at	a	time.	",17,Overcoming the Run Response
18,Overcoming the Run Response,"Who cares how long it takes to solve? When you’re done, double check. . . .’ ”  and make sense of the math. They alluded to classic mathematics problemsolving strategies identified by Pólya (1957) including— 1.  understand the problem   (i.e., “draw a picture to help  myself visualize”); 2.  choose a strategy (i.e., “brainstorm,  and solve what you know”); 3.  follow the strategy (i.e., “work  through it out loud”); and  4.  evaluate the strategy (i.e., “ ‘when  you’re done, double check’ ”). ",18,Overcoming the Run Response
19,Overcoming the Run Response,"To cope with their anxiety, they reminded themselves to slow down and breathe. To re-engage, they searched for and used known aspects of the problem. Their comments indicated a strategic integration of emotional self-awareness, coping, and problem- solving skills—all attributes that are well worth modeling and teaching to students.",19,Overcoming the Run Response
20,Overcoming the Run Response,selF-aWaReness in  Middle school students,20,Overcoming the Run Response
21,Overcoming the Run Response,"The density problem was posed to an academically diverse group of sixthgrade through eighth-grade students in a rural school. I asked the students to describe their emotional reaction to the same problem. Although I knew that they had been exposed to the necessary math, their reactions mirrored those of my less confident teachers:",21,Overcoming the Run Response
22,Overcoming the Run Response,"Many more expressed anxiety: •	 “Reread	the	problem	several	times	 •	 “It	triggered	the	run	response	in	 •	 “Oh	*#*;	this	may	take	a	while.” •	 “Nervous,	I’m	an	English	major.	",22,Overcoming the Run Response
23,Overcoming the Run Response,"Ahhh!	.	.	.”	 •	 “Fear.	Math	is	not	a	subject	I	feel	 confident in doing or teaching. This problem makes me feel frustrated and disappointed in my own math skills.”  The following statements were  made by the anxious, not the confident,   until	[the]	words	and	numbers	 start making sense. Draw/write out the problem. Work through it out loud. Make it visual so it makes sense. Ask questions.” •	 “Read	the	problem	first,	breathe,	 brainstorm, and solve what you know.”",23,Overcoming the Run Response
24,Overcoming the Run Response,"These prospective teachers recognized their stress and employed strategies to both reduce their anxiety  my brain.” (Amy) •	 “This	doesn’t	make	any	sense	to	 me. I’m confused with the first sentence. I just want to forget about it.” (Mike) •	 “It	is	really	hard,	and	I	would	feel	 terrified of failing it. I haven’t been taught this.” (Gloria) •	 “I	can’t	do	it.	I	do	not	know	what	 to do.” (Cecilia) •	 “It	looks	hard	and	complicated.”	 ( Juan) •	 “I	begin	to	freak	out	as	I	read	and	 reread the problem.” (Cory) •	 “What	the	heck	are	they	talking	 about?” (Bill)",24,Overcoming the Run Response
25,Overcoming the Run Response,"Some felt anger, and others appeared hopeless. Most felt some degree of fear. I asked them what they would say to themselves to cope with their feelings and talk themselves through the problem. Most looked baffled by the question and simply said they do not talk themselves through problems. They stop working	or	ask	for	help.	Only	one	student,	",25,Overcoming the Run Response
26,Overcoming the Run Response,"Cory, said he would reread the problem and look for parts he knew. I showed them the kinds of  strategies my teacher candidates used, but first I let them read some of my prospective teachers’ reactions to the problem. They were amazed and highly entertained that teachers’ emotional reactions to difficult problems could mirror their own. ",26,Overcoming the Run Response
27,Overcoming the Run Response,We talked about recognizing how a problem might scare them and how to calm down and take their time. These self-talk strategies acknowledged and addressed students’ emotional and physical reactions to the problem. We then practiced problem-solving selftalk for re-engaging and addressing the cognitive demands of the problem.,27,Overcoming the Run Response
