__id__,__filename__,text,,
0,Persevering with Prisms_ Producing Nets - National Council of Teachers of Mathematics,"Two mathematics teachers in a small rural school decided to create a task that would engage seventh graders. The goal of the real-world activity was to help students develop geometric and spatial reasoning and to support their understanding of volume of rectangular prisms. The impetus for the task came from the teachersâ€™ desire to engage students in mathematical content, in making sense of problems, and in persevering in solving them (CCSSI 2010, p. 7).",,
1,Persevering with Prisms_ Producing Nets - National Council of Teachers of Mathematics,"The teachers recognized that their students were at various stages in their geometric learning, so they decided to focus on designing a task with multiple entry points that spanned geometric understanding at several grade levels. The areas included measurement from grade 4 (area of rectangles), measurement from grade 5 (interpreting multiplication as scaling, and volume of a right rectangular prism), geometry from grade 6 (continuing the idea of volume of a right rectangular prism and applying the volume formula), and geometry from grade 7 (solving problems including scale, area, volume, and surface area of right rectangular prisms).",,
2,Persevering with Prisms_ Producing Nets - National Council of Teachers of Mathematics,"The teachers sought to develop a task that had the characteristics of higher-level cognitive demands (Smith and Stein 1998), would provide students the opportunity to engage in productive struggle (NCTM 2014), and had specific mathematical goals (those things that students could walk away knowing and doing). As the teachers designed the task, they reasoned through their own questions, created models, anticipated outcomes, modified predictions, and began developing a task to engage their students. They considered the words of Driscoll, DiMatteo, Nikula, and Egan that â€œschool children are afforded too few opportunities to locate general results via investigation; rather, the norm tends to be that students are expected to learn and apply results obtained by othersâ€ (2007, p. 11). In formulating initial ideas for the task, the teachers shared experiences in their own adult lives in which they needed physical representations to visualize spatial outcomes. These teachers, like so many of their colleagues, had experienced school geometry as the study of â€œresults obtained by othersâ€; therefore, they were eager to help students develop conceptual understanding. They sought to provide an experience that would emulate their visualizations as a way to support studentsâ€™ geometric thinking.",,
3,Persevering with Prisms_ Producing Nets - National Council of Teachers of Mathematics,PLANNING THE TASK,,
4,Persevering with Prisms_ Producing Nets - National Council of Teachers of Mathematics,"The teachers considered their studentsâ€™ mathematical understanding in geometry and recognized the need for students to understand the concept of volume, solve real-world problems involving volume, and construct and describe relationships between geometric figures. They were aware of the Thinking through a Lesson Protocol and wanted to â€œmove beyond the structural components often associated with lesson planning to a deeper consideration of how to advance studentsâ€™ mathematical understandingâ€ (Smith, Bill, and Hughes 2008, p. 137). On the basis of their assessment of student needs, they decided to create a task in which students would have to draw a net and then scale it up so that each dimension would be three times larger than the original rectangular prism. Before working on this task, their students had not created nets and had very limited, if any, experience with constructing three-dimensional objects. The teachers built their task goals around three essential understandings of geometry found in NCTMâ€™s Essential Understanding series:",,
5,Persevering with Prisms_ Producing Nets - National Council of Teachers of Mathematics,â€¢ Decomposing and rearranging provide a geometric way of both seeing that a measurement formula is the right one and seeing why it is the right one. (Essential Understanding 1a),,
6,Persevering with Prisms_ Producing Nets - National Council of Teachers of Mathematics,"â€¢ Geometric thinking involves developing, attending to, and learning how to work with imagery. (Big Idea 2)",,
7,Persevering with Prisms_ Producing Nets - National Council of Teachers of Mathematics,"â€¢ Geometric awareness develops through practice in visualizing, diagramming, and constructing. (Essential Understanding 2c) (Sinclair, Pimm, and Skelin 2012, pp. 7â€“8)",,
8,Persevering with Prisms_ Producing Nets - National Council of Teachers of Mathematics,"After determining the mathematical focus of the task, the teachers created the context. They used the realistic situation in figure 1, knowing that students could relate to the experience of having relatives who live in distant locations.",,
9,Persevering with Prisms_ Producing Nets - National Council of Teachers of Mathematics,,,
