__id__,__filename__,text,,
0,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"In the buzzing activity of the mathematics classroom, teaching in a way that effectively responds to and furthers students’ thinking can be quite challenging. Given that teachers’ instructional decisions will directly influence students’ learning, it is extremely important to develop the sorts of practices that lead to productive in-the-moment teaching choices.",,
1,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"To explore teachers’ instructional decisions and the potential to influence students’ learning, consider the algebraic task and student response in figure 1. What are the important mathematical features of this work? What might we suppose that Jennifer understands about this particular mathematical idea? What next instructional step might be productive?",,
2,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,,,
3,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"Teachers have the opportunity to engage in professional noticing in every instructional situation; however, this practice is more complex than merely observing students and their work. Jacobs, Lamb, and Philipp (2010) defined professional noticing as “a set of three interrelated skills: attending to children’s strategies, interpreting children’s understandings, and deciding how to respond on the basis of children’s understandings” (p. 172). To emphasize each of the three interrelated skills, it is useful to slow down one’s instructional thought process and consider them separately yet progressively. Beginning with attending, what has Jennifer done in response to the task? Take a moment to consider the salient mathematical features of Jennifer’s response before reading on.",,
4,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"As we analyze the features of Jennifer’s response, we see that she has initially correctly translated the problem into numbers and symbols; however, she has incorrectly applied the use of parentheses. Further, Jennifer appears to have chosen and substituted a specific value for Y and solved rather than constructed the more generalized expression requested by the task.",,
5,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"Central to this discussion of professional noticing is the focus on students’ progressive mathematical development. Regarding Jennifer’s work and the second interrelated component of professional noticing, how might we interpret her work in the context of algebraic development? How would we describe what she understands about algebraic concepts? Consider these questions for a moment before continuing.",,
6,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"Jennifer appears to have some understanding that parentheses may be used to structure numerical expressions, although they were misapplied in this instance. Interpreting these features, Jennifer’s strategy appears to reflect an emerging understanding of the Common Core State Standards for Mathematics (CCSSM) standard 5.OA.1: Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols. However, the demands of the task are likely targeting 6.EE.2a: Write expressions that record operations with numbers and with letters standing for numbers (CCSSI 2010).",,
7,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"Considering Jennifer’s work and the third interrelated component of professional noticing, how might one decide on an appropriate next instructional step in the context of algebraic development? What sorts of teaching moves might be most effective? Contemplate these questions for a moment.",,
8,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"To decide on appropriate instructional tactics to advance Jennifer’s mathematical thinking, the Early Equations and Expressions learning trajectory (Confrey, Maloney, and Nguyen 2011a) provides a productive pathway. For this particular example, variations on a game involving playing cards may be used to provide one possible structured pathway for mathematical development (see fig. 2).",,
9,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,,,
10,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,PROFESSIONAL NOTICING INFORMED BY TRAJECTORIES,,
11,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"Professional noticing in the context of the preceding example may be considered trajectory-based. When engaging in professional noticing, multiple trajectories might guide teachers’ practice. CCSSM provides the basis for one such trajectory. Indeed, the underlying trajectories of CCSSM have been the focus of considerable study (Confrey et al. 2011b), and this work provides a cognitive model for thinking about and acting on the features of Jennifer’s work.",,
12,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,This application of noticing is built on an understanding of students’ development along a particular mathematical pathway or trajectory. Such trajectories may support professional noticing because teachers’ understanding of the common development of particular mathematical concepts can inform their interpretation of students’ mathematics and how to respond instructionally.,,
13,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,PROFESSIONAL NOTICING IN A DISCOURSE-RICH CLASSROOM,,
14,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"Although analyzing student work retroactively is beneficial for developing the interrelated skills of professional noticing, much of the work of teaching requires in-the-moment noticing of classroom interactions. A knowledge of trajectories continues to be a valuable tool to draw on as teachers plan for and facilitate productive discussions. Underlying productive discussions is the selection of appropriately rich tasks. Such tasks require students to think critically; they also may be considered from multiple perspectives and solved using a variety of strategies.",,
15,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"Once a task has been identified, students may construct viable arguments while considering and critiquing the arguments of their peers. Students who are engaged in productive activity must wrestle with ideas and listen to others. While they are negotiating situations that provoke disequilibrium, they also construct mathematical meaning. Regarding the manner in which teachers may initiate and lead such discussions, Stein and colleagues (2008) outline five practices for orchestrating productive mathematical discourse. These practices correspond to the component skills of professional noticing (see table 1).",,
16,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,,,
17,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"Returning to the assertion that productive discourse occurs in the context of rich mathematical tasks, scale and shape problems (Van de Walle 2007) provide sound contexts for students to explore and discuss algebraic ideas (see fig. 3). In this particular example, pairs of students worked on such a problem (see fig. 4).",,
18,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,,,
19,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,,,
20,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,"For this particular task, the teacher might anticipate that students would either use a guess-and-check strategy or deductive comparison between the scales. However, as the teacher monitors the student work, he or she might see that groups 1 and 3 used some manner of a guess-and-check strategy; group 3’s work may be interpreted as more systematic in that Robin and Cathy considered addends that would equal 13, whereas Adrienne and Jim began testing progressively increasing values for the disc. Given this difference, the teacher might decide to select all three groups to share in the following order: group 1, group 3, group 2. This sequencing (based on the interpreted features of the response) provides the opportunity to examine and discuss the task through increasingly systematic strategies culminating in Sarama and Kyle’s deductive comparison. Note that both the selection and sequencing in this example are built on some knowledge of trajectory because the teacher is making informed judgments about the development of students’ mathematical understanding. In this sense, we may consider discourse-oriented noticing related to trajectory-oriented professional noticing.",,
21,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,PRACTICE TIPS AND FINAL REMARKS,,
22,Professional Noticing_ Learning to Teach Responsively - National Council of Teachers of Mathematics,The following are tips to keep in mind as teachers begin to practice the component skills of professional noticing.,,
