__id__,__filename__,text,,
0,Pumpkin Pi - National Council of Teachers of Mathematics,.,,
1,Pumpkin Pi - National Council of Teachers of Mathematics,,,
2,Pumpkin Pi - National Council of Teachers of Mathematics,"1. a. The following is a table that Jason and Marcus created by measuring the circumference and diameter of several circles using a piece of string and a ruler. For each, divide the circumference by the diameter and record the result to at least six decimal places, as necessary.",,
3,Pumpkin Pi - National Council of Teachers of Mathematics,,,
4,Pumpkin Pi - National Council of Teachers of Mathematics,b. Compare the numbers in the ratio column. What do you notice? What do you call this ratio?,,
5,Pumpkin Pi - National Council of Teachers of Mathematics,"c. Use your answer to problem 1b, and your knowledge of the circumference formula, to explain the relationship among , the diameter of a circle, and its circumference.",,
6,Pumpkin Pi - National Council of Teachers of Mathematics,"2. For each of the circles found in problem 1a, calculate the area. Round each answer to the nearest hundredth.",,
7,Pumpkin Pi - National Council of Teachers of Mathematics,3. Some people celebrate Pi Day on March 14 at 1:59 p.m. (or a.m.). Why do you think they celebrate it on that day and time?,,
8,Pumpkin Pi - National Council of Teachers of Mathematics,"4. In the cartoon, Marcus said, Ill put this at the end, until we buy more. Will they be able to buy enough pumpkins to represent   as a decimal? What does the pumpkin he is holding represent? Explain your answer.",,
9,Pumpkin Pi - National Council of Teachers of Mathematics,CHALLENGE,,
10,Pumpkin Pi - National Council of Teachers of Mathematics,5. a. The actual value of  begins with 3.141592653589 79323846. . . . Two common approximations of  are,,
11,Pumpkin Pi - National Council of Teachers of Mathematics,,,
12,Pumpkin Pi - National Council of Teachers of Mathematics,Which approximation is closer to the actual value of ? Explain your answer.,,
13,Pumpkin Pi - National Council of Teachers of Mathematics,b. Use the formula below for relative error (also known as percentage of error) to find out which approximation in problem 5a is closer to .,,
14,Pumpkin Pi - National Council of Teachers of Mathematics,,,
15,Pumpkin Pi - National Council of Teachers of Mathematics,where,,
16,Pumpkin Pi - National Council of Teachers of Mathematics,Absolute Error,,
17,Pumpkin Pi - National Council of Teachers of Mathematics,,,
18,Pumpkin Pi - National Council of Teachers of Mathematics,Use 20 decimal places in your calculations.,,
19,Pumpkin Pi - National Council of Teachers of Mathematics,6. Find a fraction that gives a better approximation of  than,,
20,Pumpkin Pi - National Council of Teachers of Mathematics,SOLUTIONS,,
21,Pumpkin Pi - National Council of Teachers of Mathematics,1. a.,,
22,Pumpkin Pi - National Council of Teachers of Mathematics,,,
23,Pumpkin Pi - National Council of Teachers of Mathematics,b. All the ratios are nearly the same. This ratio is called . The third ratio is the closest to .,,
24,Pumpkin Pi - National Council of Teachers of Mathematics,c.  is the ratio of the circumference to the diameter of a circle,,
25,Pumpkin Pi - National Council of Teachers of Mathematics,,,
