__id__,__filename__,text,,
0,Questioning the Order of Operations - National Council of Teachers of Mathematics,"For decades, students have been encouraged to Please Excuse My Dear Aunt Sally as a means of learning the order of operations. Teachers unfamiliar with the Aunt Sally mnemonic are perhaps more familiar with a mnemonic such as PEMDAS. Each mnemonic is intended to convey parentheses, exponents, multiplication, division, addition, and subtraction. Although many students accurately recall these intended references, some authors have suggested that mnemonics fail to guard against incorrect calculations (e.g., Ameis 2011; Jeon 2012; Wu 2004). Indeed, even some prospective teachers fail to correctly apply the order of operations (Glidden 2008; Jeon 2012) when relying on mnemonics.",,
1,Questioning the Order of Operations - National Council of Teachers of Mathematics,"The importance of correctly performing arithmetic operations cannot be overlooked. The Common Core State Standards for Mathematics (CCSSM) recommends introducing the commutative, associative, and distributive properties as early as third grade (CCSSI 2010, 3.OA.5), advocates the introduction of parentheses and brackets in grade 5 (5.OA.1), and designates direct emphasis on exponents and teaching the order of operations as a key part of the sixth-grade standards (6.EE.2c).",,
2,Questioning the Order of Operations - National Council of Teachers of Mathematics,"The primary responsibility for instructing students on the order of operations falls in the middle school grades. Teachers can support students in learning the order of operations by building on their early exposure to and understanding of number properties and relationships. However, many teachers learned the order of operations from mnemonics themselves and thus fail to see how something as simple as the commutative property can replace the left to right requirement present in most mnemonics. Teachers who understand the fundamental properties and relationships among numbers can abandon mnemonics and truly teach the order of operations.",,
3,Questioning the Order of Operations - National Council of Teachers of Mathematics,"Several authors have proposed alternatives to mnemonics as a way to teach the order of operations (Ameis 2011; Rambhia 2002; Schrock and Morrow 1993; Zorin and Carver 2015). Even teachers lament the inaccuracy with which students follow provided mnemonics. This article advocates abandoning familiar mnemonics and explains why. It also shares experiences from the preparation and delivery of a one-hour workshop, wherein mathematics teachers, coaches, and curriculum specialists explored the myths perpetuated by traditional mnemonics and discussed possible changes to their instructional approaches regarding the order of operations.",,
4,Questioning the Order of Operations - National Council of Teachers of Mathematics,"WORKSHOP PARTICIPANTS, DESIGN, AND OUTCOMES",,
5,Questioning the Order of Operations - National Council of Teachers of Mathematics,"To explore an alternative approach to teaching the order of operations, I conducted a small one-hour workshop aimed at revealing several myths perpetuated by traditional mnemonics. The workshop was conducted with two different teacher groups at two separate times. Elementary school personnel included two curriculum supervisors, five math coaches, two curriculum writers, and two teachers. The group also included four pre-service secondary school math teachers as well as three middle school and two high school math teachersall from various regions of Utah. The first workshop consisted primarily of elementary school professionals; the second consisted of secondary school teachers.",,
6,Questioning the Order of Operations - National Council of Teachers of Mathematics,"Each workshop was conducted in three phases. In phase 1, teachers were asked to evaluate five expressions without using a calculator. Each of the five expressions was designed to reveal common misconceptions perpetuated by the order of operations mnemonics. Phase 2 of the workshop consisted of a group discussion regarding the misconceptions that each expression revealed and culminated in teachers realization that their own understanding of basic properties of arithmetic often leads them to violate the word order that well-intentioned mnemonics train students to follow. Phase 3s discussions involved teacher takeaways and implications for more effective teaching of the order of operations.",,
7,Questioning the Order of Operations - National Council of Teachers of Mathematics,MISCONCEPTIONS PERPETUATED BY MNEMONICS,,
8,Questioning the Order of Operations - National Council of Teachers of Mathematics,The expressions presented in phase 1of the workshop were designed to reveal the following:,,
9,Questioning the Order of Operations - National Council of Teachers of Mathematics,Misconception 1: Multiplication comes before division.,,
10,Questioning the Order of Operations - National Council of Teachers of Mathematics,Misconception 2: Addition comes before subtraction.,,
11,Questioning the Order of Operations - National Council of Teachers of Mathematics,Misconception 3: Operations must be performed from left to right.,,
12,Questioning the Order of Operations - National Council of Teachers of Mathematics,Misconception 4: Parentheses come first.,,
13,Questioning the Order of Operations - National Council of Teachers of Mathematics,Figure 1 shows the expressions used and the misconceptions that each was designed to reveal. The first four expressions were adapted from Jeons (2012) work with preservice teachers; the final expression was adapted from Ameiss (2011) discussion proposing a hierarchical view of the order of operations.,,
14,Questioning the Order of Operations - National Council of Teachers of Mathematics,,,
15,Questioning the Order of Operations - National Council of Teachers of Mathematics,"After teachers had independently evaluated all five expressions, they discussed each expression while working within a group. As needed, clarifications of incorrect procedures that teachers had used took place, and agreement was reached on the correct result for each expression. To initiate the discussion about the final expression, I performed calculations (see fig. 2) that purposely violated the widely held beliefs that parentheses come first and that operations must occur from left to right. Because many teachers had also performed some of the operations out of order, they realized that as content experts, they often unconsciously violated the order they supplied to students when using a mnemonic.",,
16,Questioning the Order of Operations - National Council of Teachers of Mathematics,,,
17,Questioning the Order of Operations - National Council of Teachers of Mathematics,This expert blind spot also manifested itself in teachers work on the second expression: Many teachers confessed to seeing the expression as,,
18,Questioning the Order of Operations - National Council of Teachers of Mathematics,3  8 + 10  3 + 8,,
19,Questioning the Order of Operations - National Council of Teachers of Mathematics,and then combining the opposites of 3 and 3 and 8 and 8 out of order to arrive at 10. Such shortcuts are possible because as teachers we think beyond the mnemonic to what we know about properties of numbers and operations. This realization not only helped teachers see how mnemonics are misleading for inexperienced students but also opened the door for a deeper look into how to teach the order of operations more effectively.,,
20,Questioning the Order of Operations - National Council of Teachers of Mathematics,A NEW APPROACH,,
21,Questioning the Order of Operations - National Council of Teachers of Mathematics,"Once the misconceptions were revealed, I proposed the following considerations to reshape how we typically think about the order of operations:",,
22,Questioning the Order of Operations - National Council of Teachers of Mathematics,"Subtraction is equivalent to adding the opposite (additive inverse). For example,",,
23,Questioning the Order of Operations - National Council of Teachers of Mathematics,"3  6  4 + 5, or 3  24 + 5,",,
24,Questioning the Order of Operations - National Council of Teachers of Mathematics,"is equivalent to 3 + (24) + 5. Thus, every subtraction problem can be viewed as an addition problem, dispelling the misconception that addition comes before subtraction. It also provides a case for teaching students to use the additive inverse to rewrite subtraction as addition.",,
25,Questioning the Order of Operations - National Council of Teachers of Mathematics,"Division is equivalent to multiplying by the reciprocal (or multiplicative inverse). For example,",,
26,Questioning the Order of Operations - National Council of Teachers of Mathematics,7 + 20  2  5 + 4,,
27,Questioning the Order of Operations - National Council of Teachers of Mathematics,is equivalent to 7 + 20  1/2  5 + 4and dispels the misconception that multiplication comes before division. Teaching students to rewrite division as multiplication supports the use of fraction arithmetic.,,
28,Questioning the Order of Operations - National Council of Teachers of Mathematics,"Taken together, the previous two ideas dispel the misconception that operations must be performed from left to right. When we think of subtraction as addition and division as multiplication, all basic computations become combinations of addition and multiplication, leading to a realization that the only real hierarchy is that multiplication must occur before addition (Wu 2004).",,
29,Questioning the Order of Operations - National Council of Teachers of Mathematics,Parentheses are not an operation; they are a conventional representation of groups in which calculations must be performed separately but not necessarily first. The fact that parentheses are sometimes used to imply multiplication became a topic of some consideration for the teacher groups.,,
30,Questioning the Order of Operations - National Council of Teachers of Mathematics,IMPLICATIONS FOR INSTRUCTION,,
31,Questioning the Order of Operations - National Council of Teachers of Mathematics,Teachers in both workshops widely agreed that traditional mnemonics can lead student to acquire misconceptions 14. Teachers also supported the proposals to rewrite subtraction as addition and division as multiplication. Many teachers acknowledged that making such changes in instruction would have a positive impact on students learning the order of operations. Among noted advantages were reinforcing work with integers and fractions and moving beyond reliance on rules to a deeper understanding of operations with numbers. Most teachers were also surprised to see that the left to right requirement could be abandoned with the correct use of the associative and commutative properties.,,
32,Questioning the Order of Operations - National Council of Teachers of Mathematics,"However, teachers quickly recognized challenges associated with shifting instructional practices in this way. The primary concerns voiced by teachers in these workshops were these:",,
33,Questioning the Order of Operations - National Council of Teachers of Mathematics,1. Rewriting subtraction as addition becomes problematic for sixth graders who will not formally learn operations with negative integers until seventh grade.,,
34,Questioning the Order of Operations - National Council of Teachers of Mathematics,"2. Since parentheses are not themselves an operation but can be used to imply multiplication, how should the use of parentheses be approached in the early grades? More specifically, should students in the early grades be exposed to parentheses as implied multiplication, or should this instruction be delayed until the later grades?",,
35,Questioning the Order of Operations - National Council of Teachers of Mathematics,"In addressing the first of these concerns, full responsibility for teaching the order of operations falls on sixth-grade teachers, as outlined in the CCSSM, yet operations with integers is not introduced until seventh grade. Although approaching subtraction as addition of an opposite is a logical and perhaps even better instructional approach to teaching the order of operations, teachers questioned whether students in sixth grade are prepared to work with such calculations as 3 + (24). Arriving at a firm solution to this challenge was beyond the scope of the workshop, but some valuable ideas surfaced during discussion.",,
36,Questioning the Order of Operations - National Council of Teachers of Mathematics,"For example, one middle school teacher provided the following problem: 8  12. If 8  12 is rewritten as 8 + (12), then students in sixth grade, who are unfamiliar with calculations involving negative integers, may be challenged beyond their current knowledge. However, students are taught very early in their mathematical experience to decompose numbers like 14 to 10 + 4, and students in sixth grade are exposed to the concept of a negative integer in relation to its distance from zero. Thus, teachers wondered if drawing on students early experience decomposing numbers might offer a solution that would allow a teacher to lead sixth-grade students from 8 + (12) to 8 + (8 + 4) to 8 + (8) + (4). If so, then it may not be unreasonable to think that sixth graders could understand that 8 + (8) is equivalent to zero, making 8 + (12) fully accessible to a sixth grader.",,
37,Questioning the Order of Operations - National Council of Teachers of Mathematics,"My intent is not to discuss the merits of approaching instruction in this way in grade 6. Instead, this article illustrates that even a few teachers can produce productive conversations. Such discussions led to questions of whether sole responsibility for teaching the order of operations should be placed in the hands of sixth-grade teachers. If so, how might the focus of calculations requiring the order of operations be modified to allow for more meaningful synthesis of the skills that students acquire in the early grades? These are key questions that should be addressed in future work and conversations among Kgrade 12 teachers desiring to improve student understanding of the order of operations.",,
