__id__,__filename__,text,__id__,__filename__
0,Quick Reads: Journaling: Out with the Old,quick reads a good idea in a small package,0,Quick Reads: Journaling: Out with the Old
1,Quick Reads: Journaling: Out with the Old,Journaling: Out with  the Old,1,Quick Reads: Journaling: Out with the Old
2,Quick Reads: Journaling: Out with the Old,Shelli L. Casler-Failing ,2,Quick Reads: Journaling: Out with the Old
3,Quick Reads: Journaling: Out with the Old,"Writing in mathematics can have many uses, but one of the most important is for teachers to assess student thinking. Analyzing writing helps reveal to teachers the gaps in students’ understanding. Once teachers are aware of these gaps, they can develop methods to improve their students’ understanding. ",3,Quick Reads: Journaling: Out with the Old
4,Quick Reads: Journaling: Out with the Old,Many students struggle with word problems and other math homework. Their struggles can vary from not understanding what is being asked to not knowing which mathematical strategy or formula to apply to the problem. I conjecture that these constant struggles create negative attitudes about mathematics. Writing can become a problem-solving tool to address such problems. Students can rewrite problems in their own ,4,Quick Reads: Journaling: Out with the Old
5,Quick Reads: Journaling: Out with the Old,"Edited by trena Wilkerson, trena_ wilkerson@baylor.edu, Baylor University, Waco, Texas. Readers are encouraged  to submit manuscripts through  http://mtms.msubmit.net.  words or break them down into parts. Students can then write about the process of solving while they are solving the problem. This form of writing becomes reflective as students reread their entries; this writing also helps students gain deeper mathematical understanding. ",5,Quick Reads: Journaling: Out with the Old
6,Quick Reads: Journaling: Out with the Old,"Writing about and reflecting on  word problems allow students to connect to previously learned concepts and facilitate the act of finding  and correcting their own mistakes  (Marwine 1989; Baxter, Woodward, and Olson 2005; Lim and Pugalee 2004). The most important fact about this type of writing is that there is always something to write about. If the student does not know how to answer the problem, he or she can still write about what is known (the given information), what needs to be known (what the question is asking), and what information is needed to solve the problem (how the given information is used) (Berlinghoff 1989). ",6,Quick Reads: Journaling: Out with the Old
7,Quick Reads: Journaling: Out with the Old,"In my classroom, a weekly journal  question is used to promote writing. The types of questions given to students are compiled from many different sources, such as NCTM’s Problem to Ponder (see http://www.nctm .org/about/content.aspx?id=26070), logic problems from Penny Publications, KenKen® puzzles, sudoku puzzles, and others. I teach mathematics to grades 5-8, and all students receive the same question each week so I can observe their mathematical growth as they progress through middle school. Also, viewing the strategies that students of different ages use to solve the same problem has been informative. For the last four years, students have looked forward to these journal questions.",7,Quick Reads: Journaling: Out with the Old
8,Quick Reads: Journaling: Out with the Old,"Each week, when the journal  question is assigned, the students receive the same directions:  Please respond to this journal  question in complete sentences. Remember to answer the entire question honestly and explain your  reasoning. Your response should be at least three sentences in length. Make sure to be detailed about any resources used and your reasons for the methods you used to solve the problem.",8,Quick Reads: Journaling: Out with the Old
9,Quick Reads: Journaling: Out with the Old,"Giving students these directions  reminds them of the objectives of the assignment. Students do not naturally think about their solution processes, they often just do the math. By the teacher reiterating these directions weekly, students are reminded of the expectations and the requirement to think about what they are doing as they solve or attempt to solve the problem. ",9,Quick Reads: Journaling: Out with the Old
10,Quick Reads: Journaling: Out with the Old,"The most important aspect of  these questions is that the students do not need to find the exact answer. Students are required to write about their solution, and most do, but some students really struggle with mathematics. Allowing the students to simply try the problem removes much of the pressure and stress they often feel when solving problems. The outcome in this situation is often favorable.",10,Quick Reads: Journaling: Out with the Old
11,Quick Reads: Journaling: Out with the Old,"Although some students may have  difficulty finding or writing about the solution during their first few attempts, they are able to gain confidence in their abilities and solve future problems. The most rewarding part of the entire process for me is providing feedback to the students’ responses and reading, “I am so proud of myself ” in a student’s journal. When the students reach this point in their journal question responses, their confidence is transferred to all their mathematical learning.",11,Quick Reads: Journaling: Out with the Old
12,Quick Reads: Journaling: Out with the Old,"Another positive component to  this type of writing in my classroom is the ability to “see” the students’ thinking processes. By reading the responses, I am able to gain better insight into the methods used by my students to reach a solution. Shortly after I began implementing these weekly questions, the students asked if ",12,Quick Reads: Journaling: Out with the Old
13,Quick Reads: Journaling: Out with the Old,Fig. 1 This logic question was posed by a sixth-grade student who worked backward from answer to question.,13,Quick Reads: Journaling: Out with the Old
14,Quick Reads: Journaling: Out with the Old,"On Wednesday, Thursday, and Friday, three different lumberjacks (Chris, Lee, and Jason) went out to cut a different type of tree (oak, pine, and maple). Each type of tree went to a different place to be turned into three different items (lumber, floors, and furniture). No type of tree was cut down more than three times and no type of tree was cut down the same amount as another type.  a. There were less maple cut down than pine (which was not cut down on Wednesday). Oak was cut down by Chris on Friday.",14,Quick Reads: Journaling: Out with the Old
15,Quick Reads: Journaling: Out with the Old,b. Pine was not used for furniture (for which only one tree was cut down). More maple was cut down than Oak.,15,Quick Reads: Journaling: Out with the Old
16,Quick Reads: Journaling: Out with the Old,c. Lee did not cut down Pine (which was used for lumber). Oak was not used for floors (which was not on Thursday).  type of tree number of  trees cut down,16,Quick Reads: Journaling: Out with the Old
17,Quick Reads: Journaling: Out with the Old,Person Who cut the tree day tree  cut tree used ,17,Quick Reads: Journaling: Out with the Old
18,Quick Reads: Journaling: Out with the Old,For number of trees  cut down,18,Quick Reads: Journaling: Out with the Old
19,Quick Reads: Journaling: Out with the Old,Person Who cut the tree day tree  cut,19,Quick Reads: Journaling: Out with the Old
