__id__,__filename__,text,__id__,__filename__
0,Quick Reads: MathMania: A Middle School Puzzle Book,quick reads a good idea in a small package,0,Quick Reads: MathMania: A Middle School Puzzle Book
1,Quick Reads: MathMania: A Middle School Puzzle Book,MathMania:  ,1,Quick Reads: MathMania: A Middle School Puzzle Book
2,Quick Reads: MathMania: A Middle School Puzzle Book,A Middle School Puzzle Book,2,Quick Reads: MathMania: A Middle School Puzzle Book
3,Quick Reads: MathMania: A Middle School Puzzle Book,Alessandra King,3,Quick Reads: MathMania: A Middle School Puzzle Book
4,Quick Reads: MathMania: A Middle School Puzzle Book,"Learning math can be made fun—and therefore much more engaging— through puzzles. Most students, thrilled by puzzles, riddles, and brainteasers, stay on task and focus for a long time to solve them. This project makes the most of this penchant through additional incentives: Students create their own math puzzles, combine them into an anthology in book format, choose a title for their collective work, and then distribute it electronically to all the students in the class and to their families. This activity provides a visual hallmark or a year-end product of their mathematical journey. Showing enthusiasm for the project, one of my latest classes selected MathMania as the title of their book. It contained a variety of puzzle styles, as shown by the listing in its table of contents (see fig. 1). ",4,Quick Reads: MathMania: A Middle School Puzzle Book
5,Quick Reads: MathMania: A Middle School Puzzle Book,"Edited by trena Wilkerson, trena_ wilkerson@baylor.edu, Baylor University, Waco, Texas. Readers are encouraged  to submit manuscripts through  http://mtms.msubmit.net.  learning objectives",5,Quick Reads: MathMania: A Middle School Puzzle Book
6,Quick Reads: MathMania: A Middle School Puzzle Book,"My main objective is to foster problem-solving, critical-thinking, and decision-making skills. Although puzzles are often used to introduce new material, reinforce skills, and  review concepts previously studied, this objective is much wider: It is to simulate real-life applications of mathematics with tasks framed by a single, pivotal question that could be answered in many different ways. This puzzle activity requires students to analyze and integrate a large quantity of information and to deploy many different skills and concepts. ",6,Quick Reads: MathMania: A Middle School Puzzle Book
7,Quick Reads: MathMania: A Middle School Puzzle Book,"My second objective is to help students showcase their accomplishments by producing a year-end keepsake, one comparable to those typically produced in arts and language courses.",7,Quick Reads: MathMania: A Middle School Puzzle Book
8,Quick Reads: MathMania: A Middle School Puzzle Book,Project design,8,Quick Reads: MathMania: A Middle School Puzzle Book
9,Quick Reads: MathMania: A Middle School Puzzle Book,"I invite students to select any type of puzzle they wish and choose from any topic or unit that has been studied thus far during the school year. Comparable to a real-life problem, this task can be considered as a complex system of interconnected parts. Such a system can display properties that may be different from those of the parts and depend on various possible initial conditions. Moreover, small variations during the ",9,Quick Reads: MathMania: A Middle School Puzzle Book
10,Quick Reads: MathMania: A Middle School Puzzle Book,Fig. 1 This table of contents lists all the varieties of puzzles that students have created.,10,Quick Reads: MathMania: A Middle School Puzzle Book
11,Quick Reads: MathMania: A Middle School Puzzle Book,MathMania Puzzles 12 12 13 13,11,Quick Reads: MathMania: A Middle School Puzzle Book
12,Quick Reads: MathMania: A Middle School Puzzle Book,Alex’s Sudoku Lillian’s Cryptogram 6,12,Quick Reads: MathMania: A Middle School Puzzle Book
13,Quick Reads: MathMania: A Middle School Puzzle Book,Charlotte’s PuzzlePac Challenge  7,13,Quick Reads: MathMania: A Middle School Puzzle Book
14,Quick Reads: MathMania: A Middle School Puzzle Book,Skyler’s CrossNumber 9,14,Quick Reads: MathMania: A Middle School Puzzle Book
15,Quick Reads: MathMania: A Middle School Puzzle Book,Samantha’s Word Search 10,15,Quick Reads: MathMania: A Middle School Puzzle Book
16,Quick Reads: MathMania: A Middle School Puzzle Book,Lea’s Sudoku Challenge Mira’s Mind-Bender 11,16,Quick Reads: MathMania: A Middle School Puzzle Book
17,Quick Reads: MathMania: A Middle School Puzzle Book,Aleja’s Amazing and     Awesome KenKen Puzzle Annika’s KenKen Puzzle Mary Claire’s KenKen Olivia’s Puzzle Soleine’s Super Stupendous  14    KenKen 15,17,Quick Reads: MathMania: A Middle School Puzzle Book
18,Quick Reads: MathMania: A Middle School Puzzle Book,Leah’s Puzzle 16,18,Quick Reads: MathMania: A Middle School Puzzle Book
19,Quick Reads: MathMania: A Middle School Puzzle Book,Joelle’s Sudoku Puzzle 16,19,Quick Reads: MathMania: A Middle School Puzzle Book
20,Quick Reads: MathMania: A Middle School Puzzle Book,Wei Wei’s KenKen 17,20,Quick Reads: MathMania: A Middle School Puzzle Book
21,Quick Reads: MathMania: A Middle School Puzzle Book,Rinnie’s Riddle 18,21,Quick Reads: MathMania: A Middle School Puzzle Book
22,Quick Reads: MathMania: A Middle School Puzzle Book,Victoria’s Sudoku Amreen’s KenKen 18,22,Quick Reads: MathMania: A Middle School Puzzle Book
23,Quick Reads: MathMania: A Middle School Puzzle Book,Annelise’s Math Word Search  19 20,23,Quick Reads: MathMania: A Middle School Puzzle Book
24,Quick Reads: MathMania: A Middle School Puzzle Book,April’s Kindergram 20,24,Quick Reads: MathMania: A Middle School Puzzle Book
25,Quick Reads: MathMania: A Middle School Puzzle Book,Zoe’s Sudoku Sarah’s KenKen 21 21,25,Quick Reads: MathMania: A Middle School Puzzle Book
26,Quick Reads: MathMania: A Middle School Puzzle Book,Yasmin’s KenKen 22,26,Quick Reads: MathMania: A Middle School Puzzle Book
27,Quick Reads: MathMania: A Middle School Puzzle Book,Ashvike’s KenKen 22,27,Quick Reads: MathMania: A Middle School Puzzle Book
28,Quick Reads: MathMania: A Middle School Puzzle Book,Amanda’s Math Scramble Ava’s Math Word Search 23 23,28,Quick Reads: MathMania: A Middle School Puzzle Book
