__id__,__filename__,text,__id__,__filename__
0,Quick Reads: Problem Solving with Laser Precision,quick reads a good idea in a small package,0,Quick Reads: Problem Solving with Laser Precision
1,Quick Reads: Problem Solving with Laser Precision,Problem Solving  with Laser Precision,1,Quick Reads: Problem Solving with Laser Precision
2,Quick Reads: Problem Solving with Laser Precision,Scott A. Goldthorp,2,Quick Reads: Problem Solving with Laser Precision
3,Quick Reads: Problem Solving with Laser Precision,"Engaging all students in mathematics has been an age-old challenge that has become increasingly difficult in the twenty-first century. Remarkable new technologies—smart phones, tablet computers, and video games—have further eroded students’ attention spans. The traditional method of a teacher-centered classroom with students plugging away on endless activity sheets is a thing of the past. Creating a student-centered, inquiry-driven classroom is essential to reinvigorating students so that they can actively engage in learning mathematics. ",3,Quick Reads: Problem Solving with Laser Precision
4,Quick Reads: Problem Solving with Laser Precision,"To prepare students to succeed  in the future by simply memorizing formulas and algorithms would be a disservice. Since the world is ever changing, those students who learn problem solving as well as interpersonal skills and critical-thinking skills will be the most successful. How, then, are teachers to prepare students to be successful problem solvers and critical thinkers? ",4,Quick Reads: Problem Solving with Laser Precision
5,Quick Reads: Problem Solving with Laser Precision,"Within a student-centered classroom, the teacher acts as a facilitator ",5,Quick Reads: Problem Solving with Laser Precision
6,Quick Reads: Problem Solving with Laser Precision,"Edited by trena Wilkerson, trena_ wilkerson@baylor.edu, Baylor University, Waco, Texas. Readers are encouraged  to submit manuscripts through  http://mtms.msubmit.net.  of learning as opposed to a dictator of knowledge. Lessons are developed around a central problem or question, thus allowing students to work cooperatively toward a solution. By taking a problem-solving approach, students are building not only interpersonal skills but also critical-thinking skills (Hmelo-Silver 2004). As students progress, they will have a context with which to apply mathematical reasoning, and mathematics will become purposeful.  creating a PurPose",6,Quick Reads: Problem Solving with Laser Precision
7,Quick Reads: Problem Solving with Laser Precision,"With a solid foundation in proportional reasoning and similar figures, my students were ready to tackle the concept of indirect measurement. In  indirect measurement helped students determine the height of the flag.",7,Quick Reads: Problem Solving with Laser Precision
8,Quick Reads: Problem Solving with Laser Precision,an empty paper towel roll helped this student find the width of the soccer goal.,8,Quick Reads: Problem Solving with Laser Precision
9,Quick Reads: Problem Solving with Laser Precision,"years past, I have done what many other teachers have done: Write an example problem on the board and assign countless problems from the textbook and assorted activity sheets. I noticed that my students would become successful at completing the activity sheets with astounding accuracy, but their understanding was weak. Within a week or two, the memorized skill was forgotten because it had been taught out of context. That is when it clicked for me: If I wanted my students to understand mathematics, I would need to provide a purpose and a context. ",9,Quick Reads: Problem Solving with Laser Precision
10,Quick Reads: Problem Solving with Laser Precision,"To engage the students, I directed a laser pointer at a mirror on the floor, with the reflection hitting the 12 on a clock positioned above the classroom door. I posed the simple question, “Who can explain what is happening?” Knowing that my students had just completed a unit on the electro- magnetic spectrum and light in science class, I was confident that this would be a conversation starter. As a class discussion progressed, students expanded on one another’s ideas, with each student adding more and more detail to the science and mathematics behind this relatively basic phenomenon. By the end of the discussion, the students had made a drawing on the board, showing how light reflected off the mirror forming two similar triangles.  guiding inquiry",10,Quick Reads: Problem Solving with Laser Precision
11,Quick Reads: Problem Solving with Laser Precision,"Students were then divided into groups of three or four and given a mirror, laser pointer, and meterstick and asked to measure the heights of flags hanging along the ceiling in the school gymnasium. Students were given minimal instruction and were asked to devise and execute a plan to determine the measurements. Most groups jumped at the opportunity and the freedom in such an inquiry-based lesson; however, some of my “best” ",11,Quick Reads: Problem Solving with Laser Precision
12,Quick Reads: Problem Solving with Laser Precision,"Fig. 1 To determine the height of flags in the gymnasium, students generated a  diagram such as this one to show how light reflected off a mirror on the floor.",12,Quick Reads: Problem Solving with Laser Precision
13,Quick Reads: Problem Solving with Laser Precision,"students were hesitant to take on the activity. They hesitated because it involved much more work; it involved problem solving. With students taking ownership of the problem, they were able to make concrete connections to the mathematics and science involved in indirect measurement. ",13,Quick Reads: Problem Solving with Laser Precision
14,Quick Reads: Problem Solving with Laser Precision,"As part of the activity, students  were asked to detail how their groups solved the problem and include a labeled diagram representing their experiments (see an illustration in fig. 1). Once these tasks were accomplished, students were given the actual heights of the flags and asked to calculate the percentage error. They then reflected on what could have been done differently to get a more accurate answer in the future. ",14,Quick Reads: Problem Solving with Laser Precision
15,Quick Reads: Problem Solving with Laser Precision,Providing FreedoM  to learn,15,Quick Reads: Problem Solving with Laser Precision
16,Quick Reads: Problem Solving with Laser Precision,"To further develop my students’ understanding of indirect measurement, I assigned an additional task: Find the width of the soccer goal outside our school. Having the students brainstorm solutions and then actually go outside and implement their ideas provided a context to engage even the most difficult-to-reach students. The only materials they could use included  students used the trundle wheel to measure distances on the soccer field.",16,Quick Reads: Problem Solving with Laser Precision
17,Quick Reads: Problem Solving with Laser Precision,"an empty paper towel roll, a ruler, and a trundle wheel. Again, students would have to explain how they solved the problem as well as reflect on their accuracy after the project’s completion. ",17,Quick Reads: Problem Solving with Laser Precision
18,Quick Reads: Problem Solving with Laser Precision,"The students’ solutions to this  problem were both creative and feasible. One group proposed using the Pythagorean theorem (see fig. 2). Another group of students knew that the ratio of height to width of a soccer goal was 1:3. Using this fact, the students then developed a method using shadows from the sun and similar triangles to calculate the height of the goal. Once the group established the height, students determined that they could set up a proportion to solve for ",18,Quick Reads: Problem Solving with Laser Precision
19,Quick Reads: Problem Solving with Laser Precision,Fig. 2 The Pythagorean theorem was proposed by students as a way to find the width of the soccer goal.,19,Quick Reads: Problem Solving with Laser Precision
20,Quick Reads: Problem Solving with Laser Precision,Fig. 3 Shadows and indirect measurement were also used in the soccer goal solution.,20,Quick Reads: Problem Solving with Laser Precision
21,Quick Reads: Problem Solving with Laser Precision,Fig. 4 A paper towel roll became both a mathematical tool and a problem-solving manipulative.,21,Quick Reads: Problem Solving with Laser Precision
22,Quick Reads: Problem Solving with Laser Precision,"the width of the goal (see fig. 3). Although these solutions were  reasonable and had addressed the given problem, they did not include the paper towel roll. I wanted to expand on my students’ problem-solving abilities so I encouraged them to look through the paper towel roll and develop a possible relationship between the size of the roll and what they saw when looking through it. After I posed some guiding questions and encouraged creative thinking, most groups proposed the relationships shown in figure 4. As I moved among the students,  I heard many different proposals. In one magical moment, I realized that every student was actively engaged. They were grappling with an activity that fostered problem solving, critical thinking, and interpersonal skills. By creating a student-centered, inquirydriven classroom, students had become re-engaged with learning math. ",22,Quick Reads: Problem Solving with Laser Precision
23,Quick Reads: Problem Solving with Laser Precision,"In years past, my students would have easily completed ten times the number of practice problems as compared with the current year. However, now my students have a much deeper understanding of not only the mathematical concepts at play but also the real-world contexts with which to apply the skill.  reFerence Hmelo-Silver, Cindy. 2004. “Problem Based Learning: What and How Do Students Learn?” Educational Psychology Review 16 (3): 235-66. doi:http://dx.doi.org/10.1023/",23,Quick Reads: Problem Solving with Laser Precision
24,Quick Reads: Problem Solving with Laser Precision,"B:EDPR.0000034022.16470.f3 scott a. goldthorp,  sgoldthorp@chclc.org, teaches middle school math and science at Rosa International Middle ",24,Quick Reads: Problem Solving with Laser Precision
25,Quick Reads: Problem Solving with Laser Precision,"School in cherry hill, New Jersey. he is interested in using science and problemsolving scenarios to engage students in learning math.",25,Quick Reads: Problem Solving with Laser Precision
