__id__,__filename__,text,__id__,__filename__
0,Quick Reads: Using Technology to Build a Pen for Browser,Using Technology to  Build a Pen for Browser,0,Quick Reads: Using Technology to Build a Pen for Browser
1,Quick Reads: Using Technology to Build a Pen for Browser,"Leigh Haltiwanger, Robert M. Horton, and Brooke Lance us that technology, when used in conjunction with exploration and rigorous questioning, promotes understanding. NCTM (2000) asks us to envision such a classroom in which students delve into mathematics, form and investigate conjectures, draw on knowledge from a wide variety of mathematical topics, and use technology as an essential tool to investigate concepts further. When we effectively teach with technology, all students have opportunities to make sense of topics that might otherwise seem out of their grasp. When we ensure that these things occur in concert, mathematical understanding and sense making are promoted. We presented a problem (see   fig. 1) that, when coupled with the use of a graphing calculator as an exploratory tool, created such an environment for a seventh-grade math class. The problem asked students to think about the relationships among the lengths, widths, perimeters, and areas of possible rectangular pens for a dog named Browser. Students used the Casio PRIZM, a graphing calculator with a color screen, to explore multiple representations and ideas related to domain, range, intercepts, rate of change, and linear and nonlinear functions. ",1,Quick Reads: Using Technology to Build a Pen for Browser
2,Quick Reads: Using Technology to Build a Pen for Browser,"To engage in this mathematical task, students drew representations and discussed possible dimensions for  mEdited by Trena Wilkerson,  ",2,Quick Reads: Using Technology to Build a Pen for Browser
3,Quick Reads: Using Technology to Build a Pen for Browser,"Making mathematics meaningful is a challenge that all math teachers endeavor to meet. As math teachers, we spend countless hours crafting problems that will energize students and help them connect mathematical topics to their everyday lives. Being successful in our efforts requires that we allow students to explore ideas before we provide explanations and demands that we ask questions to promote a depth of thinking and reasoning that would not occur without such probing (Marshall and Horton 2009).",3,Quick Reads: Using Technology to Build a Pen for Browser
4,Quick Reads: Using Technology to Build a Pen for Browser,"trena_wilkerson@baylor.edu,  Baylor University, Waco, Texas.  Readers are encouraged to  submit manuscripts through  http://mtms.msubmit.net. ",4,Quick Reads: Using Technology to Build a Pen for Browser
5,Quick Reads: Using Technology to Build a Pen for Browser,Our experiences have shown ,5,Quick Reads: Using Technology to Build a Pen for Browser
6,Quick Reads: Using Technology to Build a Pen for Browser,Fig. 1 A problem that asks students to calculate dimensions for a dog’s pen has a twofold purpose: It promotes both real-life  problem solving and the use of technology. ,6,Quick Reads: Using Technology to Build a Pen for Browser
7,Quick Reads: Using Technology to Build a Pen for Browser,"Your dog, Browser, needs a pen to run and play in. You purchase 200 feet of fence, which you will use to build a  rectangular pen. Because there is already a long fence at the back of the yard, you need to fence in only three sides.",7,Quick Reads: Using Technology to Build a Pen for Browser
8,Quick Reads: Using Technology to Build a Pen for Browser,•  Explore possible dimensions for Browser’s pen by drawing pictures to represent your thinking.,8,Quick Reads: Using Technology to Build a Pen for Browser
9,Quick Reads: Using Technology to Build a Pen for Browser,•  What can be the minimum width for the pen? What will this do to the length? •  What can be the maximum width for the pen? What will this do to the length? •  Use your calculator to develop two lists that show all possible whole-number widths and lengths. •  What do you think the graph of the widths and lengths would look like? Use your calculator to explore the relationship between the two dimensions graphically.,9,Quick Reads: Using Technology to Build a Pen for Browser
10,Quick Reads: Using Technology to Build a Pen for Browser,•  What does our graph tell us about our original sketches of Browser’s pen? •  What might be the largest area for Brower’s pen? Use your calculator to find all possible areas for Browser’s pen.,10,Quick Reads: Using Technology to Build a Pen for Browser
11,Quick Reads: Using Technology to Build a Pen for Browser,•  What happens to the area as the width and length continue to increase? Why do you think this is so? •  What do you think the graph of the area and width of Brower’s pen would look like? Use your calculator to explore  the relationship between the two dimensions graphically.,11,Quick Reads: Using Technology to Build a Pen for Browser
12,Quick Reads: Using Technology to Build a Pen for Browser,"•  Let’s investigate the possible areas more. What is happening to the area values? How does this relate to the graph of  the area and the width of the pen? •  If the width of the pen is considered x, what would the length and area of the pen be?",12,Quick Reads: Using Technology to Build a Pen for Browser
13,Quick Reads: Using Technology to Build a Pen for Browser,"Browser’s pen. Although wanting students to consider all possible dimensions for the enclosure, we decided to limit dimensions to positive integers so that students could focus more clearly on the relationship between the widths and lengths. The conversation then led to possible minimum and maximum dimensions for the pen, which helped us to consider both the domain and range of the function (see fig. 2). Students struggled somewhat when we began to discuss possible minimum widths for the pen and the longest run we might feasibly create for Browser.",13,Quick Reads: Using Technology to Build a Pen for Browser
14,Quick Reads: Using Technology to Build a Pen for Browser,"They were uncomfortable discovering that more than one right answer was possible. Rather than focus on arriving at a correct answer, classroom discourse helped students connect ideas about the domain and range of the function to their prior knowledge and experiences. Students argued about Browser’s size and how much room he would need to be comfortable in his pen. After approximately ten minutes of lively discussion, students agreed to disagree. ",14,Quick Reads: Using Technology to Build a Pen for Browser
15,Quick Reads: Using Technology to Build a Pen for Browser,As their work illustrates in  ,15,Quick Reads: Using Technology to Build a Pen for Browser
16,Quick Reads: Using Technology to Build a Pen for Browser,"Fig. 2 Minimum and maximum dimensions for the pen helped students consider both the domain and range of the function.  (a) (b) fi gure 2, classroom conversation helped students recognize the pattern that existed between the width and length of the pen; before exploring the relationship graphically, students ",16,Quick Reads: Using Technology to Build a Pen for Browser
17,Quick Reads: Using Technology to Build a Pen for Browser,Fig. 3 A class discussion about the algebraic relationship between the lengths and widths became clear with the calculator-driven listing of corresponding lengths.  (a) (b),17,Quick Reads: Using Technology to Build a Pen for Browser
18,Quick Reads: Using Technology to Build a Pen for Browser,"Fig. 4 The meaning of the intercepts and rate of change was promoted by way of the graphing calculator.  understood informally that they could subtract twice the width from 200 to obtain the length. As seen in their response to the third question (What can be the maximum width for the pen? What will this do to the length?), students still struggled with allowing the width of the pen to be larger than the length of the pen.",18,Quick Reads: Using Technology to Build a Pen for Browser
19,Quick Reads: Using Technology to Build a Pen for Browser,"Students also realized that there  was a need to organize and track their data. The Casio PRIZM allowed students to quickly generate a list of all possible widths from 0 to 100 feet. After a detailed class discussion that helped students recognize the algebraic relationship between the lengths and widths, l = 200 – 2w, which they had already discussed in building a table of values, they used their calculators to produce a list of all corresponding lengths (see fi g. 3). When analyzing the table, students quickly confi rmed that as the width of the pen increased, the length decreased. ",19,Quick Reads: Using Technology to Build a Pen for Browser
