__id__,__filename__,text,__id__,__filename__
0,Quick Reads: Using iPads to Explore Parabolas,quick reads a good idea in a small package,0,Quick Reads: Using iPads to Explore Parabolas
1,Quick Reads: Using iPads to Explore Parabolas,Using iPads to Explore Parabolas,1,Quick Reads: Using iPads to Explore Parabolas
2,Quick Reads: Using iPads to Explore Parabolas,Sharon G. Bixler,2,Quick Reads: Using iPads to Explore Parabolas
3,Quick Reads: Using iPads to Explore Parabolas,Do you want your students to graph parabolas with ease? Grasp vocabulary quickly? Parabolas come to life for students in this easily implemented activity that uses an iPad®. Teachers can use this tool in a fun and interactive way to not only address these graphing and ,3,Quick Reads: Using iPads to Explore Parabolas
4,Quick Reads: Using iPads to Explore Parabolas,"Edited by Trena Wilkerson, trena _wilkerson@baylor.edu, Baylor University, Waco, Texas. Readers are encouraged to submit manuscripts through http://mtms.msubmit.net.  vocabulary concepts but also introduce and explore parabolas and more in the algebra classroom. The Free Graphing Calculator ( Jockusch 2010) app can be downloaded and accessed to introduce graphs of quadratic equations and the relevant vocabulary, including axis of symmetry, roots, maxima, minima, and vertices. The app helps students visualize the terms and provides a strong conceptual background for future lessons. After the exploration, students can model their new knowledge by using the free app Skitch (Evernote Corp. 2012) to compare and contrast quadratic equation families and apply vocabulary that they learned during the calculator activity. Both of the free apps, the Free Graphing Calculator and Skitch, are available from the Apple App store. ",4,Quick Reads: Using iPads to Explore Parabolas
5,Quick Reads: Using iPads to Explore Parabolas,FAMILIES OF PARABOLAS,5,Quick Reads: Using iPads to Explore Parabolas
6,Quick Reads: Using iPads to Explore Parabolas,This activity is based on a graphing calculator investigation found in the Algebra 1 textbook by Glencoe Mathematics (Holliday et al. 2005). It has been adapted for the iPad and the two free apps.,6,Quick Reads: Using iPads to Explore Parabolas
7,Quick Reads: Using iPads to Explore Parabolas,"Students can use the Free Graphing Calculator app and graph up to four quadratic equations on one graph. Each equation’s graph is a unique color, enabling students to easily identify each. ",7,Quick Reads: Using iPads to Explore Parabolas
8,Quick Reads: Using iPads to Explore Parabolas,"In my classroom, we fi rst graphed  y = x2 and discussed the terms axis of symmetry, roots, vertex, maximum, and minimum. We then graphed the quadratic family— •  y = x2; •  y = 2x2; and •  y = 4x2 and analyzed how the changes in the lead coeffi cient affected the parabola (see fi g. 1). After viewing how increasing the coeffi cient of x2 made the parabola narrower, the key question that students addressed was how to make the parabola wider. Many students felt that making the lead coeffi cient a negative number would accomplish this task. However, after exploration, they found that a negative leading coeffi cient only turns a parabola “upside-down.” This discovery enabled ",8,Quick Reads: Using iPads to Explore Parabolas
9,Quick Reads: Using iPads to Explore Parabolas,Fig. 1 This set of parabolas helped students analyze how changes in the lead coefficient affected the parabola when the coefficient was a positive integer.,9,Quick Reads: Using iPads to Explore Parabolas
