__id__,__filename__,text,,
0,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"Why should we let science teachers have all the fun? Throughout our teaching careers, we have worked with science teachers, experiencing physics and chemistry data modeling activities as part of the science curriculum. We have observed students learning mathematical content in their science classes by collecting and analyzing real data to develop a conceptual understanding of various functional relationships. We have also worked with science teachers to bridge connections between physics and chemistry topics when working with the five families of functions: linear, quadratic, trigonometric, inverse, and exponential. As math teachers, one thing has become clear: Science teachers and students are having fun. What offends us is that they are having fun teaching mathematics content!",,
1,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"â€œMathematical modeling of the physical world should be the central theme of physics instructionâ€  (Hestenes 1987). Science teachers know this, but because of standardized state testing, many math teachers and some science teachers feel the need to focus on memorizing facts that will be on a multiple-choice test (Volante 2004). As a result, instead of tackling physical representations of mathematics in science and math classes, many students only experience modeling in their science classes, if at all. This is especially troubling for English language learners who may benefit from concrete experiences to understand a specific situation. A concrete experience, such as the ones we are proposing, will give all students an anchor with which to connect to more abstract symbolic representation (Garrison and Mora 1999).",,
2,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"In mathematics classrooms, helping students understand slope can be a daunting task. From simple rate problems to derivatives, the idea of the rate of change requires a depth of understanding well beyond â€œrise over run.â€ To better understand this overarching concept that permeates all secondary level mathematics, students need to be given opportunities to connect the abstract concept of slope with physical situations. Giving students a concrete situation with which to talk about an abstract concept can help them understand it at a different level (Ball 1988).",,
3,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,GIVING THE HISTORY  (AND THE CREDIT),,
4,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,This series of activities began as a weeklong science lesson workshop led by Larry Dukerich at Arizona State University (ASU). He used battery-powered vehicles (BPV) that moved at a constant speed from different starting points to motivate studentsâ€™ understanding of mathematics and physics. We attended the workshop and brought this lesson back to our classes. The feedback from students was amazing.,,
5,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"Because this feedback came from students in algebra 1 and AP Calculus AB classes, we found that this idea was appropriate in helping students at many different levels. The focus of this article will remain on implementing these activities in an algebra classroom. However, it is important to note that characteristics of these activities can be adapted to assist in developing studentsâ€™ understanding of instantaneous rate of change, as well.",,
6,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,EXPLANATION AND FACILITATION,,
7,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"We begin the lesson by showing students the battery-powered vehicles and asking them how they could determine the speed of the vehicle, with minimum human error. Students are guided toward the idea of taking data points and using a best-fit line to average out the potential error. After a procedure is established, volunteers from each group come up to the front of the class and practice on the â€œpace carâ€ (a glamorized teacher car) to help minimize confusion once they begin recording data on their own. In their groups, students use a stopwatch and masking tape to mark where the car is every two seconds. They then measure the distance from the starting line to each point and place these data in a table. Students are given a sheet to help organize their data and prompt their thinking (see the activity sheet). The accuracy of the measurements is very important, so at the conclusion of this series of lessons, students repeat this procedure at least once and average their data points to reduce error. At this point, they graph the distance-versus-time data and draw the line of best fit.",,
8,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"After comparing their data and analyzing the line of best fit, studentsâ€™ discussion of speed and what its corresponding units represent should help them develop an understanding that their carâ€™s speed is the slope of the best-fit line. This connection strengthens their conceptual understanding of rate of change. At this point, it is important to discuss the concept of the origin as a location versus a quantity. We establish the origin as the starting place, and students are instructed to start their car from a different position while keeping the starting line in the same place (see fig. 1).",,
9,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,,,
10,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"Each group is given a unique set of instructions (e.g., â€œStart 200 cm from the starting line and point your car toward the starting lineâ€; â€œStart 50 cm before the starting line and point your car away from the starting lineâ€; and so on). Because of varying batterypower, each group has a unique vehicle. After gathering data from the new starting point and finding the best-fit line, students prepare a whiteboard presentation of their results. After a brief summary from each group, students discuss the similarities and differences among their results.",,
11,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"During this time, the teacherâ€™s role is to facilitate discussion. Ideally, studentsâ€™ discussions will naturally flow through the differences in the instructions that each group was given. If this discussion does not naturally develop, ask such questions as these:",,
12,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,â€¢ Whose car was going away from the starting line and how could you tell?,,
13,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,â€¢ Who started before the starting line? Who started after?,,
14,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,â€¢ How can you determine the starting point by looking at the graph?,,
15,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,â€¢ Whose car went the fastest? The slowest? How do you know?,,
16,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"The rich conversation that develops should help students with their emerging understandings. In so doing, the students with varying language abilities will hear different explanations of slope and y-intercept in this specific context. This tangible experience can then be referenced when linear equations in slope-intercept form occur in different contexts later on. The situation will also challenge more advanced students by requiring them to articulate what they already understand.",,
17,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"To spur discussion and help elucidate student understandings, we also tend to ask specific questions based on the groupâ€™s graph. For example, about the graph in figure 2 we might ask, â€œYour line doesnâ€™t look as steep as mine. Why is that?â€ A follow-up question can then be, â€œHow would the graph change if your car were slower?â€",,
18,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,,,
19,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"For the graph in figure 3, we might ask, â€œThose lines look parallel. What does that say about the carsâ€™ speeds?â€ and â€œIf they were parallel, when would the pace car pass your car?â€",,
20,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,,,
21,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"The preceding activity and discussion are used to prepare students for the culminating challenge: to determine where they need to place their car to tie the pace car in a 5 meter race (see fig. 1). At this point, students have the data for both their car and the pace car, so they simply need to combine what they understand about the speed in relation to the slope and the starting point in relation to the y-intercept to determine what their groupâ€™s unique starting point must be. This is easier said than done. However, with time and guidance, all groups are successful.",,
22,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"Then, it is time for the big race. Usually at least one car â€œwinsâ€ the race, with two or three others close in tow, followed by that one group that played around too much and killed the battery. However, everyone is given a second chance, so that they can learn from their mistakes and be successful. On the second race, almost everyone ties the pace car. If students need prompting to help determine where to place their cars, the following questions may be effective to help spur their thinking:",,
23,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,â€¢ How long will it take your car to travel 5 meters?,,
24,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,â€¢ Should your car be placed ahead or behind the pace car?,,
25,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,â€¢ How long will it take the pace car to travel 5 meters? How many meters can your car travel in that amount of time?,,
26,Racing toward Algebra and Slope - National Council of Teachers of Mathematics,"To conclude, each group member enters his or her work in a portfolio and responds to pointed questions about the meaning of the point on the graph where the cars intersect and how they decided where to place their car. This presents a nice segue into systems of linear equations.",,
