__id__,__filename__,text,__id__,__filename__
0,Refining Concepts: Half Isnt Always Less,Two middle school students produce compelling arguments for conflicting results to a multiplication problem involving fractions and negative numbers. ,0,Refining Concepts: Half Isnt Always Less
1,Refining Concepts: Half Isnt Always Less,REFINING CONCEPTS: ,1,Refining Concepts: Half Isnt Always Less
2,Refining Concepts: Half Isnt Always Less,"Cynthia J. Carter, with Ellen Prince and Zachary Schwartz iI want my students to see any new  mathematics—fractions, negative numbers, algebra—as logical extensions of what they already know. This article describes two students’ efforts to make sense of their conflicting interpretations of 1/2 × –6, both of which were compelling and logical to them. It describes how discussion, constructing and critiquing viable arguments, supported by choosing and using an appropriate mathematical tool (CCSSI 2010) helped them refine their understanding. It also describes a mental image that can inspire or interfere with reasoning and is neither misconception nor lack of knowledge.",2,Refining Concepts: Half Isnt Always Less
3,Refining Concepts: Half Isnt Always Less,"During the students’ discussion, I mostly just listened. What made that stance effective was the logic and intuition about operations involving negative numbers that I had helped my students build over the preceding weeks. They had learned facts, of course, but also language and models for reasoning about the material. To help students build on their own thinking, my job was to listen and to work to understand both their thinking and what interferes with it. ",3,Refining Concepts: Half Isnt Always Less
4,Refining Concepts: Half Isnt Always Less,HALF ISN’T ALWAYS LESS,4,Refining Concepts: Half Isnt Always Less
5,Refining Concepts: Half Isnt Always Less,"My advanced sixth-grade class  had just begun multiplication of polynomials. While taking on new challenges, students sometimes need to rework old ideas. Ellen and Zak raised questions about 1/2 of –6. The discussion solidified prealgebra skills; differentiated two notions of “greater” (magnitude and value); and built logic, not just the rules, behind algebraic operations.",5,Refining Concepts: Half Isnt Always Less
6,Refining Concepts: Half Isnt Always Less,PREALGEBRA,6,Refining Concepts: Half Isnt Always Less
7,Refining Concepts: Half Isnt Always Less,"In addition to the logic of the fundamental properties of arithmetic, my class approached negative numbers using three models—black and red chips (Mark et al. 2014), the number line (Goldenberg et al. 2015), and receiving and returning bills and checks (Davis 1964). From some students, I heard comments like “Ms. C., can’t I just use the numbers?” If students can use whatever algorithm they have learned reliably, and the only goal at the moment is getting a correct result, then, sure. However, when the goal is to extend their understanding of arithmetic into a new numerical domain, or into algebra, then the “rules” need to  be examined, and models need to be built. Moreover, most of these advanced students were at least shaky and many had entered my class with mechanical “rules” that let them insist such things as –5 plus –2 is 7 because “two negatives make a positive.” Rules fail for students if they are so misunderstood that they are garbled or misapplied, hence, my push for logic and understanding. I generally introduce more than one model for three reasons:  1.  Different models reach different  students.  2.  Multiple models allow students to distinguish the mathematical essence from the particularities  of the models.",7,Refining Concepts: Half Isnt Always Less
8,Refining Concepts: Half Isnt Always Less,"3.  Tools’ appropriateness varies  with the mathematical circumstances. For example, chips are a useful manipulative when working with addition and subtraction of integers, but awkward for (cid:31)(cid:31) −3 ⎝⎜ ⎠⎟ × −4 ⎝⎜ ⎠⎟ .",8,Refining Concepts: Half Isnt Always Less
9,Refining Concepts: Half Isnt Always Less,Fig. 1 3/4 + 1/2 = 1 1/4,9,Refining Concepts: Half Isnt Always Less
