__id__,__filename__,text,__id__,__filename__
0,Repeating Decimals: An Alternative Teaching Approach,hHow can we help middle school  students make better sense of decimals and fractions? We struggled with this question as Casie Redman (an eighthgrade math teacher) and I worked on a 90-minute lesson that focused on representing repeating decimals as fractions. Her students did not ,0,Repeating Decimals: An Alternative Teaching Approach
1,Repeating Decimals: An Alternative Teaching Approach,Viewing repeating decimals as fractions can build on students’ number sense and promote intuitive and conceptual understanding.,1,Repeating Decimals: An Alternative Teaching Approach
2,Repeating Decimals: An Alternative Teaching Approach,"connect with the standard algorithm provided in her textbook (see fig. 1). The main problem was that Redman’s eighth graders had just started learning algebra, and so gaining an understanding of the algorithm while armed with only a basic introduction to algebra was simply too difficult for them. Students  were unable to recall the algorithm or even use it correctly. They knew that they were supposed to subtract the “repeating part” but were unsure about the process. Thus, Redman sought an alternative to the standard algebraic algorithm, offering more engaging classroom opportunities.  repeating repeating repeating decimals: repeating repeating an alternative teaching approach",2,Repeating Decimals: An Alternative Teaching Approach
3,Repeating Decimals: An Alternative Teaching Approach,Aina K. Appova,3,Repeating Decimals: An Alternative Teaching Approach
4,Repeating Decimals: An Alternative Teaching Approach,Fig. 1 This is the algorithm for converting repeating decimals to fractions.,4,Repeating Decimals: An Alternative Teaching Approach
5,Repeating Decimals: An Alternative Teaching Approach,"We embedded experimentations and explorations using technology and calculators to help promote students’ intuitive and conceptual understanding while building on their predictions, estimations, and rational number sense. To help address the diverse learning needs as well as the behavioral issues that Redman observed with these students during instruction, we sought to target the process of small-group problem solving via problem posing, borrowed from The Art of Problem Posing (Brown and  Walter 2005). This process refers to the critical shift for including students as contributors not only in the problem-solving process but  also in the process of analyzing and formulating their own mathematical problems and inquiries.",5,Repeating Decimals: An Alternative Teaching Approach
6,Repeating Decimals: An Alternative Teaching Approach,"Moreover, Redman’s students  represented a unique population of learners from a high-need, inner-city school, with 100 percent of students in poverty, receiving free lunch and breakfast at school. Nearly half of Redman’s students, including her  inclusion class, were English language learners (ESL/",6,Repeating Decimals: An Alternative Teaching Approach
7,Repeating Decimals: An Alternative Teaching Approach,"ELL), with a high percentage of first  generation American students. ",7,Repeating Decimals: An Alternative Teaching Approach
8,Repeating Decimals: An Alternative Teaching Approach,"Consequently, in developing  these activities we faced the additional challenge  ematical progress while attending to their diverse learning needs within the limitations of language, access, and poverty. ",8,Repeating Decimals: An Alternative Teaching Approach
9,Repeating Decimals: An Alternative Teaching Approach,INITIAL SET UP,9,Repeating Decimals: An Alternative Teaching Approach
10,Repeating Decimals: An Alternative Teaching Approach,"These activities explored the Common Core’s eighth-grade number system standard: “Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventually into a rational number” (CCSSI 2010, p. 54; 8.NS.A1). Many of Redman’s students had very little experience working with repeating decimals in their home countries; therefore, before teaching this standard, she spent one 90-minute lesson going over terminating and repeating decimals, equivalent fractions, and operations on decimals and fractions. Furthermore, her students could not afford calculators and instead used an online calculator for their homework, which they often completed at school or in the library. ",10,Repeating Decimals: An Alternative Teaching Approach
11,Repeating Decimals: An Alternative Teaching Approach,"The lesson on repeating decimals and fractions began with a question that Redman posed to the class, “How can we write this decimal [writes on the board] as a fraction: 0.2 0.222222...",11,Repeating Decimals: An Alternative Teaching Approach
12,Repeating Decimals: An Alternative Teaching Approach,0.2 0.222222...,12,Repeating Decimals: An Alternative Teaching Approach
13,Repeating Decimals: An Alternative Teaching Approach,"0.2 0.2 exactly, not approxi-",13,Repeating Decimals: An Alternative Teaching Approach
14,Repeating Decimals: An Alternative Teaching Approach,"I need you to find a fraction that will represent mately.” Students began working in small groups, discussing different 222 222 ; 0.222 ; 0.222 ideas and checking their predictions 1000 1000 on basic four-function calculators. = 0.222222...",14,Repeating Decimals: An Alternative Teaching Approach
15,Repeating Decimals: An Alternative Teaching Approach,"Redman circulated around the room 0.2 0.2 and took notes on students’ work. She quickly noticed that most groups had 0.2 0.1; 0.2; 0.4; 0.5; 0.7; 0.8; 0.9 0.1; 0.2; 0.4; 0.5; 0.7; 0.8; 0.9 written down 22 22 0.2 ; 0.22 0.2 ; 0.22 10 100 10 100 0.2 222 1000 however, they were somewhat “stuck” 0.2 of creating effective ways to teach and address students’ math- ; 0.22 0.9 0.9 10 22 100 ; 0.222 0.9 0.9 0.2 0.1; 0.2; 0.4; 0.5; 0.7; 0.8; 0.9 0.3 0.3 and were unsure how to proceed. Redman brought the class together to help guide students’ thinking: ",15,Repeating Decimals: An Alternative Teaching Approach
16,Repeating Decimals: An Alternative Teaching Approach,Fig. 2 This online calculator output shows 0.9  as a fraction.,16,Repeating Decimals: An Alternative Teaching Approach
17,Repeating Decimals: An Alternative Teaching Approach,0.34 0.2 ; 0.22 22 100 ; 0.222 222 1000 0.1; 0.2; 0.4; 0.5; 0.7; 0.8; 0.9 0.222222...,17,Repeating Decimals: An Alternative Teaching Approach
18,Repeating Decimals: An Alternative Teaching Approach,"Redman: A lot of you are writing  0.2 = 2/10; 0.22 = 22/100, and 0.222 = 222/1000. So you know that [writes on the board]  is approximately but not exactly 2/10. Do you think it’s less or greater = than 2/10?",18,Repeating Decimals: An Alternative Teaching Approach
19,Repeating Decimals: An Alternative Teaching Approach,"Seema: Greater. Because 22/100 is  10 0.2 0.2 greater than 20/100. So, it’s greater than 2/10.  0.2",19,Repeating Decimals: An Alternative Teaching Approach
20,Repeating Decimals: An Alternative Teaching Approach,Elim: I think it’s 2/11.,20,Repeating Decimals: An Alternative Teaching Approach
21,Repeating Decimals: An Alternative Teaching Approach,Redman: Is 2/11 greater than 2/10?,21,Repeating Decimals: An Alternative Teaching Approach
22,Repeating Decimals: An Alternative Teaching Approach,"Elim: [Pause]. No, it’s less. Sorry, the denominator threw me off 0.9 [referring to the misconception about larger numbers in the denominator].  0.9",22,Repeating Decimals: An Alternative Teaching Approach
23,Repeating Decimals: An Alternative Teaching Approach,"Rowan: I think it’s 2/9 because  0.3 2/8 = 1/4 = 0.25; that’s too big! So it’s greater than 2/10 but less than 2/8. So, I think it’s 2/9.  0.6",23,Repeating Decimals: An Alternative Teaching Approach
24,Repeating Decimals: An Alternative Teaching Approach,"Seema: Yes, 2/9 works, I checked  on the calculator, but I think we should check the online calculator to see the numbers after the decimal point [referring to the length of the period].  0.6.",24,Repeating Decimals: An Alternative Teaching Approach
25,Repeating Decimals: An Alternative Teaching Approach,0.3 0.9 0.9?,25,Repeating Decimals: An Alternative Teaching Approach
26,Repeating Decimals: An Alternative Teaching Approach,"This was a great example of students making mathematical connections between decimals and fractions, in particular, reasoning quantitatively in using fraction benchmarks to 0.3 conclude that the answer is between 2/10 < a/b < 2/8 (Standard for Mathematical Practice [SMP] 2). 0.6",26,Repeating Decimals: An Alternative Teaching Approach
27,Repeating Decimals: An Alternative Teaching Approach,"Furthermore, Seema’s comment demonstrated that the students were 0.6 0.3 aware of the limitations of their calculators in not being able to see the length of the period and the need to resort to more robust computational tools (SMP 5).",27,Repeating Decimals: An Alternative Teaching Approach
28,Repeating Decimals: An Alternative Teaching Approach,0.9,28,Repeating Decimals: An Alternative Teaching Approach
29,Repeating Decimals: An Alternative Teaching Approach,A FRUITFUL OBSERVATION,29,Repeating Decimals: An Alternative Teaching Approach
30,Repeating Decimals: An Alternative Teaching Approach,Redman continued the lesson by asking students to use their observations  0.222222...,30,Repeating Decimals: An Alternative Teaching Approach
