__id__,__filename__,text,__id__,__filename__
0,Responding to Students Work on a Rich Task,Responding to on a Rich Task students’ Work e a process of knowledge construction ,0,Responding to Students Work on a Rich Task
1,Responding to Students Work on a Rich Task,"Students engage in a fractions task  involving 2/3 men and 3/5 women,                                    and teachers anal yze their thinking. ",1,Responding to Students Work on a Rich Task
2,Responding to Students Work on a Rich Task,Emily G. Kuper and Patrick M. Kimani,2,Responding to Students Work on a Rich Task
3,Responding to Students Work on a Rich Task,"Education experts argue that using rich mathematical tasks in studentcentered classrooms is especially conducive to student learning (NCTM 2000). That said, they also acknowledge that using complex tasks and developing student-centered classrooms can be intimidating and challenging for teachers (Chazan and Ball 1999). One difficulty associated with using complex tasks is ensuring that high levels of cognitive demand are maintained throughout the lesson while engaging every learner. Researchers Darling-Hammond and Snyder (2000) enlarged on this difficulty when writing that the that is different for each one. (p. 523)",3,Responding to Students Work on a Rich Task
4,Responding to Students Work on a Rich Task,"However, if these difficulties are bridged, teachers’ critical reflection of their students’ thinking and their own actions can potentially allow them to tailor instruction that will help students make sense of mathematics.",4,Responding to Students Work on a Rich Task
5,Responding to Students Work on a Rich Task,"Professional growth of teachers is greatly affected by their reflection on learning and teaching, individually or collaboratively (NCTM 2000; Schön 1983). Such reflection includes “examining, framing, and attempting to solve the dilemmas of classroom practice; and being aware of and questioning the assumptions and values he or she brings to teaching” (Chapman 2009,  p. 121). Other reflection areas can include the interactive process of working with students, analyzing their work, and using these data to form a helpful response (NCTM 2000). For  process of teaching for understanding and application rather than for rote recall creates greater unpredictability in teaching as teachers must be able to understand and capitalize upon student thinking in order to manage ",5,Responding to Students Work on a Rich Task
6,Responding to Students Work on a Rich Task,Responding to students’ Work on a Rich Task,6,Responding to Students Work on a Rich Task
7,Responding to Students Work on a Rich Task,"Students engage in a fractions task  involving 2/3 men and 3/5 women,                                    and teachers anal yze their thinking. ",7,Responding to Students Work on a Rich Task
8,Responding to Students Work on a Rich Task,"Emily G. Kuper and Patrick M. Kimani several semesters, we have engaged in a structured reflection of our teaching and of our students’ learning in a content course for preservice teachers taught via cooperative problem solving.",8,Responding to Students Work on a Rich Task
9,Responding to Students Work on a Rich Task,Teaching via problem solving has been shown to be an effective way of engaging students in learning with understanding. This participatory pedagogy allows the teacher to enable rich mathematical discussions that originate from working on challenging problems whose solutions provide a launching pad for deeper explorations. Learning and teaching via problem solving differ from the traditional teacher-led approaches in the areas of the teacher’s and the students’ roles (see table 1). ,9,Responding to Students Work on a Rich Task
