__id__,__filename__,text,,
0,Rethinking Factors - National Council of Teachers of Mathematics,"How do you think your students would define the term factor? Many learn that a factor of a number is an integer that can be multiplied by  another integer to get the number (e.g., 4 is a factor of 20 because  4  5 = 20). Another view is that  a factor of a number is an integer  that divides evenly into the number  (e.g., 4 is a factor of 20 since  20  4 = 5 with no remainder). Unfortunately, these definitions limit students understanding of factors and ability to solve more challenging problems, such as this example:  Is 25 32 7  11 divisible by 63?",,
1,Rethinking Factors - National Council of Teachers of Mathematics,"This article describes an exciting exploration-based activity in which students develop an alternative definition of factor that can help them solve problems like the one presented above. Students work in groups to collect data, analyze the data to make conjectures, and then spend a significant amount of time debating and justifying their conjectures. Although designed for prospective teachers (Teppo 2002), the activity can be modified for middle school classrooms. Details are given about how to implement the activity in a middle school classroom as well as what we learned from past enactments with prospective elementary teachers. It concludes with a discussion of the activitys potential to impact students related work with greatest common factors (GCF) and least common multiples (LCM).",,
2,Rethinking Factors - National Council of Teachers of Mathematics,Why Are Factors Important?,,
3,Rethinking Factors - National Council of Teachers of Mathematics,"Factors are part of a larger field of study called number theory, which includes topics such as prime numbers, composite numbers, divisibility, prime factorization, greatest common factors, and least common multiples. According to the Common Core State Standards for Mathematics (CCSSM), students should be learning number theory topics from kindergarten through high school (CCSSI 2010). In fourth grade, for example, students find factor pairs of whole numbers less than 100 and recognize that a whole number is a multiple of each of its factors. In sixth grade, they compute the GCF and LCM of two whole numbers. In high school, they factor quadratic and other polynomial expressions.",,
4,Rethinking Factors - National Council of Teachers of Mathematics,"Factors and factoring concepts support a wide range of mathematical topics across grade levels. They help students identify the relationship between a factor and its multiples and make sense of important properties such as the distributive, associative, and commutative properties. Factors also support students ability to find least common denominators when adding and subtracting fractions. They also play a special role in helping students understand why a fractions decimal representation terminates or repeats. In the secondary grades, students can use factors to simplify algebraic expressions. For example, factoring polynomial and rational expressions allows students to identify relationships between their factors and zeros; they can then use this information to identify intercepts, extreme values, end behaviors, and asymptotes when graphing them on a coordinate plane (CCSSI 2010).",,
5,Rethinking Factors - National Council of Teachers of Mathematics,"Another important concept closely tied to factors and factoring is prime factorization. Typically, students learn to find the prime factorization of a number in the middle grades. This important concept is expressed by the fundamental theorem of arithmetic, which states that each positive integer greater than 1 can be factored into a unique product of prime factors  (i.e., its prime factorization). For  example, the number 72 can be decomposed into several different factorizations (e.g., 2  3  12;  8  9), but assuming that order does not matter, it can be written in only one way using only prime factors(i.e., 23 32).",,
6,Rethinking Factors - National Council of Teachers of Mathematics,"Although there is little research on middle school students understanding of number theory topics, research with prospective elementary teachers suggests that working with prime factorization can support a deeper understanding of divisibility, a greater ability to solve and make sense of GCF and LCM problems, and a more meaningful conceptual understanding of algebra concepts (Brown, Thomas, and Tolias 2002; Zazkis and Campbell 1996). The little research that does exist on middle school students understanding of number theory topics supports these findings (Zazkis and Gadowsky 2001).",,
7,Rethinking Factors - National Council of Teachers of Mathematics,"Despite its importance, students struggle to use prime factorization even when they know how to find it. For example, when they are asked if m = 33 52  7 is divisible by 7, many students compute the value of m first and then divide it by 7 using long division; they do not recognize that 7 must be a factor of m because it is part of ms prime factorization (Zazkis and Gadowsky 2001). Two explanations for these difficulties are that students (1) usually think of a factor as one of two integers multiplied together and (2) are not accustomed to working with prime-factored representations of natural numbers. By giving students more opportunities to explore numbers in prime-factored form, they can improve their ability to work with prime factorization (Zazkis and Gadowsky 2001).",,
8,Rethinking Factors - National Council of Teachers of Mathematics,Describing the Activity,,
9,Rethinking Factors - National Council of Teachers of Mathematics,"The primary goal of this activity is to help students change the way they think about factors by helping them understand that a factor of a number can be viewed as the product of any combination of the numbers prime factors. Depending on students prior knowledge of factors and prime factors, this activity can last several (25) class periods. It is suggested that lessons leading up to this activity teach students how to find factor pairs of a number, define prime and composite numbers, and construct factor trees to find the prime factorizations of positive integers. The activity has two main parts: making conjectures and justifying conjectures.",,
10,Rethinking Factors - National Council of Teachers of Mathematics,Part 1: Making Conjectures,,
