__id__,__filename__,text,__id__,__filename__
0,Revisit Pattern Blocks to Develop Rational Number Sense,"Copyright © 2014 The National Council of Teachers of Mathematics, Inc. www.nctm.org. All rights reserved. This material may not be copied or distributed electronically or in any other format without written permission from NCTM.",0,Revisit Pattern Blocks to Develop Rational Number Sense
1,Revisit Pattern Blocks to Develop Rational Number Sense,Pattern,1,Revisit Pattern Blocks to Develop Rational Number Sense
2,Revisit Pattern Blocks to Develop Rational Number Sense,RevisitBlocks to Develop Rational Number Sense,2,Revisit Pattern Blocks to Develop Rational Number Sense
3,Revisit Pattern Blocks to Develop Rational Number Sense,"A classic manipulative, used since the 1960s, continues to offer opportunities for intriguing problem solving involving proportions.",3,Revisit Pattern Blocks to Develop Rational Number Sense
4,Revisit Pattern Blocks to Develop Rational Number Sense,"Joe champion  and   ann wheeler pPattern blocks are inexpensive  wooden, foam, or plastic manipulatives developed in the 1960s to help students build an understanding of shapes, proportions, equivalence, and fractions (EDC 1968). The colorful collection of basic shapes in classic pattern block kits affords opportunities for amazing puzzle-like problem-solving tasks and for exploring underlying mathematical relationships. These visuals can help build  students’ conceptual and procedural understandings of rational numbers (Reimer and Moyer-Packenham 2005). To illustrate the accessibility and challenges of problem solving with pattern blocks at the middle school level, we present increasingly challenging problems. They progress from constructing shapes with given proportions to creating arrangements with given percentage, fractional, and decimal quantities to building seven  completely simplified representations of any given rational number. ",4,Revisit Pattern Blocks to Develop Rational Number Sense
5,Revisit Pattern Blocks to Develop Rational Number Sense,Pattern Blocks 101,5,Revisit Pattern Blocks to Develop Rational Number Sense
6,Revisit Pattern Blocks to Develop Rational Number Sense,"The six standard pattern blocks include a yellow hexagon, a red trapezoid, a blue rhombus, a green triangle, a tan rhombus, and an orange square (see fig. 1). With the exception of one of the trapezoidal bases, all the sides of the shapes are the same length (typically 1 inch). Moreover, the areas  36 24",6,Revisit Pattern Blocks to Develop Rational Number Sense
7,Revisit Pattern Blocks to Develop Rational Number Sense,Tan  blue    red triangle,7,Revisit Pattern Blocks to Develop Rational Number Sense
8,Revisit Pattern Blocks to Develop Rational Number Sense,Fig. 1 These six basic pattern block shapes begin the mathematical conversation.,8,Revisit Pattern Blocks to Develop Rational Number Sense
9,Revisit Pattern Blocks to Develop Rational Number Sense,"of the hexagon, trapezoid, blue rhombus, and triangle are related through their area proportions as: hexagon : trapezoid : rhombus : triangle  = 1 : 1/2 : 1/3 : 1/6",9,Revisit Pattern Blocks to Develop Rational Number Sense
10,Revisit Pattern Blocks to Develop Rational Number Sense,The areas of the tan rhombus and orange square are in irrational proportion to the other four shapes and will be mostly omitted from our problemsolving tasks (see Ellington and Whitenack 2010 for the exact areas of the six shapes). ,10,Revisit Pattern Blocks to Develop Rational Number Sense
11,Revisit Pattern Blocks to Develop Rational Number Sense,"A useful way to connect pattern blocks to rational numbers is to pick any nonzero rational value to represent the area of one shape (Lanius 1997). Once such a reference value has been set, the value of any other collection of pattern blocks can be determined by the proportional relationships among their respective areas. Readers are invited to explore this question: rhombus rhombus hexagon rhombus trapezoid   trapezoid",11,Revisit Pattern Blocks to Develop Rational Number Sense
12,Revisit Pattern Blocks to Develop Rational Number Sense,Yellow hexagon 12    Green      triangle orange 1 square table 1 Proportional values of pattern block shapes are shown in tabular form.,12,Revisit Pattern Blocks to Develop Rational Number Sense
13,Revisit Pattern Blocks to Develop Rational Number Sense,"lesson to the idea of sharing, students 3 quickly understood how giving each of six children 1 pattern block shape 6 would not be fair. Her inventive 6 strategy related a real-world concept 2 that students could easily understand 2 to help solve the problem. If your 1 classes also struggle with learning the 3 proportions among the shapes, you 2 might want to create your own funky = cookie creation.",13,Revisit Pattern Blocks to Develop Rational Number Sense
