__id__,__filename__,text,,
0,Revisiting Mr. Tall and Mr. Short - National Council of Teachers of Mathematics,"Ratio, rate, and proportion are central ideas in the Common Core State Standards (CCSS) for middle-grades mathematics (CCSSI 2010). These ideas closely connect to themes in earlier grades (pattern building, multiplicative reasoning, rational number concepts) and are the foundation for understanding linear functions as well as many high school mathematics and science topics. Students develop proportional reasoning slowly, and they need many experiences in diverse contexts to build their conceptual understanding (Lamon 1995). As students journey toward mature proportional reasoning, teachers can gain insight into their thinking by carefully analyzing their solution strategies on a single problem.",,
1,Revisiting Mr. Tall and Mr. Short - National Council of Teachers of Mathematics,"Robert Karplus and his colleagues began using the Mr. Tall and Mr. Short problem (see fig. 1) in this way in the late 1960s. Karplus, Karplus, and Wollman (1974), influenced by Piaget, aimed to chart the development of abstract reasoning in young students. The Mr. Tall and Mr. Short task, unlike the original Piagetian tasks, did not require an understanding of physical principles and so was accessible to younger children.",,
2,Revisiting Mr. Tall and Mr. Short - National Council of Teachers of Mathematics,,,
3,Revisiting Mr. Tall and Mr. Short - National Council of Teachers of Mathematics,,,
4,Revisiting Mr. Tall and Mr. Short - National Council of Teachers of Mathematics,"Beyond its use in formal research, this problem is a classroom challenge explored in the 2002 NCTM Yearbook, Making Sense of Fractions, Ratios, and Proportions (Khoury 2002). Teachers using this challenge are encouraged to assess their students at one of four broad levels of proportional thinking. In this spirit, and as part of a larger project to examine proportional reasoning, we gave the Mr. Tall and Mr. Short problem to over 400 middle school students in a small Midwestern town. Our aim in this article is to share the categories of solution strategies we found and to discuss what these strategies reveal about student thinking.",,
5,Revisiting Mr. Tall and Mr. Short - National Council of Teachers of Mathematics,"When teachers use the challenge with their students, our categorization may help them determine how best to nurture their students development. The classic Mr. Tall and Mr. Short problem, unfortunately, has features that blur some levels of understanding. We therefore offer variations of the problem, which give a teacher more information to better gauge a students reasoning.",,
6,Revisiting Mr. Tall and Mr. Short - National Council of Teachers of Mathematics,MULTIPLICATIVE RELATIONSHIPS,,
7,Revisiting Mr. Tall and Mr. Short - National Council of Teachers of Mathematics,"Inherent to a proportion are the multiplicative relationships between the numbers involved. To distinguish among these relationships, we use the concept of a measure space (Vergnaud 1983). Two quantities are considered to be in the same measure space when their units are the same (see fig. 2). In the Mr. Tall and Mr. Short problem, for example, there is a matchsticks measure space and a paperclips measure space. We call the multiplicative relationship of Mr. Talls height measured in matchsticks to Mr. Shorts height measured in matchsticks a within-measure-space ratio. The multiplicative relationship of Mr. Shorts height in paperclips to Mr. Shorts height in matchsticks is a between-measure-space ratio. When we refer to the number structure of a proportion, we mean both the within- and between-measure-space ratios.",,
8,Revisiting Mr. Tall and Mr. Short - National Council of Teachers of Mathematics,,,
9,Revisiting Mr. Tall and Mr. Short - National Council of Teachers of Mathematics,"In a proportion, the two within-measure-space ratios are equal and the two between-measure-space ratios are equal. That is, the matchstick-to-matchstick relationship is the same as the paperclip-to-paperclip relationship (A:a = B:b), and the matchstick-to-paperclip relationship for Mr. Short is the same as the matchstick-to-paperclip relationship for Mr. Tall (A:B = a:b). (See fig. 2.)",,
