__id__,__filename__,text,,
0,Riding the RAFT - National Council of Teachers of Mathematics,"Writing about mathematics holds a wealth of benefits for students. When students are given opportunities to write in math class, it helps develop mathematical thinking and language (Carter 2009; McCarthy 2008; Yang 2005), encourages self-reflection (Carter 2009; Danielson 2010; Oâ€™Kelley 2013), and provides a better way to organize ideas (Linhart 2014; Rogers 2014). Many teachersincorporate journaling and other types of reflective writing into their instruction already (Sjoberg, Slavit, and Coon 2004; Sanders 2009), but what about other forms of writing? NCTM states the importance of writing, in that students in the middle grades should be â€œmore explicit about basing their writing on a sense of audience and purposeâ€ (NCTM 2000, p. 62). How can we help students develop this important skill in math class?",,
1,Riding the RAFT - National Council of Teachers of Mathematics,"Looking for guidance in writing, I turned to the National Council of Teachers of English. I found an instructional strategy called RAFT (Simon 2012). RAFT, an acronym for Role of the Writer, Audience, Format, and Topic, allows students to practice using different voices and topics as they write. At first, I was not convinced that it would be useful in the math classroom, but I saw its incredible appeal in other subject areas. For example, imagine a student writing as though he or she were President Franklin Roosevelt, penning a letter to wife Eleanor, describing his thoughts about Executive Order 9906 and Japanese internment camps during World War Two. Another view of this writing assignment could be asking this same student to write a letter to President Roosevelt as though he or she were a Japanese prisoner. What an incredible way to assess student understanding of political conflicts during World War Two! In an English class, many possibilities exist in which students create writings from one character in a novel to another; the ideas are endless.",,
2,Riding the RAFT - National Council of Teachers of Mathematics,"But what about in math? After some careful thought, I began to come up with ideas. What if exponents were made to argue for their â€œlawsâ€ in front of a jury? How could linear inequalities convince algebra students that they are very nearly related to linear functions? I continued to think of ways that this writing could be incorporated in many levels of mathematics. A quadratic curve could write a pining love letter to its directrix, mourning the distance that would always remain between them. A set of data could issue a news bulletin about different ways it could be displayed. Negative integers could create an ownerâ€™s manual describing their operations. The list goes on (see table 1).",,
3,Riding the RAFT - National Council of Teachers of Mathematics,,,
4,Riding the RAFT - National Council of Teachers of Mathematics,"I gave careful thought to how I would use RAFT in my own classroom, although there are many ways to implement it. I felt it would be necessary to provide a sample writing before I expected my students to create one of their own, probably involving the topic previous to the one I hoped to assess with RAFT. Then, a few choices remained: Do students complete the task alone? Do they work in small groups? Is the same RAFT assigned to everyone, or are options provided to choose from?",,
5,Riding the RAFT - National Council of Teachers of Mathematics,"I decided that my students would complete the assignment in pairs to ease them into the writing experience. I did not provide an example to read, but discussed a couple of examples of past RAFTs that had been created. Since the topic of ratio and proportion was recently studied, I used that subject area to frame our RAFTs and then created three options for students to choose from (see table 2).",,
6,Riding the RAFT - National Council of Teachers of Mathematics,,,
7,Riding the RAFT - National Council of Teachers of Mathematics,"I purposefully chose different tones for the assignments, with one being a more serious kind of format than the others (the ownerâ€™s manual), one more accessible (a pen pal letter), and then a more creative one (the dating profile).",,
8,Riding the RAFT - National Council of Teachers of Mathematics,"After students paired off, each pair chose one RAFT to complete. Carter and Mark (all names are pseudonyms) particularly lamented their â€œlack of creativityâ€ and chose the ownerâ€™s manual assignment almost immediately. Candace and Uma were amused with the online dating profile and snapped that one up (see fig. 1).",,
9,Riding the RAFT - National Council of Teachers of Mathematics,,,
