__id__,__filename__,text,,
0,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,How would your middle school students solve this missing value problem:,,
1,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"If 4 pounds of potatoes cost $6.00, how much would 10 pounds of potatoes cost?",,
2,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"Would they be more likely to apply the cross-multiplication algorithm, as opposed to simpler multiplicative reasoning approaches? Although cross multiplication results in a correct answer, students using this method do not necessarily understand proportionality. Rather than the more commonly used missing-value problems, like the previous example, we suggest posing comparison problems to help students recognize the underlying multiplicative relationship that exists within a proportion.",,
3,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,Consider this comparison problem:,,
4,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,Which is a better price for potatoes: $1.29 for 10 pounds or $4.99 for 20 pounds?,,
5,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"Here, a factor-of-change strategy is intuitive (if the number of pounds doubles, then so should the price), and it emphasizes the multiplicative relationship between the two ratios. Moreover, cross multiplication is likely to be unsuccessful in determining the better price because students must interpret the relationship between the cross products. Figure 1 presents an example of cross multiplication when applied to compare ratios.",,
6,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"Many teachers would agree that once cross multiplication is introduced, their students tend to apply it by rote, abandoning all previously learned proportional reasoning strategies. Although cross multiplication is typically the most emphasized strategy in textbooks for solving missing-value proportion problems, many researchers believe that an overemphasis of this strategy is the root of students difficulties with proportional reasoning. One study even found that students who were taught the cross multiplication strategy were actually less successful when solving proportion problems than students who were never taught the algorithm (Fleener, Westbrook, and Rogers 1993). Additionally, repetitive application of cross multiplication without knowledge of other proportional reasoning strategies is not enough to be considered proportional reasoning (Cramer, Post, and Currier, 1993; Fleener, Westbrook, and Rogers 1993). Students should fully develop more intuitive strategies, such as factor of change or unit rate strategies, before being introduced to cross multiplication. These intuitive strategies help students better understand the multiplicative relationship between proportional ratios. However, many textbooks heavily emphasize cross multiplication and leave a gap where teachers must develop other ways to foster the creation and use of different proportional reasoning strategies.",,
7,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"It is beneficial for students to discover intuitive strategies, as opposed to the teacher presenting strategies to them. Certain proportional reasoning tasks are more likely to elicit intuitive strategies than other tasks. The strategies that students are apt to use when approaching a task, as well as the likelihood of a students success or failure solving it, are influenced by that tasks context and numerical structure (de la Cruz 2013). Thus, teachers can encourage the development of particular strategies by carefully selecting the tasks that students will complete. Furthermore, implementing the Five Practices (Smith et al. 2009) can assist teachers in structuring the whole-class sharing of student-generated strategies in an organized and purposeful way. Considering the effects that task characteristics can have on strategy choices, we designed the Better Buy Lesson, which we describe here.",,
8,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,THE FIVE PRACTICES MODEL,,
9,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"Smith and colleagues (2009) present a model to support and prepare teachers to incorporate students thinking into classroom discussion. Focusing on the Five Practices helps teachers by limiting the in-the-moment decisions that are sometimes frightening aspects of student-centered teaching. Moreover, it better prepares teachers to highlight the facets of students thinking that tie specifically to the instructional goal. The Five Practices include the following: (1) anticipating, (2) monitoring, (3) selecting, (4) sequencing, and (5) connecting. When planning the Better Buy Lesson, we chose challenging mathematical tasks while anticipating the strategies that students would use when solving. Next, we selected the strategies we aimed to share in the discussion portion of the lesson by considering our ultimate instructional goals. Then we predicted how we would sequence the shared strategies, with the understanding that this sequence may be adapted, depending on what we observed when monitoring the classwork. Finally, we planned how we would connect the shared strategies to each other and to our instructional goals.",,
10,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,THE BETTER BUY ACTIVITY,,
11,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"Students, working in pairs, were asked to determine the better deal when given two different prices and quantities for similar items found in competing grocery store ads. They were instructed to use any strategy that they could fully explain to the class. In total, there were four comparison tasks (see figs. 25). Before the lesson, we chose each task carefully, anticipating strategies we thought students would use and after analyzing each tasks numerical structure.",,
12,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,Choosing the Comparison Tasks and Anticipating Strategies,,
13,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"First, we predicted that students would have little success applying cross multiplication to compare the ratios, which is consistent with Singhs (2000) research. When the rates being compared are not proportionally related, interpreting the cross products is difficult (see fig. 1). It is clear from the unequal cross products that the ratios are not equivalent; however, it is not clear which one is the better buy. This meant that students would likely employ alternative strategies.",,
14,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
15,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"Second, we had two goals in mind when analyzing and selecting the four comparisons: To encourage flexible use of several proportional reasoning strategies and to emphasize the multiplicative nature of proportional ratios. Depending on the strategy, we chose particular numerical structures known to influence different problem-solving approaches (Tjoe and de la Torre 2013)",,
16,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"According to Lesh, Behr, and Post (1987), the presence of an integer factor of change between the ratios increases the likelihood that students would apply a factor of change strategy, also referred to in the literature as a building up through multiplication strategy (Steinthorsdottir and Sriraman 2009). The following comparison would likely encourage the use of a factor of change strategy: $15.00 for 4 pounds of dog food at store A versus $78.00 for 24 pounds at store B. At store A, we can determine the price for 24 pounds using a factor of change of 6:",,
17,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
18,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"The presence of an integer factor of change within one of the ratios (i.e., an integer unit rate), coupled with the absence of an integer factor of change between the ratios, encourages students to apply unit rate strategies. For instance, $15.00 for 5 pounds of dog food at store A versus $76.00 for 19 pounds would likely be solved using a unit rate strategy: At store A,",,
19,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
20,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"at store B,",,
21,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
22,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"Figures 25 present the four comparison tasks we created, highlight the numerical structure for each, and list the approaches that we anticipated students would use. When designing the activity, we aimed to have students perform these strategies: factor of change, unit rate, common denominator, and combination strategies. We looked for these specific strategies when we monitored the activity.",,
23,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
24,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
25,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
26,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
27,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,Monitoring Students Work,,
28,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"According to Smith et al. (2009), teachers should monitor their students thinking and strategies as they work to productively determine who should share and what should be shared in class discussion. Without careful monitoring and selecting, the discussion can turn into a show and tell of disconnected strategies and may not deepen students understandings. Figure 6 depicts the table we used to record our assessments throughout the monitoring process. It also indicates decisions that resulted when we anticipated students approaches while also considering our instructional goal. We included an additional row at the bottom of the table to capture any unforeseen strategies as well as note incorrect additive approaches.",,
29,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
30,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"Selecting, Sequencing, and Connecting Students Work",,
31,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"After monitoring the students work on the four comparison tasks and referencing our monitoring tool, specific groups were selected to share their strategies with the class. A pair who used long division to calculate the unit prices per pound of potatoes, in problem number 1, was asked to share first. Their work is depicted in figure 7a. Next, a pair was chosen to share their factor-of-change strategy (see fig. 7b).",,
32,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
33,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"This strategy was presented after the unit rate strategy to illustrate the simplicity of the computations involved, in contrast to the previous method. Thus, the first comparison task led to a discussion of student-generated unit rate and factor of change strategies and motivated students to consider when one strategy would be more easily applied than another. Additionally, the teacher seized the opportunity to point out that a multiplicative relationship between ratios, as shown in the factor of change strategy, always exists when ratios are proportional. Further, the class discussed how the unit rate strategy is similar to a factor of change strategy. Figure 8 illustrates how we find the unit price for potatoes at store A by multiplying the provided ratio by a factor of one-tenth, or divide by ten, to get a unit in the denominator.",,
34,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
35,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"If someone in our class had used an additive approach to compare these ratios, we would have addressed it by connecting to the context. For instance, if someone had explained that they added 10 pounds to get from 10 pounds to 20 pounds, so they also added $10.00 to the cost to get $11.29, we would have directed the class to notice that this would mean that the first 10 pounds cost $1.29, but the second 10 pounds cost $10.00. Since the cost for the same weight of potatoes should be the same, this additive strategy does not make sense.",,
36,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"Task 2 also involves potatoes; however, in this task one of the provided prices was given as a unit rate. The inclusion of a unit rate further encouraged the use of a unit rate strategy. This task was incorporated to ensure that a unit rate strategy would be shared. Unlike task 1, we determined the order in which the strategies would be presented while monitoring the classwork. To provide validation, we began with the most commonly used strategy. Again, the class discussed how both strategies, factor of change and unit rate, were related by looking at the multiplicative change involved in each.",,
37,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,"In task 3, students compared the prices for differing numbers of 12 packs of soft drinks, $9.00 for 4 at store A versus $22.50 for 10 at store B.This numerical structure is unique from the previous two tasks in that it involves equivalent ratios and the factor of change between ratios is not an integer. The aim of this task was to elicit a common denominator strategy (e.g., find the cost of 20 or 40 of the 12 packs at each store) and a combination strategy (e.g., find the cost of 10 of the 12 packs at each store, by finding the cost of 8 and 2 of the 12 packs at store A and combining). Figure 9 portrays the combination strategy that one group shared.",,
38,Saving Money Using Proportional Reasoning - National Council of Teachers of Mathematics,,,
