__id__,__filename__,text,__id__,__filename__
0,Saving Money from the Ground Up,cartoon corner,0,Saving Money from the Ground Up
1,Saving Money from the Ground Up,PICKLES by Brian Crane,1,Saving Money from the Ground Up
2,Saving Money from the Ground Up,Name ______________________________,2,Saving Money from the Ground Up
3,Saving Money from the Ground Up,T.,3,Saving Money from the Ground Up
4,Saving Money from the Ground Up,P.,4,Saving Money from the Ground Up
5,Saving Money from the Ground Up,SAVING MONEY FROM THE GROUND UP 1. a.  Explain how picking up 1 penny  per second turns out to be a rate of $36 per hour.,5,Saving Money from the Ground Up
6,Saving Money from the Ground Up,"3. Nathan is about half the height  of Grampa, so he can pick up the coins at a faster rate. How many coins do you think he could pick up in 1 hour? Explain.",6,Saving Money from the Ground Up
7,Saving Money from the Ground Up,"  b.  If Grampa picked up pennies  at that rate for an entire 8-hour day, how much money would he pick up? 2. Suppose Grampa had an unlimited  pile of coins of all types to pick from, and he picked up 1 coin per second. Explain how he could earn exactly $360 per hour.",7,Saving Money from the Ground Up
8,Saving Money from the Ground Up,"4. Penny, Nicole, and Dallas collect all the coins they fi nd in a single jar. At the end of the year, they donate the money equally among three charities. Last year, there were 57 coins in the jar, and each charity got $6.83. How many of each type of coin could have been in the jar? (Any combination of pennies through dollar coins can be used.) 5. A theme of this Cartoon Corner is that “little things matter.” Explain how each of the following “little things” in math really do matter.",8,Saving Money from the Ground Up
9,Saving Money from the Ground Up,  a.  The digit 0 in a numeral. (Does  it really mean “nothing”?)   b.  A decimal point. (It is so tiny; how could it possibly count for something?),9,Saving Money from the Ground Up
10,Saving Money from the Ground Up,"CHALLENGE 6. Freedom Tower in New York, the tallest building in North America, is 1,776 feet tall. Using just 20 pennies, a centimeter ruler, and a calculator, explain how you could estimate the value of a stack of pennies that equals the height of Freedom Tower.  from the September 2014 issue of",10,Saving Money from the Ground Up
11,Saving Money from the Ground Up,"Edited by David B. Spangler, McGraw-Hill Education, and Katie A. Hendrickson, Athens Middle School, Athens, Ohio. Classroom teachers interested in field-testing or submitting a cartoon should contact David B. Spangler, David.Spangler@mheducation.com.  The cartoons must include the date and the newspaper syndicate that holds the copyright.",11,Saving Money from the Ground Up
12,Saving Money from the Ground Up,"SOLUTIONS 1.  a.  Expect students to reason that 60 seconds are in 1 minute and that 60 minutes are in 1 hour, so there are 60 × 60 = 3600 sec. in 1 hour. Grampa could pick up 3600 pennies in 1 hour, which  is $36 per hour.",12,Saving Money from the Ground Up
13,Saving Money from the Ground Up,b.  Students will likely multiply   8 × $36 to obtain $288 per day. Some students might use 36 as an addend eight times and get the same answer.,13,Saving Money from the Ground Up
