__id__,__filename__,text,,
0,Seeing Dots - National Council of Teachers of Mathematics,Use a 6 Ã— 6 peg geoboard to investigate the following shapes and their areas.,,
1,Seeing Dots - National Council of Teachers of Mathematics,1. Build as many polygons as you can that have no interior pegs. Find the area of each polygon. What is the relationship between the number of boundary points and the area?,,
2,Seeing Dots - National Council of Teachers of Mathematics,2. How does the relationship between the number of boundary points and area change if you build polygons with 1 interior point?,,
3,Seeing Dots - National Council of Teachers of Mathematics,3. If you build polygons with 2 interior points?,,
4,Seeing Dots - National Council of Teachers of Mathematics,4. If you build polygons with 3 interior points?,,
5,Seeing Dots - National Council of Teachers of Mathematics,5. Can you find a general relationship between the area of a polygon on a geoboard that relates to both the number of boundary and interior points?,,
6,Seeing Dots - National Council of Teachers of Mathematics,"After reviewing the submissions and teacher reflections for this task, we found that the teachers presented this problem in different ways and that the students used a variety of solution strategies. Mary Fay-Zenk presented this task to her Math Club as it appeared in print and let the exploration begin. Other teachers used it in their regular classrooms.",,
7,Seeing Dots - National Council of Teachers of Mathematics,"Walter Stark, who believes that good problems naturally evoke discussions, said that this task sparked a discussion (and nice review) of regular and irregular polygons. After watching his students work, he noticed that they were having trouble identifying boundary and interior pegs, so he called the class together for some clarification. Jacob Wooton also found that his students needed the terminology clarified. Claire Hiller reported, as well, that she stopped her class when she felt â€œthey got hung up on the first statement: Build as many polygons as you can that have no interior pegs.â€ She then refocused their attention on the goal: Find a relationship between boundary points and area. These three teachers, who used this problem in the classroom, recognized the importance of keeping students focused on the task.",,
8,Seeing Dots - National Council of Teachers of Mathematics,"Wooton said he encouraged his students to use a table to organize their data, whereas Hiller reported that her students generally solved the problem by drawing diagrams, making charts or organized lists, and looking for patterns. Stark asked his students to share their findings with him and pretended to be confused when trying to remember the numbers that students were using. Finally, student Alexa said to him, â€œWe need to see the numbers all together. Why donâ€™t you write them in a chart on the board?â€ These three teachers addressed the importance of organizing data for ease of comparison, but they did so in different ways. Without being prompted, Fay-Zenkâ€™s Math Club students made tables and looked for ways to generalize their information.",,
9,Seeing Dots - National Council of Teachers of Mathematics,"Studentsâ€™ solutions attempts often began by using a geoboard or dot paper, but their methods then diverged. Many drew pictures to record polygons with differing boundary pegs and different interior pegs. These students tended to group their diagrams by the number of interior pegs noted in the problem: none, 1, 2, and 3. Paulina, a student in Wootonâ€™s class, used multiple examples to convince herself that she was seeing a pattern (see fig. 1). Her examples helped her see the pattern and develop a formula without using actual tables. She concluded, â€œWith every additional boundary point, the area increases by 0.5, and with every additional interior point, the area increases by 1.â€",,
