__id__,__filename__,text,__id__,__filename__
0,Self-Paced Mathematical Instruction,SELF-PACED,0,Self-Paced Mathematical Instruction
1,Self-Paced Mathematical Instruction,SELF,1,Self-Paced Mathematical Instruction
2,Self-Paced Mathematical Instruction,MATHEMATICAL,2,Self-Paced Mathematical Instruction
3,Self-Paced Mathematical Instruction,MATHEMATICAL,3,Self-Paced Mathematical Instruction
4,Self-Paced Mathematical Instruction,INSTRUCTION,4,Self-Paced Mathematical Instruction
5,Self-Paced Mathematical Instruction,Clayton M. Edwards,5,Self-Paced Mathematical Instruction
6,Self-Paced Mathematical Instruction,"This guide to an individually paced classroom, containing This guide to an individually paced classroom, containing suggested technology resource ideas, is meant to help  students of differing ability levels succeed.",6,Self-Paced Mathematical Instruction
7,Self-Paced Mathematical Instruction,"The idea of providing students with their own laptops for home and school use has become more and more pervasive in schools throughout the country. This resource availability, known as the 1:1 device movement, presents students and teachers with new instructional and learning opportunities. This new capability, however, is being given to teachers who might not have enough background to know how these devices can promote student learning. ",7,Self-Paced Mathematical Instruction
8,Self-Paced Mathematical Instruction,"Participation at various 1:1 conferences allows teachers the opportunity to interact with others and ask for help concerning implementation. Teachers’ comments and questions are often directed toward understanding how 1:1 can assist their students in the mathematical learning process,  not the technological logistics of a 1:1 classroom. Although logistics are important in the initial stages of implementation, the more important questions deal with how 1:1 can make current classrooms better for students. ",8,Self-Paced Mathematical Instruction
9,Self-Paced Mathematical Instruction,"The most important change that this self-paced initiative has provided is the difference in classroom culture. This article will discuss the general layout of a 1:1 classroom, including teacher and student roles; the unique benefi ts of self-pacing; and common teacher concerns, drawn from experiences with presentations and classroom showings. ",9,Self-Paced Mathematical Instruction
10,Self-Paced Mathematical Instruction,What is a selF-Paced classRooM?,10,Self-Paced Mathematical Instruction
11,Self-Paced Mathematical Instruction,"A self-paced classroom is a fl uid, mathematical experience for all levels  of students, where mathematical improvement over time is the main focus. Concepts, instruction, explorations, activities, assessments, and projects are all set up in advance (often for a full calendar year) in a common area on the Internet, usually at a teachercreated website, or by using a curriculum container. Students are assessed before a unit begins to explore specifi c content understanding. Units are then broken into sections, so that students can accelerate from one section of a unit to the pieces that remain. For example, in a sixth-grade unit dealing with integers (sites.google.com/ site/6thgradeintegerunit), some students may already be capable of showing their understanding of positive and negative integers, depicting where the integers are sequenced on a number ",11,Self-Paced Mathematical Instruction
12,Self-Paced Mathematical Instruction,How to Implement a Self-Paced Environment  •  Talk with students to make sure they have a good understand•  Talk with students to make sure they have a good understanding of the purpose and a solid set of goals.,12,Self-Paced Mathematical Instruction
13,Self-Paced Mathematical Instruction,•  Provide clear expectations to students; they need to know the •  Provide clear expectations to students; they need to know the  differences they will encounter from past teaching practices.,13,Self-Paced Mathematical Instruction
14,Self-Paced Mathematical Instruction,differences they will encounter from past teaching practices.,14,Self-Paced Mathematical Instruction
15,Self-Paced Mathematical Instruction,"•  Make sure the classroom is ﬂ exible; desks, tables, and chairs •  Make sure the classroom is ﬂ exible; desks, tables, and chairs  need to be moved into group work areas.",15,Self-Paced Mathematical Instruction
16,Self-Paced Mathematical Instruction,•  Choose a repository such as Google Sites™ for storing all  instructional materials.  •  Create or ﬁ nd a preassessment and postassessment that •  Create or ﬁ nd a preassessment and postassessment that  covers the standards at a high level.,16,Self-Paced Mathematical Instruction
17,Self-Paced Mathematical Instruction,"•  Set up individual lessons within the unit, mixing exploration •  Set up individual lessons within the unit, mixing exploration  and instruction, online resources, and tasks and projects.",17,Self-Paced Mathematical Instruction
18,Self-Paced Mathematical Instruction,"and instruction, online resources, and tasks and projects.",18,Self-Paced Mathematical Instruction
19,Self-Paced Mathematical Instruction,•  Use a pretest that contains questions that focus on a deeper understanding  of pertinent standards to see where each student should start a unit.,19,Self-Paced Mathematical Instruction
20,Self-Paced Mathematical Instruction,"•  Create a checklist of each student task so that progress can be tracked  during class.  •  Organize answers on an iPad® or other mobile device to allow for quick  retrieval while walking about the classroom.  •  Have students turn in any completed work at the end of the class period,  and give them feedback for the next day.",20,Self-Paced Mathematical Instruction
21,Self-Paced Mathematical Instruction,"•  Provide a follow-up activity so that when students ﬁ nish the current unit,  the next unit will be available.  line, and displaying the relationships among values using inequalities.",21,Self-Paced Mathematical Instruction
22,Self-Paced Mathematical Instruction,"If preassessment results show an  understanding of the content, students can omit this section of the integer unit and move to section 2, which introduces absolute value. If understanding on section 2 has been demonstrated, students could advance to section 3, addressing integers and the coordinate plane. The possibility exists that an entire unit could be dismissed and that the student could be promoted to the culminating project for that unit. At any point during the period, the class may have multiple units in process simultaneously. ",22,Self-Paced Mathematical Instruction
23,Self-Paced Mathematical Instruction,"The instruction in a 1:1 environment does not emphasize a teacher-led approach. Instead, students can work alone or can choose to collaborate. This interaction between students is where most of the understanding occurs. Technology gives students access to videos, manipulatives, and websites  to help them better understand the content. ",23,Self-Paced Mathematical Instruction
24,Self-Paced Mathematical Instruction,"The teacher acts as a facilitator, walking around the room, listening to conversations, offering follow-up questions, and interjecting help when necessary. If a student is struggling with a concept, peers are called on for a signifi cant student-to-student conversation rather than a teacher-to-student conversation. This scenario is modeled in class by having students sit next to one another, thereby emphasizing collaboration on the solution instead of the teacher giving the answer. Overall, allowing students to have these fl exible arrangements puts the onus on the students being responsible for their own learning and understanding. ",24,Self-Paced Mathematical Instruction
25,Self-Paced Mathematical Instruction,"Each student has a predetermined  amount of tasks that he or she must complete to demonstrate profi ciency of a particular content area or standard. The tasks vary, but in each situation the goal is always to display mathematical  understanding. A checklist is used to understanding. A checklist is used to document students’ progress on a unit. document students’ progress on a unit. Solutions to all problems are uploaded Solutions to all problems are uploaded as photographs on an iPad® to give as photographs on an iPad® to give student immediate feedback. These student immediate feedback. These answers are merely a guide because answers are merely a guide because explanations must accompany every soexplanations must accompany every solution. These explanations can take the lution. These explanations can take the form of a diagram (on a whiteboard or form of a diagram (on a whiteboard or drawing program on the computer), drawing program on the computer), a written paragraph, or a set of matha written paragraph, or a set of mathematical equations. Students can work ematical equations. Students can work on all these tasks by themselves or in a on all these tasks by themselves or in a group, and they can freely switch with group, and they can freely switch with whomever they will be collaborating whomever they will be collaborating with each day. ",25,Self-Paced Mathematical Instruction
26,Self-Paced Mathematical Instruction,"Students work on the fi nal assessments (which are identical to the preassessments) by themselves to prove that they individually possess the mathematical understanding. In most cases, a unit project follows the fi nal assessment to further explore the application of the specifi c concept. ",26,Self-Paced Mathematical Instruction
27,Self-Paced Mathematical Instruction,BeneFits oF a selF-Paced classRooM,27,Self-Paced Mathematical Instruction
28,Self-Paced Mathematical Instruction,Individual Pacing,28,Self-Paced Mathematical Instruction
