__id__,__filename__,text,__id__,__filename__
0,Sharing Cookies: A Case Study,Sharing,0,Sharing Cookies: A Case Study
1,Sharing Cookies: A Case Study,Cookies:,1,Sharing Cookies: A Case Study
2,Sharing Cookies: A Case Study,A Case Study,2,Sharing Cookies: A Case Study
3,Sharing Cookies: A Case Study,Gain insight into students’ understanding of the concept of fraction as operator as well as their reliance on rote procedures to convert fractions to decimals.,3,Sharing Cookies: A Case Study
4,Sharing Cookies: A Case Study,"Jenny Salls sStudents should enter seventh grade knowing s the algorithms for operating with fractions (CCSSI 2010). But being able to apply algorithms does not mean that students understand why these algorithms work or have a deep conceptual understanding of rational numbers. Siegler et al. (2010, p. 6) describe the ramifi cations: ﬂ uently with fractions but also move easily among whole-number division, fractions, and decimals to make sense of solving equations like 3x = 14 and x/3 = 5 (NMAP 2008). ",4,Sharing Cookies: A Case Study
5,Sharing Cookies: A Case Study,"This article shares a teaching episode from early in the school year, at the beginning of a unit on computation with fractions with my gifted seventh-grade students. It is offered to help you assess and develop your students’ understanding of a particular rational number concept that is critical as students transition into algebra: the connection between the operation a ÷ b and the fraction a/b. The activity sounds simple: Write the fraction that represents how much each person would receive when sharing 9 cookies. It turned out to be anything but simple and provided a huge payout in terms of understanding my students’ rational number sense. ",5,Sharing Cookies: A Case Study
6,Sharing Cookies: A Case Study,"A high percentage of U.S. students lack conceptual understanding of fractions, even after studying fractions for several years; this, in turn, limits students’ ability to solve problems with fractions and to learn and apply computational procedures involving fractions.",6,Sharing Cookies: A Case Study
7,Sharing Cookies: A Case Study,"To successfully transition into algebra, students need to develop ﬂ exibility in working with fractions. They need to not only operate ",7,Sharing Cookies: A Case Study
8,Sharing Cookies: A Case Study,I wanted an activity that could be approached  in several different ways so that students  would ﬁ nd value in listening to their classmates’ strategies and reasoning.,8,Sharing Cookies: A Case Study
9,Sharing Cookies: A Case Study,Making sense of Rational nUMBeRs,9,Sharing Cookies: A Case Study
10,Sharing Cookies: A Case Study,"I knew from pretests that most students could add, subtract, multiply, and divide fractions, but they did not know how to simplify complex fractions or explain why the fraction algorithms they were using worked. This situation suggested that my students lacked an understanding of some of the big ideas of rational numbers, particularly multiple interpretations of rational numbers (Barnett-Clarke et al. 2010; Clarke, Roche, and Mitchell 2008). Kieren (1984) identifi ed partitioning as a critical skill for understanding rational numbers.",10,Sharing Cookies: A Case Study
11,Sharing Cookies: A Case Study,"Rational number interpretations  can include part-whole, measure, ratio, quotient, and operator. These are all subconstructs of partitioning (Barnett-Clarke et al. 2010; Behr et al. 1980; Clarke, Roche, and Mitchell 2008; Flores, Samson, and Yanik 2006). Each of these subconstructs uses different cognitive skills (Driscoll 1984), so it is important that students experience all the different forms of interpretation.",11,Sharing Cookies: A Case Study
12,Sharing Cookies: A Case Study,•  Part-whole involves having students partition a whole into equal-size parts.,12,Sharing Cookies: A Case Study
13,Sharing Cookies: A Case Study,"•  Measure involves iterating a  unit, such as iterating 1/8 three times to create 3/8.",13,Sharing Cookies: A Case Study
14,Sharing Cookies: A Case Study,•  Ratio indicates a comparison  between two quantities.,14,Sharing Cookies: A Case Study
15,Sharing Cookies: A Case Study,• The quotient interpretation is used  when objects are shared among a number of groups. A common use is sharing the 8 biscuits in a can of refrigerated biscuits among 5 people.,15,Sharing Cookies: A Case Study
16,Sharing Cookies: A Case Study,• The operator interpretation is closely related to the quotient interpretation and gets at the idea that a ÷ b = a/b. (Curcio and Bezuk 1994; Behr and Post 1992).,16,Sharing Cookies: A Case Study
17,Sharing Cookies: A Case Study,"These interpretations all play a critical role in the conceptual understanding of rational numbers, but students seldom experience the quotient and operator interpretations (Flores, Samson, and Yanik 2006). ",17,Sharing Cookies: A Case Study
18,Sharing Cookies: A Case Study,"Because understanding division  of fractions and simplifying complex numbers are both related to a comprehension that a ÷ b = a/b, I wanted a quick task that would focus on the quotient interpretation while pushing students to make the connection to the operator interpretation. In addition to deepening students’ understanding of these concepts, I also gave them opportunities to listen to their peers and value their peers’ contributions to a whole-group discussion.",18,Sharing Cookies: A Case Study
19,Sharing Cookies: A Case Study,"Very few of these students have  been in mathematics classes with other gifted learners. In a heterogeneous classroom, gifted students either do not take part in classroom discussions or dominate the discussion. As a result, they are unaccustomed to critically listening and responding to their peers during whole-group discussion. ",19,Sharing Cookies: A Case Study
20,Sharing Cookies: A Case Study,I wanted an activity that could be approached in several different ways so that students would fi nd value in listening to their classmates’ strategies and reasoning.  the actiVitY: shaRing cookies,20,Sharing Cookies: A Case Study
21,Sharing Cookies: A Case Study,"Thinking about all these goals, the students dove into an activity on sharing cookies among different numbers of people (Curcio and Bezuk 1994). The original activity shared 13 cookies among the members of a family, which employs the quotient interpretation of fractions. To push students to connect the quotient and operator interpretations, I modifi ed the activity so that they would share 9 cookies among 1, 2, 3, . . . , 30 people. Students were asked to make a chart showing the fractional portion that each person would receive. ",21,Sharing Cookies: A Case Study
22,Sharing Cookies: A Case Study,"I anticipated that they might solve this problem in several distinct ways. (See ﬁ g. 1 for examples of sharing 9 cookies among 3 people.) First, I expected that some students would divide the set of 9 cookies into n equal parts (see ﬁ g. 1a). Second, I thought that some students might “deal out” one cookie to each person, dividing leftover cookies into equal parts until everything was shared (see ﬁ g. 1b). (Note that although the representations for these two methods look similar, the thinking involved is substantially different.) I also thought that some students would divide each  cookie into n equal parts, giving 1 part to each person (see ﬁ g. 1c).",22,Sharing Cookies: A Case Study
23,Sharing Cookies: A Case Study,"Finally, I anticipated that some would use the operator interpretation to simply write 9/n to represent the fractional portion each person would receive (see ﬁ g. 1d). Although the fi rst two methods work well for division of whole numbers (i.e., 9 ÷ 3), they do not work easily when you have leftovers, such as 9 ÷ 4, or when the denominator is larger than the numerator, such as in 9 ÷ 30. In these cases, the last two representations are needed (see ﬁ g. 1c and 1d). By asking students to create a table and sharing cookies among 1, 2, 3, . . . , 30 people, I hoped to push them from the fi rst two representations to the last two. This item became homework. I anticipated that it would be an easy assignment for students and that the class would need about 15 minutes the next day to share these four methods in class and anything else they found. Things did not go quite as planned. About 45 minutes after school ended, the fi rst question popped up via Edmodo©, our online communication system. “Can I use a calculator to do this?” I had not anticipated that students would produce decimals; after all, I had emphasized the fractional portion that each person would receive and knew that using decimals would not lead students to the type of thinking that was intended. I tried to redirect student thinking by responding: “Don’t use a calculator; remember I want the fractional portion each person would receive.” ",23,Sharing Cookies: A Case Study
24,Sharing Cookies: A Case Study,More comments appeared on ,24,Sharing Cookies: A Case Study
25,Sharing Cookies: A Case Study,"Edmodo®: “It is taking a long time just to get through the fi rst 10, and then I don’t know how to change them into fractions.” When I asked what the student had done for 8 people, he responded, “Nine divided by 8 equals 1.125 per person is what I got. How do I then turn it into a fraction?” Clearly, students were not thinking anywhere  fig. 1 Students generated different representations for sharing 9 cookies among 3 people.",25,Sharing Cookies: A Case Study
26,Sharing Cookies: A Case Study,"(a) dividing the set of 9 cookies into 3 equal parts, 1 for each person:  “9 cookies can be divided into 3 equal parts having 3 cookies  in each part; each person would get 3 cookies.” ÷ = (b) dealing out 1 cookie to each of 3 people (quotient interpretation):  “each person gets 1, 2, 3 cookies.” π( 3 , (c) Quotient interpretation: “each person gets 1/3 from each cookie, or 9/3.”  figure d (d) operator interpretation: “each person gets 9 ÷ 3, or 9/3, cookies.”  near the ways that I had anticipated. Forewarned from my interactions with multiple students on Edmodo, I was still unprepared for the number of students that relied on the use of division and decimals to fi gure out how many cookies to share. The next day, as table groups discussed their thinking about the problems, I counted only three students who had not immediately used long division. David had numbers randomly written on his paper; Jamie had pages of circles and numbers. Brian used the last strategy from ﬁ gure 1 and wrote every fraction as 9/n. His comment to his group was that making the chart took him more time  than fi lling it in. Even though Brian used the same basic strategy as the rest of his group, the group members did not see the connection between the decimals that they had found from dividing and Brian’s fractions. ",26,Sharing Cookies: A Case Study
27,Sharing Cookies: A Case Study,"Most students had divided all  30 fractions using long division by hand or a calculator. Many had dutifully converted their answers into fractions because I had asked for the fractional portion, without ever realizing what their answers represented. Because many of the denominators were messy, students rounded and did not connect their work back to the quotient representation.",27,Sharing Cookies: A Case Study
28,Sharing Cookies: A Case Study,"fig. 2 Students divided each of the 4 leftover cookies into 5 equal parts, giving 4 parts to each person.",28,Sharing Cookies: A Case Study
29,Sharing Cookies: A Case Study,(a)  (b)  (c) ,29,Sharing Cookies: A Case Study
30,Sharing Cookies: A Case Study,"For example, when sharing 9 cookies among 11 people, one student used long division to obtain “0.818181 and it kept going.” To obtain a fraction, this student explained, “I rounded it to 0.82, so I got 82/100 or 41/50.” By rounding decimals (both repeating and terminating), students’ answers did not come back to 9/n, so they completely missed the connection I wanted them to make. Because so few students had used the representations that would have helped them see the connection between division and fractions, small-group discussion was getting us nowhere. ",30,Sharing Cookies: A Case Study
31,Sharing Cookies: A Case Study,"I drew 9 circles on the board to  represent the cookies, then stopped the groups from working and asked students to share with the class other ways to share the cookies without doing long division. David raised his hand. ",31,Sharing Cookies: A Case Study
32,Sharing Cookies: A Case Study,David: I divided the cookies into  groups depending on how many  people were getting the cookies (see ﬁ g. 1a.).,32,Sharing Cookies: A Case Study
33,Sharing Cookies: A Case Study,Teacher: What did you do for  4 people? ,33,Sharing Cookies: A Case Study
34,Sharing Cookies: A Case Study,David: I didn’t. I couldn’t fi gure out  how to make 4 even groups of cookies.,34,Sharing Cookies: A Case Study
35,Sharing Cookies: A Case Study,"Latching onto David’s strategy, we divided the 9 circles into 1 group (sharing with 1 person) and then into 3 groups (sharing with 3 people). Students then had no problem making 2 groups of 4 1/2 cookies to share between 2 people. Moving to sharing among 4 people, we made 4 groups with 1 leftover. One student suggested dividing the leftover cookie into 4 equal pieces and giving 1/4 to each person. Students were then able to successfully share 9 cookies among 5 people by making 5 equal groups of 1 cookie and taking the remaining 4 cookies, dividing them into 5 equal  parts, and sharing 4 parts with each person (see ﬁ g. 2).",35,Sharing Cookies: A Case Study
36,Sharing Cookies: A Case Study,"Referring to the 1 4/5 cookies obtained from sharing among 5 people, I asked, “How does this relate to the answer you got from dividing?”",36,Sharing Cookies: A Case Study
37,Sharing Cookies: A Case Study,Student: We got 1.8.,37,Sharing Cookies: A Case Study
38,Sharing Cookies: A Case Study,Teacher: Is that the same? ,38,Sharing Cookies: A Case Study
39,Sharing Cookies: A Case Study,"They agreed that 1 4/5 was the  same as 1.8, but still did not connect that to 9/5. I was debating what to do next. How could I help them make this connection without taking away all the sense making in the activity? At this point, Jamie entered the discussion, “I kind of did the same thing. I shared 1 cookie to each person until I couldn’t share any more” (see ﬁ g. 1b).",39,Sharing Cookies: A Case Study
40,Sharing Cookies: A Case Study,Teacher: What did you do with the  leftovers?,40,Sharing Cookies: A Case Study
41,Sharing Cookies: A Case Study,"Jamie: Well, for 2 people, you can  obviously share 1/2 for each person and for 4 people, you share 1/4. But I didn’t know what to do for 5 people—sharing 1/5 didn’t work.",41,Sharing Cookies: A Case Study
42,Sharing Cookies: A Case Study,"Teacher: So, for sharing with 2 people and 4 people, you had just 1 cookie leftover. But when you had 4 cookies leftover [sharing with 5 people], you didn’t know what to do? ",42,Sharing Cookies: A Case Study
43,Sharing Cookies: A Case Study,"I hoped that the class would connect Jamie’s strategy to what we had just done with David’s method, but that did not happen. ",43,Sharing Cookies: A Case Study
44,Sharing Cookies: A Case Study,"I referred the class to the strategy we had developed with David’s method, in which we divided each leftover into 5 parts and shared 4 parts with each person. Now I tried to move the class a little further toward the operator interpretation: “What if we took each leftover cookie and divided it into 5 equal parts? Could we share 1 part with each person?” Students agreed that Jamie could use this strategy to share the cookies. We tried Jamie’s strategy with 6 cookies, and it  seemed to work, but students still did not see the connection to their answers obtained through division.",44,Sharing Cookies: A Case Study
45,Sharing Cookies: A Case Study,"Still hoping that students would connect what we were doing to their division method, I asked the class if we could use our last strategy of dividing the leftovers into 5 parts and apply that to the entire problem. Students were puzzled.  “Suppose we took all 9 cookies and divided each cookie into 5 parts. Then we give 1/5 of each cookie to each person? Could we do that?” The class agreed, although it seemed like extra work to divide 9 cookies into 5 parts each when clearly 5 of them could be shared without dividing. ",45,Sharing Cookies: A Case Study
46,Sharing Cookies: A Case Study,Teacher: How many 1/5 of a cookie  did each person get?,46,Sharing Cookies: A Case Study
47,Sharing Cookies: A Case Study,Students: Nine! They got 9 pieces of  1/5.,47,Sharing Cookies: A Case Study
48,Sharing Cookies: A Case Study,Teacher: How else could we say that?,48,Sharing Cookies: A Case Study
49,Sharing Cookies: A Case Study,Students: Could we say they got 9/5  cookies? ,49,Sharing Cookies: A Case Study
50,Sharing Cookies: A Case Study,"I saw Brian visibly react as he made the connection between his process and the pictures we were drawing. I thought progress was being made with the rest of the class, but was unsure. I regrouped, asking students to use our last strategy to figure out how many cookies 6 people would get and thinking that maybe students would immediately leap to creating 9/6, but they did not. Most students painstakingly divided each cookie into sixths and gave 1/6 to each person before concluding that each person got 9/6 of a cookie. They continued using this technique to share with 7 and 8 people before I finally started seeing students realize that what they were doing created 9/7 and 9/8 cookies, respectively. ",50,Sharing Cookies: A Case Study
51,Sharing Cookies: A Case Study,Some visibly appeared to make the connection between this representation and their division process before the bell rang.,51,Sharing Cookies: A Case Study
52,Sharing Cookies: A Case Study,Reflecting Back,52,Sharing Cookies: A Case Study
53,Sharing Cookies: A Case Study,"I gained a number of insights into assumptions I had made about my students. First, although they were procedurally competent workers, they had little experience modeling fraction situations in a way that helped make sense of the problem. Because they had strong computation skills, I had assumed that students had a good conceptual background in rational numbers beyond that of part-whole partitioning. ",53,Sharing Cookies: A Case Study
54,Sharing Cookies: A Case Study,"Second, I had expected students to use the strategies associated with quotient interpretation rather than dividing to make decimals. Although at first glance it appeared that they ",54,Sharing Cookies: A Case Study
55,Sharing Cookies: A Case Study,INSPIRING TEACHERS. ENGAGING STUDENTS. BUILDING THE FUTURE. ,55,Sharing Cookies: A Case Study
56,Sharing Cookies: A Case Study,N A T,56,Sharing Cookies: A Case Study
57,Sharing Cookies: A Case Study,N A T,57,Sharing Cookies: A Case Study
58,Sharing Cookies: A Case Study,N A T,58,Sharing Cookies: A Case Study
59,Sharing Cookies: A Case Study,N A T   O F   O F   O F   O F,59,Sharing Cookies: A Case Study
60,Sharing Cookies: A Case Study,I O N A L,60,Sharing Cookies: A Case Study
61,Sharing Cookies: A Case Study,I O N A L,61,Sharing Cookies: A Case Study
62,Sharing Cookies: A Case Study,I O N A L,62,Sharing Cookies: A Case Study
63,Sharing Cookies: A Case Study,I O N A L   C O U N C I   C O U N C I   C O U N C I   C O U N C I   M A T H E M A T   M A T H E M A T   M A T H E M A T   M A T H E M A T,63,Sharing Cookies: A Case Study
64,Sharing Cookies: A Case Study,T E A C H E R S   O F,64,Sharing Cookies: A Case Study
65,Sharing Cookies: A Case Study,T E A C H E R S   O F,65,Sharing Cookies: A Case Study
66,Sharing Cookies: A Case Study,T E A C H E R S   O F,66,Sharing Cookies: A Case Study
67,Sharing Cookies: A Case Study,T E A C H E R S   O F,67,Sharing Cookies: A Case Study
68,Sharing Cookies: A Case Study,I C S   •   W W W . N C T M . O R G,68,Sharing Cookies: A Case Study
69,Sharing Cookies: A Case Study,I C S   •   W W W . N C T M . O R G,69,Sharing Cookies: A Case Study
70,Sharing Cookies: A Case Study,I C S   •   W W W . N C T M . O R G,70,Sharing Cookies: A Case Study
71,Sharing Cookies: A Case Study,I C S   •   W W W . N C T M . O R G m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t t e a c h i n g  i n   i c s i c s i c s i c s i c s i c s i c s i c s i c s,71,Sharing Cookies: A Case Study
72,Sharing Cookies: A Case Study,M I D D L E   S C H O O L t h e,72,Sharing Cookies: A Case Study
73,Sharing Cookies: A Case Study,A P R I L   2 0 1 3,73,Sharing Cookies: A Case Study
74,Sharing Cookies: A Case Study,Let NCTM Help You Make Your Job Easier!,74,Sharing Cookies: A Case Study
75,Sharing Cookies: A Case Study,We have the resources to meet your challenges.,75,Sharing Cookies: A Case Study
76,Sharing Cookies: A Case Study,1 3 1 6 1 8,76,Sharing Cookies: A Case Study
77,Sharing Cookies: A Case Study,F r a m i n g,77,Sharing Cookies: A Case Study
78,Sharing Cookies: A Case Study,M a t hM a t h ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - >  $ ¼ + = % < - >  $ ¼ + = % < - > ÷ x3 (a+b) × ½  (a+b) × ½ ± µ ¾ ¢ 90° y ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y2 $  $ p . 4 7 4  $ ¼ + = % < - > ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x  $ ¼ + = % < - >  $ ¼ + = % < - >  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y  $ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x  $ ¼ + = % < - >  $ ¼ + = % < - >  $ ¼ + = % < - >  $ ¼ + = % < - >  $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x  $ ¼ + = % < - > ÷ x3 (a+b) × ½  (a+b) × ½   (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y •   S W E E T E N I N G   F R A C T I O N S   p . 4 8 4 •   D R A W I N G   O N   W R I T I N G   p . 4 9 2,78,Sharing Cookies: A Case Study
