__id__,__filename__,text,__id__,__filename__
0,Snow Day,Calvin and Hobbes by Bill Watterson,0,Snow Day
1,Snow Day,CALVIN AND HOBBES © 2014 WATTERSON. REPRINTED WITH PERMISSION OF ANDREWS MCMEEL SYNDICATION. ALL RIGHTS RESERVED.,1,Snow Day
2,Snow Day,  b.  Graph the values from the table on the following coordinate grid.,2,Snow Day
3,Snow Day,"4. In City 1, the rate of snowfall was 3/4 inch per hour, and it snowed for 6 hours. In nearby City 2, the rate of snowfall was 1/2 inch per hour, and it snowed for 10 hours.    a.  Complete the table showing the total amount of snow each hour.",3,Snow Day
4,Snow Day,Hour,4,Snow Day
5,Snow Day,City 1,5,Snow Day
6,Snow Day,City 2 10 c.  Which city ended up with the  greater amount of snow?,6,Snow Day
7,Snow Day,"SNOW DAY 1. If the snow started falling at   4 p.m. and stopped at 8 a.m.  the following day, what is the rate of snowfall in inches per hour if Calvin sees 2 feet of snow? 2. Later that day, it starts snowing  again. If 1/2 inch of snow fell each hour for 6 hours during a steady snowfall, how much total snow has accumulated in this series of storms?  3. During a different storm, 12 inches  of snow fell over 5 hours. In a nearby city, 10 inches of snow fell over 4 hours.    a.  Find the rate of snowfall for  each city.    b.  Which city had a faster rate   of snowfall? from the January/February 2018 issue of",7,Snow Day
8,Snow Day,"Edited by Hoyun Cho, Capital University in Columbus, Ohio; Katie A. Hendrickson, Code.org, Seattle, Washington; and Rhonda Birnie, Idaho State University, Idaho. Classroom teachers interested in field-testing or submitting a cartoon should contact Cartoon Corner at mtms@nctm.org. The cartoons must include the date and the newspaper syndicate that holds the copyright.    ",8,Snow Day
9,Snow Day,"SOLUTIONS 1.  1.5 inches per hour 2.  2.25 feet, or 27 inches.",9,Snow Day
10,Snow Day,"3.  a. 2.4 inches per 1 hour, and   2.5 inches per 1 hour.",10,Snow Day
11,Snow Day,b. City 2 had a faster rate of snowfall.  4.  a. ,11,Snow Day
12,Snow Day,Hour,12,Snow Day
13,Snow Day,City 1,13,Snow Day
14,Snow Day,City 2 10 0.75 1.5 2.25 3.0 3.75 4.50 0.50 1.0 1.50 2.0 2.50 3.0 3.50 4.0 4.50 5.0 b.  c.   City 2 had the greater amount of  snowfall.,14,Snow Day
15,Snow Day,FIELD-TEST COMMENTS,15,Snow Day
16,Snow Day,"Snow days do not often occur for sixth-grade prealgebra students in Las Vegas, but students could definitely relate to the concept of procrastination. It was interesting that the relationship between the cartoon and the first problem was not apparent to them. ",16,Snow Day
17,Snow Day,"Several students stated that there  was missing information in question 1. Directing them back to the cartoon and reminding them  that tables, graphs, charts, and cartoons are part of a problem placed them on a path to the solution. They went on to the next question with confidence, only to pause again and ask if there was snow on the ground before the storm, since question 2 asked for total snow accumulation. This led to a discussion about reading too much into questions and overthinking a problem.",17,Snow Day
18,Snow Day,"The rate of change problems were a perfect review. Students were able to complete the table for both cities and graph the snowfall. They were able to interpret the rate of changing snow levels in terms of slope of the lines. Giving a graph a meaningful title, labeling the axes correctly, and identifying the independent and dependent variables are skills that constantly require reinforcement! ",18,Snow Day
19,Snow Day,Judy Kraus,19,Snow Day
20,Snow Day,Hyde Park Middle School,20,Snow Day
21,Snow Day,"Las Vegas, Nevada",21,Snow Day
22,Snow Day,"I used this activity with my combined class of eighth-grade honors prealgebra and algebra 1 students in May. We were reviewing slope (rates of change) and graphing linear equations, which were covered earlier in the school year. Students worked in small groups of three or four to complete this activity, and they were allowed to use a TI-Nspire CX handheld device. ",22,Snow Day
23,Snow Day,My students asked for clarification with question 2; they wanted to know if any snow had melted between the two snowfalls. Students also asked for clarification in question 3; they wanted to know if the snowstorm in the question was the same as one of the two mentioned in questions 1 and 2. ,23,Snow Day
24,Snow Day,"Overall, this activity provided students the opportunity to review what they had learned earlier in the school year, with the added bonus of “thinking cool thoughts in the middle of May,” as one of my students stated! ",24,Snow Day
25,Snow Day,Cathy Stinson,25,Snow Day
26,Snow Day,Dent Middle School,26,Snow Day
27,Snow Day,"Columbia, South Carolina",27,Snow Day
28,Snow Day,"My thirteen seventh-grade advanced students found this activity to be rather easy, probably because it is grade level work for them. I did have two students who wanted to provide answers for question 1 using the  2 feet instead of converting to  24 inches because they “read it too quickly.” I also had one student miscalculate the number of hours between 4 p.m. and 8 a.m., causing him to get the wrong answer for number 1. Samantha Kelecava",28,Snow Day
29,Snow Day,Lordstown Junior/Senior High School,29,Snow Day
30,Snow Day,"Warren, Ohio",30,Snow Day
31,Snow Day,OTHER IDEAS,31,Snow Day
32,Snow Day,"Extend this Cartoon Corner  with these ideas: •   Predict how much snow fell  with this rate-per-hour activity:    https://www.yummymath  .com/2013/snow-days/ •  Track U.S daily snowfall   and snow depth in a given area, then graph and analyze the data:    https://www.ncdc.noaa.gov/ snow-and-ice/daily-snow/ •  Search for ice and snow in   this online activity:    http://cse.ssl.berkeley.edu/",32,Snow Day
33,Snow Day,SegwayEd/lessons/search_ice_ snow/ski.1.homepage.html,33,Snow Day
