__id__,__filename__,text,,
0,Social Justice and Proportional Reasoning - National Council of Teachers of Mathematics,"Being a mathematically literate citizen requires daily applications of proportional reasoning, especially when answering such questions as these: Is the larger package a better buy? Is Chicago more dangerous than Detroit? Many of these applications, like the second question above, are related to social justice issues found in society. Mathematical story problems seen in textbooks are often contrived and only superficially deal with the real world and its complex issues. For example, the following Mixture problem is typically used when teaching ratios:",,
1,Social Justice and Proportional Reasoning - National Council of Teachers of Mathematics,"Juice mixture A has 3 parts water and 1 part fruit concentrate, while juice mixture B has 5 parts water and 2 parts fruit concentrate. Which mixture is fruitier?",,
2,Social Justice and Proportional Reasoning - National Council of Teachers of Mathematics,"Although this problem is certainly interesting and provides a convenient context for comparing ratios, it is not a problem that a student would genuinely be interested in solving. It also does not provide the student with new information about the world that he or she lives in.",,
3,Social Justice and Proportional Reasoning - National Council of Teachers of Mathematics,"The textbook approach to story problems no longer being sufficient can be seen from the Common Core State Standards for Mathematics (CCSSM), which includes mathematical modeling, or apply[ing] the mathematics [students] know to solve problems arising in everyday life, society, and the workplace (CCSSI 2010, p. 7). This statement is one of eight essential mathematical practices at all grade levels. Ratio and proportional reasoning tasks abound that have connections to real-world situations. The document 6-7, Ratios and Proportional Relationship reinforces the importance of proportional reasoning in the mathematics curriculum. It emphasizes its many applications, such as finding trigonometric ratios and instantaneous rates of change in calculus, finding concentrations in chemical solutions, calculating tips, or analyzing descriptive statistics (Common Core Standards Writing Team 2011). Although extensive, this list of topics excludes a host of real-world situations in which the need for reasoning proportionally arises naturally, such as population growth, crime rates, incarceration rates, immigration rates, and other topics that provide valuable information about the world we live in.",,
4,Social Justice and Proportional Reasoning - National Council of Teachers of Mathematics,"In the two-part mathematics content course for preservice Kgrade 8 teachers that I teach, I frequently use authentic real-world contexts related to social justice. These contexts infuse the curriculum but do not replace mathematically rich problems without a realistic context. The social justice contexts introduce mathematical modeling through messy real-world problems that allow multiple strategies, typically both numerical and algebraic, and do not always use nice numbers.Items like the Mixture problem mentioned above allow for the introduction of other tools, like tables and diagrams, which typically do not occur naturally with real-world data. Both types of problems are needed in teacher education programs. In particular, social justice contexts help preservice teachers see mathematics and the world in a different light, which in turn will help them become better-informed teachers of mathematics.",,
5,Social Justice and Proportional Reasoning - National Council of Teachers of Mathematics,"In developing a social-justicebased curriculum, I sometimes create original problems, assignments, and lessons; at other times, I build on textbook materials. In this article, I will give a few examples of the latter. I will also show how effective a few simple actions, like including data from authentic sources and modifying contexts to be relevant to preservice teachers, can be in making the mathematics curriculum more realistic and thought-provoking.",,
6,Social Justice and Proportional Reasoning - National Council of Teachers of Mathematics,PROPORTIONAL REASONING PROBLEMS RELATED TO SOCIAL JUSTICE,,
7,Social Justice and Proportional Reasoning - National Council of Teachers of Mathematics,Example 1: Population Growth and Crime Rates,,
8,Social Justice and Proportional Reasoning - National Council of Teachers of Mathematics,"The difference between additive comparisons (i.e., finding differences) and multiplicative comparisons (i.e., finding ratios), and the knowledge of when each is appropriately used, is one of the most important topics in proportional reasoning instruction (Lamon 2011). The examples in table 1 and table 2 were modified from the textbook used for the course (Sowder, Sowder, and Nickerson 2010). Both were already interesting problems addressing additive and multiplicative comparisons, and were almost authentic, except for using made-up numbers. Modifying them was simple: All that was needed in this case was to find regional information that would fit the demands of the problems.",,
9,Social Justice and Proportional Reasoning - National Council of Teachers of Mathematics,,,
