__id__,__filename__,text,__id__,__filename__
0,Solve It!: Parts of a Parallelogram,"July 7–9, 2014 | San Diego",0,Solve It!: Parts of a Parallelogram
1,Solve It!: Parts of a Parallelogram,Algebra Readiness  for Every Student,1,Solve It!: Parts of a Parallelogram
2,Solve It!: Parts of a Parallelogram,AN NCTM INTERACTIVE INSTITUTE FOR GRADES 6–8,2,Solve It!: Parts of a Parallelogram
3,Solve It!: Parts of a Parallelogram,"Immerse yourself in two and a Immerse yourself in two and a half days of professional devel half days of professional development dedicated to algebra opment dedicated to algebra readiness, and walk away with readiness, and walk away with practical methods to prepare your practical methods to prepare your students for success. ",3,Solve It!: Parts of a Parallelogram
4,Solve It!: Parts of a Parallelogram,Register by  MAY 30  and save  $40! ,4,Solve It!: Parts of a Parallelogram
5,Solve It!: Parts of a Parallelogram,NCTM’s Interactive Institute offers a variety of activities and instructional techniques to give your students opportunities to develop strong algebraic reasoning skills. You’ll also learn strategies that will help you align your instruction with the Common Core State Standards while giving your students the tools they need to succeed.,5,Solve It!: Parts of a Parallelogram
6,Solve It!: Parts of a Parallelogram,• Gain strategies to build the foundation of  knowledge and skills that leads to students’ future success in algebra.,6,Solve It!: Parts of a Parallelogram
7,Solve It!: Parts of a Parallelogram,"• Explore tasks and instructional techniques, including posing purposeful questions, that support students’ development of conjectures and generalizations.  • Learn instructional strategies , such as implementing tasks that promote reasoning and problem solving, that provide all students opportunities to develop strong algebraic reasoning skills.",7,Solve It!: Parts of a Parallelogram
8,Solve It!: Parts of a Parallelogram,Visit www.nctm.org/algebra to learn more and register.  (800) 235-7566  |  WWW.NCTM.ORG,8,Solve It!: Parts of a Parallelogram
9,Solve It!: Parts of a Parallelogram,Space is limited— REGISTER TODAY!  www.nctm.org/algebra solve it! little problems with big solutions,9,Solve It!: Parts of a Parallelogram
10,Solve It!: Parts of a Parallelogram,Sherry L. Bair and JoAnn Cady,10,Solve It!: Parts of a Parallelogram
11,Solve It!: Parts of a Parallelogram,Parts of a Parallelogram,11,Solve It!: Parts of a Parallelogram
12,Solve It!: Parts of a Parallelogram,Given parallelogram ABCD with point E as the midpoint of AB:  1. What is the ratio of the area of BEF to the area of DCF?  2.   What fractional part of the parallelogram is each of the  four nonoverlapping polygons? ,12,Solve It!: Parts of a Parallelogram
