__id__,__filename__,text,__id__,__filename__
0,Solve It! Student Thinking: Factor Groups,solve it! student thinking big solutions to little problems,0,Solve It! Student Thinking: Factor Groups
1,Solve It! Student Thinking: Factor Groups,Sherry L. Bair and Edward S. Mooney ,1,Solve It! Student Thinking: Factor Groups
2,Solve It! Student Thinking: Factor Groups,This “Solve It!” task appeared in the December 2012/,2,Solve It! Student Thinking: Factor Groups
3,Solve It! Student Thinking: Factor Groups,January 2013 issue: ,3,Solve It! Student Thinking: Factor Groups
4,Solve It! Student Thinking: Factor Groups,Factor Groups 1. Consider all the natural numbers between 1 and 100. ,4,Solve It! Student Thinking: Factor Groups
5,Solve It! Student Thinking: Factor Groups,"In each case, count 1 as a factor.",5,Solve It! Student Thinking: Factor Groups
6,Solve It! Student Thinking: Factor Groups,a. Which have exactly 1 factor? b. Which have exactly 2 factors? c. Which have exactly 3 factors? d. Which have exactly 4 factors?   e. Which have exactly 5 factors? ,6,Solve It! Student Thinking: Factor Groups
7,Solve It! Student Thinking: Factor Groups,"This department shares creative solutions to the problems in Solve It! Send student work, with a description of student thinking, to sherry l. Bair, Illinois State University, Campus Box 4520, Normal, IL 61790-4520, or by e-mail to slbair@ ilstu.edu. Published solutions will be credited.  2. By examining your answers to question 1, can you see any relationships or patterns? Use any patterns you fi nd to predict which numbers between 1 and 100 have exactly 6 factors. Check your predictions.",7,Solve It! Student Thinking: Factor Groups
8,Solve It! Student Thinking: Factor Groups,"3. Continue to investigate other numbers that have exactly  7, 8, 9, or 10 factors. Generalize any patterns that you fi nd.  74  MatheMatics teaching in the Middle school  ●  Vol. 19, No. 2, September 2013 Copyright © 2013 The National Council of Teachers of Mathematics, Inc.  www.nctm.org. All rights reserved.",8,Solve It! Student Thinking: Factor Groups
9,Solve It! Student Thinking: Factor Groups,"tTwo teachers submitted reflections and  student work for this task. Jenny Salls, who teaches sixth-grade and seventhgrade gifted and talented students, assigned this problem to one class of sixth graders and two classes of seventh graders. These classes worked on the task in twenty-minute sessions across three days. Marianne Madoff, who teaches sixth-grade mathematics, had four classes work on this problem over three class periods. Each teacher presented the task as it originally appeared in MTMS, with little discussion of how to solve it, and they both allowed their students to work in groups. The following discussion highlights similarities and differences in the student thinking in each teacher’s class.  salls’s class",9,Solve It! Student Thinking: Factor Groups
