__id__,__filename__,text,,
0,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"As current mathematics standards, such as the Common Core, are being implemented throughout the United States, it has become evident that teachers need support to enact the tenets of those standards. To help in this endeavor, NCTM published Principles to Actions: Ensuring Mathematical Success for All as a guideline to emphasize to mathematics education stakeholders that effective teaching is the nonnegotiablecore to ensure that all students learn mathematics (Brahier, Leinwand, and Huinker 2014, p. 656). Principles to Actions provides a framework outlining research-informed mathematics teaching practices to promote students mathematical reasoning and problem solving (NCTM 2014). Consistent with the aforementioned points, the goal of this article is to describe an algebraic task that illustrates the connections between Principles to Actions and current mathematics standards.",,
1,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,A MIDDLE SCHOOL TASK: STACKING CANS,,
2,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"We created an introductory, high-cognitive-demand task (Stein and Smith 1998) that would allow a class of seventh-grade students in algebra to begin exploring figurate numbers (see fig. 1). The mathematical goal of the lesson was to use functions to model relationships between quantities by engaging students in these standards for mathematical practice: (a) look for and express regularity in repeated reasoning; and (b) reason abstractly and quantitatively (CCSSI 2010).",,
3,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,,,
4,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"When designing the task, we initially considered using 10 cans or 100 cans in the bottom row, but purposefully chose 30 cans for the bottom row. We reasoned that 30 cans would provide an appropriate foundation for students to eventually reason abstractly when answering a follow-up question. A bottom row with 10 cans would be too easy for many students to solve and would not create the need to consider abstracting. Although selecting 100 cans for that row would link to a historical connection, we felt that although students could add the first 100 numbers, many would mistake the complexity with the effort needed to add 1 to 10 and disengage with the task, saying it was too hard.",,
5,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"Furthermore, we also decided that we wanted students to solve the task without the use of calculators because using the calculator could constrain the students engagement in the algebraic habits of mind as abstractingfrom computation, thus making certain aspects of the task more trivial (Driscoll 1999). In the end, we anticipated that students would employ a variety of approaches to solve the task, including verbal, pictorial, numerical, and tabular representations. These approaches would provide the foundation for future algebraic explorations by emphasizing connections across representations (Lesh, Post, and Behr 1987).",,
6,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,STUDENTS STRATEGIES TO SOLVE THE TASK,,
7,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"By encouraging varied solution pathways to engaging tasks, teachers give students the opportunity to foster mathematical thinking, communication, and reasoning (Cai and Kenney 2000). To aid this process, the stack of cans in figure 1 was shown to seventh-grade students, and students were asked to make observations. Students noticed the growth pattern of the stack of cans and correctly hypothesized that as the stack increased in height, another row of cans was added to the bottom of the stack. Furthermore, this row had one more can than the bottom row of the previous stack.",,
8,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"Students initially engaged with this task by first using pictorial approaches and then applying strategies using words. For instance, when reasoning pictorially, one student drew dots to represent the cans, beginning with one can on top, then adding subsequent rows of cans underneath, until reaching the fourteenth row of cans (see fig. 2a). The student then computed 30  30 but did not finish the work. An explanation merely stated that the student used addition to solve the problem without documenting the computation (see fig. 2b).",,
9,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,,,
10,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"A third line of reasoning, used by a majority of the seventh-grade students, involved addition strategies (fig. 3 illustrates three such approaches).",,
11,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,,,
12,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"On first glance, one may initially think these strategies are rather simple and not worthy of class discussion. However, the teacher felt it was vital to discuss them with students. First, the strategies documented how students meaningfully accessed the task. Second, these approaches served as valuable transitions to more efficient and sophisticated additive strategies that students used when looking for and expressing regularity in repeated reasoning (see figs. 4 and 5). Furthermore, we believe that whole-class discussions about mathematical relationships are critical to student understanding.",,
13,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,,,
14,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,,,
15,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"Consequently, several students were asked how they used repetition to flexibly group the cans. When describing her reasoning to her classmates, Kathy said that she realized that she could make groups of 31 (see fig. 4). As the students listened, she described and documented her thinking using the interactive whiteboard by adding 30 + 1, 29 + 2, 28 + 3, and so on. In the whole-class dialogue that ensued, the teacher prompted the rest of the students to engage in meaningful mathematical discussion by verbalizing their understanding of Kathys explanation.",,
16,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"Mariella: Kathy ordered them from 30 to 1 just in a shorter way, so she wouldnt have to write them all out. So then she added from the highest number and the lowest number, adding them so it will make the 31 each time. Then multiply them by how many groups she had.",,
17,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,Teacher: [Called on Bentley to respond.],,
18,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"Bentley: I think she is going to multiply 31 times 15 because she would be adding two numbers, so you would have to divide 30 by 2.",,
19,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,Teacher: Why did Bentley say 31 times 15 not 31 times 30?,,
20,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"Izzy: Well, when you are doing two numbers to get one number, like the 31 stands for two numbers, so if you multiply by 30 that would be like the 31 standing for one number instead of both.",,
21,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,Teacher: What does she [Izzy] mean by that?,,
22,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"Neeka: When you are done with all of the 31s, there would be 15 left, cause you are taking two numbers and making one. So you are slicing everything in half. Fifteen 31s.",,
23,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"By having the rest of the class make sense of Kathys method, the teacher gave students the opportunity to listen to various lines of reasoning when interpreting Kathys thinking as well as establish a shared understanding of her particular solution strategy. In the end, Kathy provided the total number of cans by computing 15 groups of 31, or 465 cans.",,
24,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"After the class made sense of Kathys reasoning, Neeka presented a second strategy by making groups of 30 (see fig. 5). When verbalizing her reasoning, Neeka realized that she could make groups of 30 by adding 30, 29 + 1, 28 + 2, 27 + 3, 26 + 4 and so on. The teacher then stopped her so that the class could begin to make sense of her reasoning.",,
25,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,Teacher: She has a different answer than Kathy. Why does she have 450 [cans] and Kathy had 465 [cans]? Think in your head. Andrew?,,
26,Stacking Cans_ Abstracting from Computation - National Council of Teachers of Mathematics,"Andrew: Because, since its an even number (30 is an even number), you have an odd number in the middle, so she did not add 15 yet.",,
