__id__,__filename__,text,,
0,Star Cups Forever - National Council of Teachers of Mathematics,"The Star Cups Coffee Company launched a new promotion called Star Cups Forever. These are the rules: No purchase is necessary, but participants must register a valid Star Cups Card online. Participants may not register multiple cards; if so, they will be disqualified.",,
1,Star Cups Forever - National Council of Teachers of Mathematics,"At the end of the promotion period, one winner will be randomly selected to receive a daily credit on his or her Star Cups Card, redeemable for one free food or beverage item per day, for 30 years. The retail value of the prize will be $52,475. More than 2 million customers registered.",,
2,Star Cups Forever - National Council of Teachers of Mathematics,"Investigate the costs, profits, and chances of winning by using probability, percentages, and number sense. Use good reasoning strategies.",,
3,Star Cups Forever - National Council of Teachers of Mathematics,"1. What is the probability of winning Star Cups Forever if only 100 customers participated? Write your answer as a fraction, decimal, and percentage.",,
4,Star Cups Forever - National Council of Teachers of Mathematics,"2. Use the information from problem 1 and find the probability of winning Star Cups Forever, given the actual 2 million customers who registered. Write your answer as a fraction, decimal, and percentage.",,
5,Star Cups Forever - National Council of Teachers of Mathematics,3. How many prize winners will the company need to select from the population of 2 million registered customers so that the chance of winning is 1%?,,
6,Star Cups Forever - National Council of Teachers of Mathematics,4. How much will the Star Cups Forever winnings cost the company if 1% of the 2 million customers were winners?,,
7,Star Cups Forever - National Council of Teachers of Mathematics,"5. If you won the prize, how much credit will you get daily on your Star Cups Card?",,
8,Star Cups Forever - National Council of Teachers of Mathematics,"6. A Star Cups Card can be purchased at many locations with a minimum balance of $5. Thus, 2 million customers (each) had to register a Star Cups Card to enter to win. Assuming that the 2 million customers only spent the minimum required $5, what percentage of those customers could be awarded the Star Cups Forever prizes using this pool of money?",,
9,Star Cups Forever - National Council of Teachers of Mathematics,7. How would your answers for questions 1 and 2 change if 5 winners were randomly selected (all at once)?,,
10,Star Cups Forever - National Council of Teachers of Mathematics,"Edited by Crystal Kalinec-Craig, crystal.kalinec-craig@utsa.edu, University of Texas at San Antonio, and Fanny Sosenke, NEST+M, New York, New York. Manuscripts should show how math is used to solve a real-life problem, preferably in the context of oneâ€™s profession, and should be no more than 300 words. Submit manuscripts through http://mtms.msubmit.net.",,
