__id__,__filename__,text,,
0,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,"An important question for mathematics teachers is this: “How can we help students learn mathematics to solve everyday problems, rather than teaching them only to memorize rules and practice mathematical procedures?” Teaching students using modeling activities can help them learn mathematics in real-world problem-solving situations that are useful outside school (Lesh and Doerr 2003b).",,
1,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,"Lesh and Lehrer (2003) defined mathematical modeling as a process of designing and revising representations to solve problems. Modeling, also described in the Common Core State Standards for Mathematics (CCSSM), is one of the eight Standards for Mathematical Practice: “Mathematically proficient students can apply the mathematics they know to solve problems arising in everyday life, society, and the workplace” (CCSSI 2010, p. 7). By including modeling as a mathematical practice, CCSSM invites teachers to strategize ways to develop students’ mathematical modeling.",,
2,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,"Because CCSSM provides a brief description of modeling, teachers might interpret modeling in various ways (e.g., the demonstration of a lesson, construction of a physical object, or simulating a process) (Imm and Lorber 2013). Collaboration among teachers and researchers to implement modeling activities can be a valuable way to promote a better understanding of modeling for teachers. Through collaboration, researchers can bring relatively abstract and isolated knowledge to the table in a way that makes these ideas more applicable to the classroom (Hiebert, Gallimore, and Stigler 2002). At the same time, teachers can be involved in making decisions about what change is relevant for their students’ learning (Richardson 1990). This article describes the strategies that two middle school teachers and their students used while working on modeling activities with me, a researcher, over a semester.",,
3,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,DESCRIBING OUR JOURNEY,,
4,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,"Two eighth-grade teachers, Kate and Megan (both names are pseudonyms), worked with me when I volunteered to serve as a visiting scholar to help integrate research and new approaches into mathematics classrooms at a local, Midwestern school with a diverse student population (i.e., about 60 percent Caucasian, 12 percent African American, and 20 percent Hispanic). Approximately 70 percent of the students participated in the free or reduced-price federal lunch program. Both teachers taught five different classes for seven periods every day: two inclusion classes, two general education classes, and one co-taught inclusion class. Inclusion classes contained low-achieving students and students with special needs, whereas general education classes had average-achieving students. Other teachers at the middle school taught the advanced classes with high-achieving students. The two teachers and I decided to co-develop and co-teach modeling lessons using Model-Eliciting Activities (MEAs) that we implemented three times during my eleven weeks at the school.",,
5,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,MODEL-ELICITING ACTIVITIES (MEAs),,
6,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,"An MEA is a mathematical task wherein teams of three to five students solve realistic mathematical problems (Lesh et al. 2000). When students engage with an MEA, they describe, evaluate, and revise models over one or two class periods. For example, in the Volleyball MEA (Lesh and Doerr 2003a), teams of students are asked to write a letter describing a process for creating equal teams that would accommodate a very large number of volleyball players. Figure 1 shows a modified version of the Volleyball MEA that Kate and Megan taught in their classrooms. Lesh and Doerr (2003a) emphasize that MEAs are designed to help students develop a sharable, modifiable, and reusable tool, rather than answer narrowly specified story problems. Their overall design principles for an MEA are summarized in table 1 (Lesh et al. 2000).",,
7,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,,,
8,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,,,
9,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,MODIFYING THE MEA,,
10,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,"When the original Volleyball MEA was piloted with other students, it took more than 50 minutes, which was one class period for both teachers. We discussed to what extent the lesson, as designed, would be appropriate for the students, especially those with special needs. Kate and Megan were concerned that their students might be overwhelmed by all the data presented in the original MEA. Because reducing the amount of data would not violate the design principles for an MEA, we changed the number of players from eighteen to eight and the number of spike-result attempts from five to three, as shown in figure 1. Providing activity sheets containing a lot of words might challenge students, so we decided to use PowerPoint® to show both images and a condensed version of the information.",,
11,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,USING VARIOUS STRATEGIES,,
12,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,"When we modified, implemented, and reflected on the Volleyball activity, we used strategies that supported students’ development of the modeling process. The strategies presented in this article were each identified to help students meet the goals of the design principles shown in table 1. The following examples of these strategies resulted from an analysis of audiotaped interviews and discussions with the two teachers and their students’ written work.",,
13,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,1. Reality: Ask students questions so they understand the task on the basis of their own real-life experiences.,,
14,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,2. Effective prototype: Guide students through questioning to develop a mathematically significant model.,,
15,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,3. Model generalizability: Remind students to construct a model that is generalizable.,,
16,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,4. Model documentation: Require students to document their process.,,
17,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,5. Model construction: Facilitate discussion in which students present the process of developing their model.,,
18,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,6. Self-evaluation: Encourage students to use peer-review forms to evaluate their own responses.,,
19,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,These teacher strategies are discussed in greater detail in the following sections.,,
20,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,Reality,,
21,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,"To help students engage with the problem context, we showed them a short video clip at the beginning of the lesson and asked them if they had ever played volleyball. Students were also introduced to the problem shown in the PowerPoint slides and asked the following questions to help them make sense of the real-life situation:",,
22,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,• “What problem is the camp having?” and,,
23,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,• “Why do you think the camp had a lack of competition last year?”,,
24,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,"We then asked if they knew volleyball terminology, such as kill, out of bounds, returned, and in the net. Rather than having the teacher explain them, we asked some of the volunteering students to explain the meanings of the terms to the whole class.",,
25,Strategies to Support Students Mathematical Modeling - National Council of Teachers of Mathematics,Effective Prototype,,
