__id__,__filename__,text,__id__,__filename__
0,Strengthening Partnerships through Family Math Nights,quick reads a good idea in a small package,0,Strengthening Partnerships through Family Math Nights
1,Strengthening Partnerships through Family Math Nights,Strengthening Partnerships through Family Math Nights,1,Strengthening Partnerships through Family Math Nights
2,Strengthening Partnerships through Family Math Nights,"Lynn Liao Hodge and Michael Lawson cCollaboration is central to impacting  mathematics teaching and learning. As a university mathematics education professor (the first author) and a graduate student in mathematics education and former high school mathematics teacher (the second author), we have initiated partnerships with urban and rural middle schools, families, and preservice teachers during the past five years, using Family Math Nights (FMNs) as the vehicle for collaboration. FMNs are events that usually take place in school gyms, libraries, or cafeterias to promote awareness and inspire interest in K–12 mathematics education. The events are highly interactive, with stations that allow both adults and students to interact with teachers to better understand what inquiry and best practices in mathematics look like. The approach that we facilitated is quite different from the typical approach to designing and implementing FMNs. ",2,Strengthening Partnerships through Family Math Nights
3,Strengthening Partnerships through Family Math Nights,"In most cases, a mathematics  teacher or a mathematics department ",3,Strengthening Partnerships through Family Math Nights
4,Strengthening Partnerships through Family Math Nights,"Edited by Julie Amador, jamador@uidaho.",4,Strengthening Partnerships through Family Math Nights
5,Strengthening Partnerships through Family Math Nights,"edu, University of Idaho, Coeur d’Alene; Grace Parisi, graceparisi4@gmail.com, Long Beach Middle School, Lido Beach, New York; and Darrell Earnest, dearnest@ educ.umass.edu, University of Massachusetts Amherst. Readers are encouraged to submit manuscripts through http://mtms.",5,Strengthening Partnerships through Family Math Nights
6,Strengthening Partnerships through Family Math Nights,msubmit.net. ,6,Strengthening Partnerships through Family Math Nights
7,Strengthening Partnerships through Family Math Nights,Fig. 1 The two activities highlighted below are examples of typical centers used in FMNs.,7,Strengthening Partnerships through Family Math Nights
8,Strengthening Partnerships through Family Math Nights,(a) Profession Center:  Students created STEM profession posters in their mathematics class to  showcase during the  Family Math Nights.,8,Strengthening Partnerships through Family Math Nights
9,Strengthening Partnerships through Family Math Nights,"(b) Puzzle Center: NIM’s Logic NIM is a math strategy game, said to have originated in China. The game has multiple variations and can create endless fun.",9,Strengthening Partnerships through Family Math Nights
10,Strengthening Partnerships through Family Math Nights,"initiates and hosts an FMN as a way to involve parents in their students’ learning. It is primarily a school-based event, organized by the staff and faculty. However, we have found that FMNs are useful in promoting collaboration across schools, the university, and the local community by bringing together a diverse group of individuals to design and implement the event itself. The overarching goal of our work is to have these initial conversations about the FMN event build toward increased collaboration among stakeholders. The FMNs we have initiated included centers and tasks that allowed  for interaction among parents, classroom teachers, K–12 students, preservice mathematics teachers, graduate students, and university faculty. (See fig. 1 for examples of tasks shown during an FMN.) ",10,Strengthening Partnerships through Family Math Nights
11,Strengthening Partnerships through Family Math Nights,"In this article, we focus on our work with FMNs as an effective resource in developing productive partnerships across schools, families, and the university. We pay special attention to the design features and resources that we have found helpful, while describing the role of FMNs in building strong partnerships that inform mathematics education. ",11,Strengthening Partnerships through Family Math Nights
12,Strengthening Partnerships through Family Math Nights,BACKGROUND ON FAMILY MATH NIGHTS,12,Strengthening Partnerships through Family Math Nights
