__id__,__filename__,text,__id__,__filename__
0,Supporting All Learners in Productive Struggle,Supporting All Learners in,0,Supporting All Learners in Productive Struggle
1,Supporting All Learners in Productive Struggle,Productive,1,Supporting All Learners in Productive Struggle
2,Supporting All Learners in Productive Struggle,"Struggle consider components involving cognitive, social,  ",2,Supporting All Learners in Productive Struggle
3,Supporting All Learners in Productive Struggle,"To support a growth mindset in students,  and emotional aspects so that students can  work within their zone of productive stuggle.  ",3,Supporting All Learners in Productive Struggle
4,Supporting All Learners in Productive Struggle,"Cynthia Townsend, David Slavit, and Amy Roth McDuffie",4,Supporting All Learners in Productive Struggle
5,Supporting All Learners in Productive Struggle,FOCUS ISSUE 2018,5,Supporting All Learners in Productive Struggle
6,Supporting All Learners in Productive Struggle,"When exploring algebraic functions through a real-world task about viruses, Carlos looked disengaged, sang a rap, and tried to get the attention of a friend in another group. Yasmin looked anxious and frustrated when she tried to locate information about her virus on the Internet. “This is hard,” and “I hate this!” she said. These students and several others struggled on their first day of a demanding multiday task, yet Carlos  and Yasmin, both bilingual Spanish-speaking students  who had recently exited the school’s English Language Learner (ELL) program, seemed to experience significant challenges. As their teacher, my goal was to challenge these students’ mathematical ability in a way that would make their struggle productive. (The first author taught the class reported on in this article; therefore, the “I” and “my” refer to the first author.) ",6,Supporting All Learners in Productive Struggle
7,Supporting All Learners in Productive Struggle,"Productive struggle is inherent in understanding mathematics and solving real-world problems. It can also lead students toward mathematical resilience, encourage retention,  and build growth mindsets (Boaler 2016; Dweck 2006; Hiebert and Grouws 2007). In Principles to Actions: Ensuring Mathematical Success for All, NCTM (2014) defines productive struggle as students delving “more deeply into understanding the mathematical structure of problems and relationships among mathematical ideas, instead of simply seeking correct solutions” (p. 48). Hiebert and Grouws (2007, p. 387) state that struggle does not mean “needless frustration” or “overly difficult” problems but problems within a student’s zone of proximal development, as defined  by Vygotsky (1978). The zone of proximal development is seen as an educational target just beyond what a student can do independently when provided appropriate support. With this in mind, I wondered about the nature of my students’ zone of productive struggle as I developed real-world mathematics tasks with the intent to encourage my students to dig deeper into algebraic relationships and experience productive struggle. At the same time, I also considered the proper nature and level of support I would need to provide.",7,Supporting All Learners in Productive Struggle
8,Supporting All Learners in Productive Struggle,In my experience as an eighth-,8,Supporting All Learners in Productive Struggle
9,Supporting All Learners in Productive Struggle,"The classroom environment can serve to provide  encouragement and support, or it can stifle engagement and participation in mathematics.",9,Supporting All Learners in Productive Struggle
10,Supporting All Learners in Productive Struggle,"grade mathematics teacher in a diverse high-poverty school, I have found that all my students needed some additional support to fully engage in tasks that required productive struggle. I recently conducted research in one of my classes while students worked through several nonroutine tasks on algebraic functions. Using observations, surveys, and an analysis of student work, I found that students were initially frustrated at my attempts to support their productive struggle, especially ELLs, ELLs who had exited the programs (students who had demonstrated English language proficiency), and students with special needs. However, the level of frustration subsided and the productivity increased over time because of the supports I provided.",10,Supporting All Learners in Productive Struggle
11,Supporting All Learners in Productive Struggle,"The first task we studied (see   fig. 1) was a set of problems related to human viruses, which introduced students to exponential functions. Students chose a virus to research, with a focus on its properties and reproduction number, created a table and graph, and answered open-ended questions about their findings. In the Car task, seen in figure 2, students chose a used car on the basis of their chosen career and their given salary. They then used tables, graphs, and equations to analyze the linear system related to the value of their car and the amount paid on their car loan.",11,Supporting All Learners in Productive Struggle
