__id__,__filename__,text,__id__,__filename__
0,Supporting English Learners: Lessons from Research,SUPPORTING ENGLISH LEARNERS: ,0,Supporting English Learners: Lessons from Research
1,Supporting English Learners: Lessons from Research,LESSONS,1,Supporting English Learners: Lessons from Research
2,Supporting English Learners: Lessons from Research,"RESEARCH oOn the mathematics section of the  students (Abedi and Herman 2010). On top of this, relatively few middle school mathematics teachers feel well prepared to teach mathematics to ELLs (Fulkerson 2013). ",2,Supporting English Learners: Lessons from Research
3,Supporting English Learners: Lessons from Research,The Fostering Mathematical ,3,Supporting English Learners: Lessons from Research
4,Supporting English Learners: Lessons from Research,"Careful attention to lesson design and implementation can make the opportunities to learn, which are described in the Common Core, viable for all students—including English language learners. ",4,Supporting English Learners: Lessons from Research
5,Supporting English Learners: Lessons from Research,"Johannah Nikula and Courtney L. Nelson 2011 National Assessment for Educational Progress, 72 percent of English language learners (ELLs) scored below “Basic” (the lowest possible level of achievement) compared with 25 percent of non-ELLs (NCES 2011). Integrating the development of language and mathematics content is important in addressing this problem because it can lead to productive opportunities for ELLs to learn mathematics (August et al. 2005; Brenner 1998; Calderón 2007; Lager 2006; Snow 2007; Snow, Lawrence, and White 2009). However, language work and mathematics work are often separated because of testing demands, resulting in lowered ELL engagement in mathematics lessons (Firestone, Martinez, and Polovsky 2006). In addition, ethnic minority students, including ELLs, are exposed to less mathematical content than nonminority, native-English-speaking ",5,Supporting English Learners: Lessons from Research
6,Supporting English Learners: Lessons from Research,"Success of English Language Learners (FMSELL) research study offers insight about how to integrate mathematics and language-skill development for ELLs. As part of this study, we engaged ELLs from around the United States in a carefully designed mathematics lesson to observe their use of language and engagement with geometry content. The lesson supports ELLs in mathematical thinking that is aligned with the eight Standards for Mathematical Practice (SMP) found in the Common Core State Standards for Mathematics (CCSSI 2010) and was designed with attention to three instructional principles known to benefit ELLs:",6,Supporting English Learners: Lessons from Research
7,Supporting English Learners: Lessons from Research,LESSONS from,7,Supporting English Learners: Lessons from Research
8,Supporting English Learners: Lessons from Research,"RESEARCH •  Engage students with challenging  methods enables teachers to leverage students’ thinking and support them in building their understandings of how to determine the area of a figure. If this task stands alone, the teacher may not be able to determine the students’ solution methods, their reasoning about those methods, whether they considered alternative methods, or if they think the same methods could be used for other triangles or figures. Embedding tasks in carefully designed lessons is important for shedding light on students’ thinking.",8,Supporting English Learners: Lessons from Research
9,Supporting English Learners: Lessons from Research,"For the FMSELL study, we revised this area task and incorporated it into a complete area lesson to elicit students’ mathematical thinking that was in line with the SMP by using instructional principles known to benefit ELLs. The lesson begins with the class reading the area review shown in figure 2. The students then ask questions to clarify vocabulary or ideas, if necessary. ",9,Supporting English Learners: Lessons from Research
