__id__,__filename__,text,__id__,__filename__
0,Systematic Interventions for Teaching Ratios,Systematic Interventions for,0,Systematic Interventions for Teaching Ratios
1,Systematic Interventions for Teaching Ratios,Teaching,1,Systematic Interventions for Teaching Ratios
2,Systematic Interventions for Teaching Ratios,Ratios,2,Systematic Interventions for Teaching Ratios
3,Systematic Interventions for Teaching Ratios,"Consider this research-based intervention approach to ratio using concrete, semiconcrete, and abstract representations to help students who struggle with this concept.",3,Systematic Interventions for Teaching Ratios
4,Systematic Interventions for Teaching Ratios,"amy e. hunter, sarah B. Bush, and karen karp m mathematics needed for student learn-",4,Systematic Interventions for Teaching Ratios
5,Systematic Interventions for Teaching Ratios,"Mathematics interventions for struggling students supplement regular instruction and are frequently implemented through computer programs and activity sheet practice (Swanson et al. 2012). However, students with foundational misunderstandings do not benefi t from additional drill and practice alone. Instead, interventions that balance concepts with procedures help build on students’ strengths and prior knowledge. To provide this type of instruction, teachers should know how to pinpoint the essence of the  ing; diagnose students’ thinking to determine strengths, weaknesses, and misconceptions; and design instruction that builds from that information. Emphasizing movement among concrete, semiconcrete, and abstract (CSA) representations is one instructional strategy that helps students build conceptual understanding (Sousa 2007). This article presents a framework for systematic mathematics interventions and a model for using this framework with ratio reasoning.",5,Systematic Interventions for Teaching Ratios
6,Systematic Interventions for Teaching Ratios,a FRaMeWoRK FoR inteRVention,6,Systematic Interventions for Teaching Ratios
7,Systematic Interventions for Teaching Ratios,"Know the Essence of the Mathematics To create an informative diagnostic tool that measures both conceptual understanding and procedural ﬂ uency, teachers must identify essential mathematical understandings. For example, research on ratio reasoning suggests starting with students’ thinking about two quantities at the same time (Ellis 2013). Ratio reasoning relates to the fundamental topic of proportional ",7,Systematic Interventions for Teaching Ratios
8,Systematic Interventions for Teaching Ratios,Ratios,8,Systematic Interventions for Teaching Ratios
9,Systematic Interventions for Teaching Ratios,"Although a fraction represents a part-whole  relationship, a ratio can represent a part-whole,  part-part, or whole-part relationship.",9,Systematic Interventions for Teaching Ratios
10,Systematic Interventions for Teaching Ratios,"reasoning because “a proportion is a relationship of equality between two ratios” (Lobato and Ellis 2010, p. 12). Ratios and Proportional Relationships is a content domain for the sixth grade and the seventh grade in the Common Core State Standards for Mathematics (CCSSI 2010). We chose three essential understandings related to ratios from Developing Understanding of Ratios, Proportions, and Proportional Reasoning for Teaching Mathematics in Grades 6–8 (Lobato and Ellis 2010), suggesting CSA interventions for each.",10,Systematic Interventions for Teaching Ratios
11,Systematic Interventions for Teaching Ratios,"Diagnose According to Gersten and NewmanGonchar (2011), assessments used to identify students who are likely at risk of not achieving are called universal screeners. However, this screening does not always provide detailed information about specifi c misunderstandings. Sometimes it is necessary to administer in-depth diagnostic assessments to pinpoint students’ strengths and weaknesses. ",11,Systematic Interventions for Teaching Ratios
12,Systematic Interventions for Teaching Ratios,"Performance-based assessment  tasks are designed to capture student thinking and are an informative assessment tool. Effective tasks permit students to demonstrate knowledge, skills, or understanding (Smith and Stein 2011). Such diagnostics help teachers design interventions and serve as a progress monitor to gauge the intervention’s effects. Any openended task requiring student explanation or connections can be an effective diagnostic tool. ",12,Systematic Interventions for Teaching Ratios
13,Systematic Interventions for Teaching Ratios,Instruct Using CSA,13,Systematic Interventions for Teaching Ratios
